seconds_elapsed,microphone_dBFS,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometer_z,magnetometer_y,magnetometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,class
30,-33.55555556,-0.987890863,-0.101191204,0.019970369100281337,0.11445004601501724,0.01654163,-0.205970663,2.912605556469519,9.701016990883836,2.031843279171916,-0.18640495,-0.119436949,-0.02138855,-0.012943438,-49.58250706,-12.31467979,-72.92037453,45,0.32802438735961914,1.1673080921173096,3.9000000953674316,0.17167910933494568,247.38931274414062,160.5,-86.9156825,40.384737,40.47764717102051,-8.834385815,-6.980473862,-0.140969313,-0.008102622,-0.012485303,0.002709009,0.005232199,-0.025924827,9.701016990883836,2.031843279171916,-0.18640495,Drive
31,-33.125,-0.665321592,-0.070192362,0.011317424259139496,0.031275672360845545,0.027603884,-0.217801587,1.865565966633917,9.624243384,2.311089155743423,-0.327523407,-0.151307756,-0.030924884,0.003840035,-48.93615108,-15.4211657,-72.72627251,45,0.31144821643829346,1.1773080825805664,3.9000000953674316,0.1286965161561966,249.2374725341797,160.5,-86.9156836,40.3847367,41.12363712310791,-11.94001779,-6.786737881,-0.172840121,-0.017638956,0.00429817,-0.060818756,0.16688591068230788,-0.060282329,9.624243384,2.311089155743423,-0.327523407,Drive
32,-23.22222222,0.9932441393148552,0.10634843194947659,-0.012315179,0.040587329,0.033650166,-0.211934282,-3.056348354,9.717537467296307,1.884925907621017,-0.27983946,-0.149481145,-0.025694133,0.001788063,-48.47316105,-19.20841173,-71.45222672,45,0.3889729976654053,1.0917807817459106,3.9000000953674316,0.735586941,237.40037536621094,161,-86.9156931,40.3847319,41.58662727355957,-15.72884968,-5.512569919,-0.17101351,-0.012408206,0.002246198,0.045974343,-0.196681913,0.044484045,9.717537467296307,1.884925907621017,-0.27983946,Drive
33,-31.125,0.987399427,0.094082575,-0.005949408,0.12341770074031885,0.035573514,-0.185450677,-2.88959202,9.754948430848353,1.8447500999691417,-0.409968345,-0.199072453,-0.036191217,9.459236035467062E-4,-48.38605293,-23.20500946,-69.28294441,45,0.38209945,1.101780891418457,3.9000000953674316,0.6194970607757568,240.12118530273438,161,-86.9156984,40.38473,41.673735275268555,-19.72532568,-3.34279995,-0.220604818,-0.022905289,0.001404059,0.011203589948635656,0.012280761616901286,-0.058056098,9.754948430848353,1.8447500999691417,-0.409968345,Drive
34,-28.66666667,0.9706159251407512,0.10525812150783909,-0.002903986,0.21538621302947258,0.052264388,-0.204530271,-2.699464291,9.706244015,2.2086624138563584,-0.568080485,-0.167308396,-0.034222273,0.001538979,-47.93794685,-26.05407557,-66.24233887,45,0.3201562166213989,1.1117808818817139,3.9000000953674316,0.47783389687538147,241.76695251464844,161,-86.9157007,40.3847294,42.12196342468262,-22.57524549,-0.30182799,-0.188840762,-0.020936345,0.001997115,-0.028078311,0.18674762503614703,-0.062112125,9.706244015,2.2086624138563584,-0.568080485,Drive
35,-37,0.9596567177078099,0.11185468899682888,0.00316256,0.25788085278376793,0.05290964,-0.218054754,-2.610759719,9.656436133,2.2166626881627205,-0.475831948,-0.082169335,-0.016833883,-4.06E-04,-47.86218517,-27.99863352,-63.62007092,45,0.3201562166213989,1.1217808723449707,3.9000000953674316,0.41020676493644714,245.38758850097656,161,-86.9157036,40.3847292,42.197603149414064,-24.51907152,2.3198299419879915,-0.103701701,-0.003547955,5.189234049520591E-5,-0.031977598,0.066508935,0.037597758,9.656436133,2.2166626881627205,-0.475831948,Drive
36,-20.77777778,0.9614712115630363,0.1164113675940384,0.00750018,0.2487476128108293,0.044620658,-0.22958411,-2.630135344,9.605669956762814,2.370328949493112,-0.352897782,-0.009875858,-0.002137965,7.917291690477902E-4,-47.24035103,-28.25044147,-62.84842075,45,0.23345234990119934,1.1317808628082275,3.9000000953674316,0.3325228989124298,246.05447387695312,161,-86.9157045,40.3847291,42.820047302246095,-24.77222153,3.091113941669464,-0.031408224,0.011147963,0.001249865,-0.034978543,0.10999935344584937,0.075667422,9.605669956762814,2.370328949493112,-0.352897782,Drive
37,-20.375,0.9684387817978859,0.13496892906438845,0.016659174,0.20824595469121748,0.024586329147076376,-0.271647292,-2.714725969,9.497792623575451,2.9612312710400923,-0.042228673,-0.040104472,-0.004604849,0.003735566,-47.14543499,-28.41660545,-62.61442474,45,0.17691805958747864,1.1615980863571167,3.9000000953674316,0.30757221579551697,240.2393035888672,161,-86.9157059,40.3847271,42.91447532653809,-24.93716555,3.3252319383621214,-0.061636838,0.008681079,0.004193701,-0.056045706,0.2962188193431267,0.19179203644251594,9.497792623575451,2.9612312710400923,-0.042228673,Drive
38,-18.55555556,0.9651636336613627,0.14631996470168956,0.037570206466519714,0.21280889704968164,-0.010713471,-0.303360315,-2.709201299,9.553989077077329,3.0176949153826076,0.45507189110644813,-0.228594761,-0.047411829,0.002179479,-46.92010109,-29.54656939,-60.57446281,45,0.21931712329387665,1.1715980768203735,3.9000000953674316,0.2802819311618805,237.1991424560547,161,-86.9157071,40.3847258,43.14017528533935,-26.06578745,5.365437915325165,-0.250127125,-0.034125901,0.002637615,0.031148346,0.036400936182262825,0.35284012078660204,9.553989077077329,3.0176949153826076,0.45507189110644813,Drive
39,-20.77777778,0.9398539465607949,0.14776807546036916,0.059157254,0.3004114458572517,-0.023604816,-0.318915618,-2.526641124,9.453124662,3.020752737823042,0.33313376101149805,-0.266645207,-0.046201995,0.011549757659046467,-47.55413483,-31.79039331,-55.78169296,45,0.33970576524734497,1.1815980672836304,3.9000000953674316,0.24955034255981445,237.1046600341797,161,-86.9157081,40.3847253,42.506141357421875,-28.30900148,10.158695802688598,-0.288177574,-0.032916068,0.012007892898677224,-0.079017088,-0.127527387,0.1081703290777299,9.453124662,3.020752737823042,0.33313376101149805,Drive
