seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometer_z,magnetometer_y,magnetometer_x,microphone_dBFS,gyroscope_z,gyroscope_y,gyroscope_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,class
202,-0.881803492,-0.017897254,0.003244751,0.471266048,-0.011153219,-0.034628941,2.159771308158208,-0.021433028,0.011859629357468735,9.533368419512238E-4,-141.4583868,-25.44846756,-31.51686943,5.23363502280226E-4,-4.64E-04,1.8144847409239093E-4,9.936085728765692,0.3437533663603866,0.11100199719997195,9.936085728765692,0.3437533663603866,0.11100199719997195,-92.37839798,-67.328871,-4.636975894,-30.33333333,9.933681039645979E-5,1.008194595466829E-4,1.8977778918534806E-4,45,1.5,25.60601043701172,53.56100082397461,6.869175910949707,152.56253051757812,155.1999969482422,-86.910277,40.4247164,Garage
203,-0.88199106,-0.017858672,0.003140689,0.470917059,-0.011286777,-0.034467231,2.1605624481312278,-0.021350001,0.011610546,8.703090676594778E-4,-141.4334993,-25.44505156,-31.53333942,-0.012106507,-0.003358968,5.980375249987667E-4,9.913133232338915,0.33889802581476935,0.11263399528231001,9.913133232338915,0.33889802581476935,0.11263399528231001,-92.35338776,-67.32569847,-4.653811913,-28.55555556,1.823645937301725E-4,-1.48E-04,1.0675000641675828E-4,45,1.5,25.60601043701172,53.56100082397461,6.869175910949707,152.56253051757812,155.1999969482422,-86.910277,40.4247164,Garage
204,-0.88211775,-0.017884633,0.003041904,0.47067938904160433,-0.011476309,-0.034423037,2.1610981862521865,-0.021480473,0.011646129344635218,9.8892018194446E-4,-141.5135307,-25.43590157,-31.42597942,-0.014705306,-0.001675202,-8.30E-04,9.886475984866802,0.3401259338626495,0.11346350854476511,9.886475984866802,0.3401259338626495,0.11346350854476511,-92.43403015,-67.31654915,-4.547061887,-29.375,5.189236140475401E-5,-1.13E-04,2.2536112465760082E-4,45,1.5,25.60601043701172,53.56100082397461,6.869175910949707,152.56253051757812,155.1999969482422,-86.910277,40.4247164,Garage
205,-0.882205005,-0.017777489,0.003042215,0.47051985894592063,-0.01136857,-0.03423632,2.1614647999550534,-0.021373723,0.011646129322030302,8.94031300914736E-4,-141.4413074,-25.47262352,-31.47233948,0.002345807,-2.98E-04,-3.17E-04,9.894002192228744,0.3382707825563486,0.11084808958965597,9.894002192228744,0.3382707825563486,0.11084808958965597,-92.3614402,-67.35363739,-4.592689905,-27.66666667,1.586423683866352E-4,-1.13E-04,1.304722300649268E-4,45,1.5,25.60601043701172,53.56100082397461,6.869175910949707,152.56253051757812,155.1999969482422,-86.910277,40.4247164,Garage
206,-0.882118636,-0.017713099,0.003135133,0.4706835500823641,-0.011150223,-0.034208114,2.1610984802246094,-0.021551639,0.012037546012225082,6.449479605206876E-4,-141.4120274,-25.43760944,-31.48783342,0.0157993,0.002486766,1.1173765925527776E-4,9.923877642,0.33975758338437495,0.11121398253022756,9.923877642,0.33975758338437495,0.11121398253022756,-92.33167221,-67.31715919,-4.607085905,-27.75,-1.93E-05,2.7873612560548827E-4,-1.19E-04,45,1.5,25.60601043701172,53.56100082397461,6.869175910949707,152.56253051757812,155.1999969482422,-86.910277,40.4247164,Garage
207,-0.881931748,-0.017833452,0.003194098,0.4710287596415548,-0.011173091,-0.034471627,2.1603114003116644,-0.021243251,0.011646129335593251,9.770590667296383E-4,-141.479005,-25.43455952,-31.48758944,0.010621348631034777,3.0334713389572587E-4,3.438993058737042E-4,9.943351283,0.34443288,0.11080162742545882,9.943351283,0.34443288,0.11080162742545882,-92.39913849,-67.31484085,-4.608793893,-28.88888889,2.8911459958180785E-4,-1.13E-04,2.1350001283351657E-4,45,1.5,4.427760601043701,64.33799743652344,4.878806114196777,307.7241516113281,155.6999969482422,-86.9106333,40.4249784,Garage
208,-0.881917353,-0.017880936,0.003177702,0.47105401353194165,-0.011247816,-0.03453963,2.1602516059692087,-0.021520618,0.011747062824165018,7.635590619219539E-4,-141.4653412,-25.44822355,-31.44098532,-0.014059177,-9.32E-04,-4.86E-04,9.914660638975866,0.341857112,0.1117105513123922,9.914660638975866,0.341857112,0.1117105513123922,-92.38510803,-67.32862663,-4.561579909,-30.5,1.1747060433173408E-5,-1.17E-05,0,45,1.5,4.427760601043701,64.33799743652344,4.878806114196777,307.7241516113281,155.6999969482422,-86.9106333,40.4249784,Garage
209,-0.882134532,-0.017781055,0.003087366,0.47065157595190027,-0.011297327,-0.034283441,2.1611669318189897,-0.021444889,0.011788462704608163,8.465868372298343E-4,-141.4682689,-25.42723961,-31.45611338,-0.013669792,-2.27E-04,7.460774510230833E-4,9.880957825669965,0.3391506679139091,0.11254106952980594,9.880957825669965,0.3391506679139091,0.11254106952980594,-92.38840172,-67.3081308,-4.575975919,-29.33333333,4.151389138429489E-5,2.9652777299718948E-5,3.706598744809049E-5,45,1.5,4.427760601043701,64.33799743652344,4.878806114196777,307.7241516113281,155.6999969482422,-86.9106333,40.4249784,Garage
210,-0.882174664,-0.017724775,0.003091327,0.470578432,-0.011234456,-0.034188791,2.161335424,-0.021575362,0.011788462695566196,8.703090631384945E-4,-141.4509457,-25.40515749,-31.5082074,0.005110509,-2.16E-04,1.6051527221225997E-4,9.899644490584587,0.338233032,0.11132723465561867,9.899644490584587,0.338233032,0.11132723465561867,-92.37095589,-67.28470665,-4.627947898,-30.875,-1.96E-04,2.965278182070232E-5,-4.60E-05,45,1.5,4.427760601043701,64.33799743652344,4.878806114196777,307.7241516113281,155.6999969482422,-86.9106333,40.4249784,Garage
211,-0.882110144,-0.017691407,0.003152667,0.47070015344804933,-0.011099476,-0.03418614,2.1610621734730247,-0.021504195,0.011918934921110139,6.805312745182694E-4,-141.4208107,-25.40942751,-31.49307943,0.012860335192634064,0.0015873,3.9467085333703793E-4,9.916620810055038,0.34031223050020276,0.1103370017326862,9.916620810055038,0.34031223050020276,0.1103370017326862,-92.34082222,-67.28983025,-4.613307886,-30.11111111,-1.25E-04,1.6012501188562912E-4,-2.36E-04,45,1.5,4.427760601043701,64.33799743652344,4.878806114196777,307.7241516113281,155.6999969482422,-86.9106333,40.4249784,Garage
