seconds_elapsed,microphone_dBFS,gyroscope_z,gyroscope_y,gyroscope_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometer_z,accelerometer_y,accelerometer_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,class
82,-44.25,-0.139814339,0.002600548,-0.050784833,-107.2697175,27.61860347747803,-31.82077133,-48.40959923,-26.1410615,-3.08147594,9.705448358961679,-0.577306212,0.33634549044343887,0.5326032088798227,-0.009421475,0.013298659,0.034506203,-0.06445884,0.053736592579669167,-2.401160849,-0.185190173,-0.043259723,-0.302344051,45,0.19265994429588318,1.0289101600646973,4.752999782562256,1.2972959280014038,138.2805938720703,155,-86.9104332,40.4267871,9.705448358961679,-0.577306212,0.33634549044343887,-0.161346705,0.018952575150551727,-0.050759628,Campus
83,-43,-0.066998973,0.079424969,0.040391533644598666,-107.485048,26.002225494384767,-27.6570335,-48.625173,-27.75768345,1.0829939755238593,10.09969489551285,-0.679924617,-0.090723987,0.9963222533753775,-0.020528558,-0.005406664,0.069416198,0.008505111,0.042695185,-3.00286209,0.1826619916749232,-0.254740339,-0.006839776,45,0.1966177374124527,1.0388487577438354,4.507999897003174,1.3155180215835571,168.0774688720703,155,-86.9104305,40.426771,10.09969489551285,-0.679924617,-0.090723987,-0.088531339,0.095800718,0.040462702,Campus
84,-38.33333333,-0.050998334,-0.116923876,0.014747809474040004,-105.8035217,25.574371490478516,-28.2148175,-46.94315922,-28.18553747,0.5254539938271046,10.011213353047005,-0.472343765,-0.075957741,0.9963144422734825,-0.021749185,-0.005048799,0.069409355,0.008208289,0.043718329,-3.003196249,0.070760931,-0.059155834,0.017819671231566123,45,0.2002480924129486,1.0489137172698975,4.276000022888184,1.2943629026412964,180.49588012695312,155,-86.9104332,40.426755,10.011213353047005,-0.472343765,-0.075957741,-0.072530698,-0.100562954,0.014810079401268543,Campus
85,-29.125,-0.010374025,0.03759083,0.002957865,-104.6816099,26.214993419647218,-27.64324747,-45.82222298,-27.54454937,1.096901994049549,10.058906615359112,-0.266044708,-0.17637484,0.994133265,-0.00602751,-0.003497894,0.10212320447402093,0.006177497,0.013196962,-2.936770085,0.10389039122942582,-0.105532886,-0.120711075,45,0.20893613994121552,1.0588706731796265,4.718999862670898,1.2935947179794312,183.8474578857422,155,-86.9104365,40.4267398,10.058906615359112,-0.266044708,-0.17637484,-0.031906392,0.053954715370901324,0.003003826,Campus
86,-37.55555556,-0.081279751,-0.002132036,-0.054639695,-106.3155561,25.11443157196045,-26.70067549,-47.45604698,-28.64425743,2.039107958,10.01357073922759,-0.116022855,0.092594106,0.9942211271489708,0.002542243,0.004018642,0.099859125,-0.007228725,-0.005063078,-2.941414106,0.080464386,-0.151571985,0.029365056745924996,45,0.2235749214887619,1.0689197778701782,5.057000160217285,1.2919085025787354,186.61485290527344,155,-86.9104395,40.4267255,10.01357073922759,-0.116022855,0.092594106,-0.102812117,0.014233333357040164,-0.054593732,Campus
87,-38.625,0.072345369,-0.017859868,0.012755143254977262,-107.178218,23.51684154510498,-24.8618915,-48.31773327,-30.24331148,3.877525910139084,9.771744640128126,-0.004942455,-0.160388809,0.9902961803871451,0.003823229,0.004697091,0.13522099566112444,-0.008310398,-0.008895299,-2.870544656,-0.103282229,-0.1033585,-0.255035121,45,0.18443472683429718,1.078934907913208,5.196000099182129,1.291302204,186.0402832,155,-86.9104411,40.4267131,9.771744640128126,-0.004942455,-0.160388809,0.050813003,-0.001490052,0.012808519069702156,Campus
88,-39.66666667,-0.084233169,-0.015760452,0.006777142,-107.3065618,24.356689548492433,-23.92578556,-48.44656509,-29.40212145,4.813631887435913,10.004272396124682,-0.193008437,-0.33469607,0.9917262213901409,-0.007641995,-0.011941849,0.12315026019672745,0.021847908,0.018418605333121802,-2.894656762,0.085963092,-0.016306426,-0.107530064,45,0.40948086977005005,1.0383026599884033,5.073999881744385,1.4926904439926147,185.5298614501953,154.6999969482422,-86.9104483,40.4266969,10.004272396124682,-0.193008437,-0.33469607,-0.105765534,5.886102710100054E-4,0.006823104,Campus
89,-35.75,0.12461284120721618,0.012745563217322342,0.02355286,-106.6735041,22.401639575958253,-24.0842635,-47.81460503,-31.35814743,4.655641887187958,9.826898621123972,-0.082163261,-0.365332326,0.9940996490992032,0.002888334,-0.013961286,0.10403737175063445,0.028406789,-0.002665368,-2.932698385,-0.111869564,-0.115276083,-0.093922633,45,0.40490424633026123,1.048288345336914,5.244999885559082,1.5008058547973633,181.30233764648438,154.6999969482422,-86.9104534,40.4266841,9.826898621123972,-0.082163261,-0.365332326,0.10308047507155257,0.029112158159617908,0.023595443,Campus
90,-29.22222222,-0.009294663,-0.002238786,0.010121976025402546,-104.0572139,19.41666561126709,-25.34013144,-45.19575306,-34.34287712,3.4000179386138916,9.945488517724195,0.3078610274038793,-0.30723959,0.9964046159994255,0.018082978015706776,-0.018822099,0.075175371,0.040390889178418994,-0.033119329,-2.990192684,0.028484238,-0.020781474,0.093463796,45,0.38945743441581726,1.058249592781067,5.414000034332275,1.5055302381515503,177.4575195,154.6999969482422,-86.9104558,40.4266679,9.945488517724195,0.3078610274038793,-0.30723959,-0.030827029,0.014108792856082466,0.010163490081802734,Campus
91,-45.25,0.007239727,0.007167077,-0.016565525,-103.3497357,23.333963527679444,-25.48091948,-44.48986111,-30.42692146,3.258985925912857,10.018728103452515,-0.034890494,-0.339388787,0.9956973675385262,0.001616173,-0.018172055,0.087716354,0.036484672,1.9395478901643198E-4,-2.965926349,0.09619455,-0.032751403,0.02285983,45,0.4059324264526367,1.0682709217071533,5.558000087738037,1.4768892526626587,176.19635009765625,154.6999969482422,-86.9104553,40.426651,10.018728103452515,-0.034890494,-0.339388787,-0.014292641,0.023513171,-0.016540321,Campus
