seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,magnetometer_z,magnetometer_y,magnetometer_x,microphone_dBFS,class
122,-0.16681744,0.004276992,-0.01568445,0.9858537333682903,0.003201774,0.032357794,0.3351949227666392,9.907095936895574,-0.321773663,-0.027897873,9.907095936895574,-0.321773663,-0.027897873,0,1.5,1.1729227304458618,15.838000297546387,0.036578022,0,149.39999389648438,-86.9109973,40.4279958,-0.019806297,-3.39E-04,0.003949714,-0.021670251,0.013271101655492794,5.975034849682045E-4,-111.5918121,31.839437351226806,-59.01274086,-1.38E-04,4.433090855069097E-4,-1.66E-04,-70.61201302,34.05922733306885,-10.77223377,-129.6666667,Classroom
123,-0.16682731,0.004263192,-0.015836646,0.9858496518968378,0.003123421,0.032653444564168896,0.33521655057240457,9.891713078205402,-0.322317811,-0.031115322,9.891713078205402,-0.322317811,-0.031115322,0,1.5,1.1729227304458618,15.838000297546387,0.036578022,0,149.39999389648438,-86.9109973,40.4279958,-0.009539512,9.409409124874374E-4,-2.33E-04,-0.021682112,0.013022018311708008,7.63559057851982E-4,-111.5765616,31.871523323059083,-59.07508286,-1.50E-04,1.942257490687217E-4,0,-70.59639694,34.091435279846195,-10.83555182,-136,Classroom
124,-0.166801667,0.004240083,-0.015976898,0.9858518717358413,0.003031874,0.03292218,0.33516632671495084,9.897373616116719,-0.329951076,-0.02644011,9.897373616116719,-0.329951076,-0.02644011,0,1.5,1.1729227304458618,15.838000297546387,0.036578022,0,149.39999389648438,-86.9109973,40.4279958,0.001741919,-0.003903323,0.004468211,-0.021812584,0.013318546,4.5517015890263527E-4,-111.5388643,31.87664737701416,-59.00554276,-2.80E-04,4.907534881585359E-4,-3.08E-04,-70.55882103,34.096559295654295,-10.76564575,-140.3333333,Classroom
125,-0.166916122,0.004301679,-0.016037016,0.9858312155436544,0.003129494,0.033061745,0.33539712544783806,9.899568992911034,-0.321471657,-0.029666355,9.899568992911034,-0.321471657,-0.029666355,0,1.5,1.1729227304458618,15.838000297546387,0.036578022,0,149.39999389648438,-86.9109973,40.4279958,0.001510676,0.005513053,0.001562924,-0.02176514,0.013377851661909553,6.212257148327251E-4,-111.556554,31.850783252716063,-59.00749489,-2.33E-04,5.500591004005118E-4,-1.42E-04,-70.57638885,34.070939216613766,-10.76771973,-137.625,Classroom
126,-0.166810306,0.004276958,-0.015978527,0.9858502039631594,0.003103803,0.032937764,0.33518271857094994,9.906192844353834,-0.322758088,-0.028368306,9.906192844353834,-0.322758088,-0.028368306,0,1.5,1.1729227304458618,15.838000297546387,0.036578022,0,149.39999389648438,-86.9109973,40.4279958,0.003724839,0.004664654,6.694551376463141E-4,-0.021741418,0.013010157154674091,3.4842014626952487E-4,-111.6043781,31.85822540283203,-58.98553478,-2.09E-04,1.8236461407459767E-4,-4.15E-04,-70.62421272,34.07838119506836,-10.74527176,-136.8888889,Classroom
127,-0.166615741,0.004212291,-0.015793894,0.9858863542859371,0.00304425,0.032551445,0.33478848148997015,9.948099191906383,-0.321384539,-0.027741062,9.948099191906383,-0.321384539,-0.027741062,0,1.5,1.1729227304458618,15.838000297546387,0.036578022,0,149.39999389648438,-86.9109973,40.4279958,0.021440964478712816,0.001597753,0.003345069,-0.021685078,0.013238939796932615,4.2289423492128175E-4,-111.5833935,31.88445536,-59.04677883,-1.53E-04,4.111471985547374E-4,-3.41E-04,-70.60310677,34.10461135864258,-10.80700378,-139.875,Classroom
128,-0.166503607,0.004188257,-0.015605563,0.9859084180257853,0.003063295,0.03217162,0.3345602490369556,9.961271295269716,-0.317809826,-0.02681181,9.961271295269716,-0.317809826,-0.02681181,0,1.5,1.1729227304458618,15.838000297546387,0.036578022,0,149.39999389648438,-86.9109973,40.4279958,0.00796194,0.002609407,0.003748019,-0.021682112,0.013330407241739116,6.212257052256355E-4,-111.5078757,31.823089294433593,-58.93880871,-1.50E-04,5.026145999826202E-4,-1.42E-04,-70.52807671,34.043123207092286,-10.69891174,-138.2222222,Classroom
129,-0.16648897,0.004194955,-0.015523427,0.9859121488135996,0.003104339,0.032011811702864844,0.33452972422525723,9.955559342,-0.316386909,-0.029274327,9.955559342,-0.316386909,-0.029274327,0,1.5,1.1729227304458618,15.838000297546387,0.036578022,0,149.39999389648438,-86.9109973,40.4279958,-0.002727833,0.002571508,0.001707896,-0.021705834,0.013152490514647034,7.279757415939086E-4,-111.5790015,31.875061378479003,-59.02384289,-1.73E-04,3.246979486170107E-4,-3.56E-05,-70.59908073,34.09472938537598,-10.78431176,-143.4444444,Classroom
130,-0.166419681,0.004171604,-0.015456664,0.9859249719138284,0.003082758,0.031872181,0.33438935441878237,9.954723024831235,-0.318620015,-0.030885997,9.954723024831235,-0.318620015,-0.030885997,0,1.5,1.1729227304458618,15.838000297546387,0.036578022,0,149.39999389648438,-86.9109973,40.4279958,-5.84E-04,-0.001122992,-1.43E-04,-0.021753279,0.013342268267664516,6.923923886028453E-4,-111.5481363,31.817477378845215,-59.08362259,-2.21E-04,5.144757994007572E-4,-7.12E-05,-70.56821518,34.037755241394045,-10.84372579,-138.75,Classroom
131,-0.166465846,0.004182931,-0.015526042,0.985915987,0.003080495,0.03201302,0.33448321553109917,9.947143813938771,-0.317632687,-0.027770101,9.947143813938771,-0.317632687,-0.027770101,0,1.5,1,16.138999938964844,0.083133616,0,149.39999389648438,-86.9109882,40.4279925,-0.003375924,0.001126782,0.002911282,-0.021575362,0.013235518333583492,6.805312615204422E-4,-111.5611901,31.903121280670167,-58.99383099,-4.30E-05,4.077257833769093E-4,-8.30E-05,-70.58090279,34.12315532684326,-10.75283576,-120.3333333,Classroom
