seconds_elapsed,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometer_z,accelerometer_y,accelerometer_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,microphone_dBFS,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,gyroscope_z,gyroscope_y,gyroscope_x,class
386,0,0.1345362365245819,1.144132137298584,9.93500042,0.003104592,0,160.6999969482422,-86.9155332,40.3848514,-0.003522012,-3.57E-05,-7.47E-05,-0.996915773,0.012351028241434144,0.009675026,0.076894657,0.02119709,0.023140018950532942,2.987387127089269,9.930992154241766,-0.229835842,-0.210640991,-99.39291039,-11.69613976,-34.87565121,-0.021350001,0.013069462781609262,5.026146101548328E-4,-160.2222222,9.930992154241766,-0.229835842,-0.210640991,-51.21291466,-61.49629475,-8.655411873,2.9652779560210635E-5,-6.38E-05,-2.61E-04,Home
387,0,0.1345362365245819,1.1541340351104736,9.93500042,0.007380418,0,160.6999969482422,-86.9155331,40.3848513,-0.009889529,3.1044109932427266E-4,-4.43E-04,-0.996917324,0.012393561,0.009665588,0.076868899,0.021184240711979496,0.023226833,2.9874379542267437,9.914256929193886,-0.230207544,-0.210757147,-99.34716003,-11.67283779,-34.78793327,-0.021219528,0.012962712752587587,6.92392398209935E-4,-160.5,9.914256929193886,-0.230207544,-0.210757147,-51.16777504,-61.47287083,-8.568059807,1.6012500962513744E-4,-1.71E-04,-7.12E-05,Home
388,0,0.1345362365245819,1.1641157865524292,9.93500042,0.004814559,0,160.6999969482422,-86.9155331,40.3848513,-0.01453096,-0.001424242,-0.001141027,-0.996917837,0.012564343,0.00964454,0.076837095,0.021167906073545947,0.023571300166613848,2.9874979940432946,9.883080482,-0.234737644,-0.210548066,-99.34947784,-11.65234183,-34.88760712,-0.021373723,0.013093184996215463,6.686701734315206E-4,-129.6666667,9.883080482,-0.234737644,-0.210548066,-51.16948288,-61.4521307,-8.668221855,5.930555912042127E-6,-4.00E-05,-9.49E-05,Home
389,0,0.1063014566898346,1.174212933,9.93500042,0.008537232,0,160.6999969482422,-86.915533,40.3848512,-0.004165943,-1.39E-04,-9.98E-05,-0.996912111,0.012628962,0.009718437,0.076891475,0.021326569285100468,0.023687610116142493,2.9873855664179874,9.878480679780534,-0.234273017,-0.210942997,-99.32471176,-11.64868177,-34.87748123,-0.021309171,0.013274181007335965,8.222943719234676E-4,-160.5,9.878480679780534,-0.234273017,-0.210942997,-51.14459507,-61.44822681,-8.6579739,7.048237603157759E-5,1.4096476493600325E-4,5.873531335964799E-5,Home
390,0,0.12727922201156616,1.1841356754302979,9.93500042,0.005267812,0,160.6999969482422,-86.915533,40.3848512,0.002217682,0.001049073,-0.001372829,-0.996910414,0.012489376119473606,0.009757794,0.076931269,0.021384424936858194,0.023402354399700766,2.987308296185095,9.883597401739324,-0.230163984,-0.212685344,-99.3084861,-11.62903982,-34.88711937,-0.021302556,0.012867824,7.635590651985801E-4,-105.7777778,9.883597401739324,-0.230163984,-0.212685344,-51.12849091,-61.42919479,-8.667367783,7.709722685654765E-5,-2.65E-04,0,Home
391,0,0.1063014566898346,1.194209098815918,9.93500042,0.005572765,0,160.6999969482422,-86.9155329,40.3848512,0.002663261,-4.87E-04,-2.25E-04,-0.996914511,0.012590266,0.009675833,0.076871997,0.021235148883560328,0.023617428,2.987426600409943,9.889382103114452,-0.23398553,-0.210176365,-99.28701431,-11.66466382,-34.91078732,-0.021504195,0.012772935,3.6028126430996124E-4,-81.33333333,9.889382103114452,-0.23398553,-0.210176365,-51.10677483,-61.46433079,-8.690791864,-1.25E-04,-3.60E-04,-4.03E-04,Home
392,0,0.1063014566898346,1.2043629884719849,11.947999954223633,0.009253163,0,160.6999969482422,-86.9155328,40.3848511,0.00702283,0.001039635,-0.001545306,-0.996920981,0.012653407288118474,0.009578669,0.076789932,0.021049155971234284,0.023760037569021716,2.987591965684613,9.899647425679328,-0.234031993,-0.209781433,-99.32666405,-11.6978478,-34.86845318,-0.021278834,0.012974574,6.686701598685705E-4,-54.25,9.899647425679328,-0.234031993,-0.209781433,-51.14727894,-61.49800274,-8.648823872,1.0081945050471616E-4,-1.59E-04,-9.49E-05,Home
393,0,0.1063014566898346,1.2141908407211304,11.947999954223633,0.00619681,0,160.6999969482422,-86.9155328,40.3848511,0.021370285923041188,0.002508018,-4.74E-04,-0.996921818,0.012403201004399837,0.009578689,0.076819816,0.021011261,0.023260472,2.987538187249193,9.943040930307829,-0.228454167,-0.209118894,-99.28152367,-11.68845373,-34.92835529,-0.021290695,0.013045740481104377,8.3472572540575E-4,-77.11111111,9.943040930307829,-0.228454167,-0.209118894,-51.10177273,-61.4884866,-8.708725815,8.89583386806319E-5,-8.75E-05,7.116667094450552E-5,Home
394,0,0.1063014566898346,1.2242090702056885,11.65999984741211,0.002917801,0,160.6999969482422,-86.9155328,40.3848511,0.006571344,2.873632514361039E-4,-0.001163779,-0.996923503,0.012231937,0.009570238,0.076826543,0.020968109730956624,0.02292012,2.9875291111399824,9.952385439456087,-0.227474961,-0.209851126,-99.29604179,-11.65270774,-34.88467918,-0.021350001,0.013140629,6.805312784741298E-4,-90.375,9.952385439456087,-0.227474961,-0.209851126,-51.11653484,-61.45249676,-8.665293808,2.9652779560210635E-5,7.413205062265245E-6,-8.30E-05,Home
395,0,0.1063014566898346,1.234164834022522,11.947999954223633,0.004621128,0,160.6999969482422,-86.9155327,40.3848511,-0.003805873,0.001856258,-7.02E-05,-0.996918887,0.012192342575024632,0.009641351,0.076883716,0.021105138,0.022829007230771397,2.9874137697867975,9.943415160318024,-0.225221526,-0.209525889,-99.31788025,-11.64685171,-34.82001938,-0.021314417,0.013045740544398143,6.686701553475871E-4,-77.44444444,9.943415160318024,-0.225221526,-0.209525889,-51.13812889,-61.44700672,-8.599535828,6.52361150324634E-5,-8.75E-05,-9.49E-05,Home
396,0,0.1063014566898346,1.244227409362793,11.947999954223633,0.005988482,0,160.6999969482422,-86.9155327,40.384851,-1.39E-04,3.583500686201077E-4,-9.56E-04,-0.996917061,0.012222000641874897,0.009671782,0.076898921,0.021170771,0.022883138049719403,2.987381844844633,9.940993383092788,-0.228174804,-0.211686399,-99.30311813,-11.62952773,-34.86259731,-0.02144489,0.013116907152048881,4.3144792677762297E-4,-61.625,9.940993383092788,-0.228174804,-0.211686399,-51.12287891,-61.42956074,-8.643089809,-6.52E-05,-1.63E-05,-3.32E-04,Home
397,0,0.1063014566898346,1.1035263538360596,9.93500042,0.029556984081864357,0,160.6999969482422,-86.9155329,40.3848506,-0.005483424,-0.001507794,-9.41E-04,-0.996912884,0.012280194911635617,0.009734743,0.07693572,0.021306199537029544,0.022988688,2.987305120357032,9.933594138876906,-0.23001298,-0.213010582,-99.35716408,-11.66368778,-34.83661148,-0.021136501,0.013033879423532093,8.228646231887555E-4,-54.11111111,9.933594138876906,-0.23001298,-0.213010582,-51.17765701,-61.46274467,-8.616371813,2.4315279239372722E-4,-9.93E-05,5.930555912042127E-5,Home
398,0,0.1063014566898346,1.1135852336883545,9.93500042,0.019467439502477646,0,160.6999969482422,-86.9155328,40.3848505,0.001112947,4.94398893072055E-4,-0.001112413,-0.996911717,0.012297680413422104,0.009745872,0.07694673,0.021331351,0.023021607122455653,2.9872823518056135,9.935069352677726,-0.227335574,-0.212662113,-99.32056396,-11.65990575,-34.89273144,-0.021403148,0.013215445644723682,6.108472331946429E-4,-72.875,9.935069352677726,-0.227335574,-0.212662113,-51.14056889,-61.45969482,-8.672857828,-2.35E-05,8.222941911439053E-5,-1.53E-04,Home
399,0,0.1063014566898346,1.1235756874084473,9.93500042,0.00911318,0,160.6999969482422,-86.9155328,40.3848505,0.001003645,8.591721648151435E-4,3.024620338551049E-4,-0.996909115,0.012281434040842126,0.009789947,0.076977459,0.021417453957414165,0.022981754,2.9872201137172367,9.937787436,-0.227515616,-0.212522724,-99.32337021,-11.64611976,-34.8236792,-0.021468612,0.013045740567003061,5.975034928799254E-4,-107,9.937787436,-0.227515616,-0.212522724,-51.14374104,-61.44615276,-8.603439827,-8.90E-05,-8.75E-05,-1.66E-04,Home
400,0,0.1063014566898346,1.1334877014160156,9.93500042,0.005370388,0,160.6999969482422,-86.9155327,40.3848505,6.192494364618097E-4,-4.43E-04,0.001247667,-0.996910183,0.012302921,0.009780096,0.076961383,0.021400766356766802,0.023026464036801485,2.9872520409741448,9.938327502,-0.229327657,-0.211430855,-99.32495644,-11.66868975,-34.83380535,-0.021361862,0.013282962749232945,7.754201696760664E-4,-55.625,9.938327502,-0.229327657,-0.211430855,-51.14569283,-61.46860092,-8.612223806,1.779166773612638E-5,1.4974654299541586E-4,1.1861111824084254E-5,Home
401,0,0.1063014566898346,1.1435068845748901,9.93500042,0.006628242,0,160.6999969482422,-86.9155327,40.3848504,-0.004024274,8.946829339832935E-4,9.415340655058333E-4,-0.996911854,0.012338701617515203,0.009763424,0.07693617,0.021372463807318973,0.023100924162754735,2.9873021019315256,9.930315638,-0.228645237,-0.211384391,-99.27200783,-11.65783179,-34.86662334,-0.021421168,0.013188073836556338,4.077256980433481E-4,-71.44444444,9.930315638,-0.228645237,-0.211384391,-51.09201279,-61.45823071,-8.64674983,-4.15E-05,5.485763201417709E-5,-3.56E-04,Home
402,0,0.1063014566898346,1.153455138206482,9.93500042,0.006404432,0,160.6999969482422,-86.9155326,40.3848504,-0.009046175,-0.002557694,-0.002077244,-0.996912948,0.012375544168923086,0.009746433,0.076918191,0.021343855,0.023177392,2.9873376563914773,9.917493471732506,-0.233374984,-0.214088603,-99.33508186,-11.65734375,-34.83331734,-0.021089056,0.013010157,7.516979381161769E-4,-79,9.917493471732506,-0.233374984,-0.214088603,-51.154599,-61.4576207,-8.613687801,2.905972396900642E-4,-1.23E-04,-1.19E-05,Home
403,0,0.1063014566898346,1.1635501384735107,9.93500042,0.007400786,0,160.6999969482422,-86.9155326,40.3848503,-0.014764045,0.001057975,-9.01E-04,-0.996912648,0.012537873241580228,0.009750501,0.076895291,0.021376533488046776,0.023500952471807165,2.987379451399868,9.886094769227851,-0.231072908,-0.212499493,-99.32105232,-11.66222382,-34.81428524,-0.021195806,0.013140629,9.058923946548868E-4,-144.6666667,9.886094769227851,-0.231072908,-0.212499493,-51.14069092,-61.46237877,-8.594411831,1.8384723327330595E-4,7.413184717840072E-6,1.4233334188901105E-4,Home
404,0,0.1345362365245819,1.1734756231307983,9.93500042,0.004369197,0,160.6999969482422,-86.9155326,40.3848503,-0.003909704,-8.78E-04,1.8775202695605825E-4,-0.996903924,0.012517995454226305,0.009893003,0.076993475,0.021659996487127926,0.023437227330450873,2.987179643,9.880618002808209,-0.23233611,-0.213800446,-99.29543198,-11.64807181,-34.8302673,-0.021433028,0.013271101714265578,7.635590606775967E-4,-155.5555556,9.880618002808209,-0.23233611,-0.213800446,-51.11482693,-61.44798275,-8.610393801,-5.34E-05,1.3788543569231496E-4,0,Home
405,0,0.1063014566898346,1.1835596561431885,9.93500042,0.004708766,0,160.6999969482422,-86.9155325,40.3848503,0.001840147,-6.31E-04,1.949303358503916E-6,-0.996916461,0.012647113093690387,0.009712889,0.076832793,0.021316916184517944,0.023725917363919102,2.987502973056534,9.885194565485982,-0.235193557,-0.210640991,-99.35313766,-11.66588382,-34.80733147,-0.021409306,0.012867823848952947,5.737812743178632E-4,-157.625,9.885194565485982,-0.235193557,-0.210640991,-51.17363121,-61.46616077,-8.588067837,-2.97E-05,-2.65E-04,-1.90E-04,Home
406,0,0.1345362365245819,1.1934354305267334,9.947999954223633,0.002919426,0,160.6999969482422,-86.9155325,40.3848503,0.002490053,5.474073382524344E-4,-9.07E-04,-0.996916557,0.012635057827887626,0.009721233,0.07683248,0.021331688532462485,0.023700598,2.987503718871337,9.890282343892219,-0.233817104,-0.21189548,-99.26444405,-11.6772298,-34.83490326,-0.021508871,0.013250686881992105,6.343413786873078E-4,-157.8888889,9.890282343892219,-0.233817104,-0.21189548,-51.08444904,-61.4772628,-8.615273848,-1.29E-04,1.1747063455494263E-4,-1.29E-04,Home
407,0,0.20518285036087036,1.2035095691680908,12.13700008392334,0.001173597,0,160.6999969482422,-86.9155325,40.3848503,0.003664896,7.569389146508522E-4,-4.79E-05,-0.996914603,0.012592583,0.009767369,0.076858853,0.021417773880281495,0.023608223453742787,2.9874507825351455,9.895695241909582,-0.232762984,-0.211918712,-99.24626625,-11.6824758,-34.82660732,-0.021373723,0.012784796,4.788923848112955E-4,-152.875,9.895695241909582,-0.232762984,-0.211918712,-51.06602688,-61.48263092,-8.60624588,5.930555912042127E-6,-3.48E-04,-2.85E-04,Home
408,0,0.19209372997283936,1.2135460376739502,11.829000473022461,0.004121081,0,160.6999969482422,-86.9155324,40.3848503,0.020204858872496966,0.001872558,-8.43E-04,-0.996924683,0.012497756,0.00962688,0.076761245,0.021120608196530527,0.023442844796961952,2.987652239290256,9.934627922,-0.230535684,-0.210246059,-99.33105606,-11.64697378,-34.89187763,-0.021243251,0.012998296092580823,7.754201696760664E-4,-154.3333333,9.934627922,-0.230535684,-0.210246059,-51.15081688,-61.44651894,-8.672247868,1.3640278597696893E-4,-1.35E-04,1.1861111824084254E-5,Home
409,0,0.19798989593982697,1.223538875579834,12.144000053405762,0.00566546,0,160.6999969482422,-86.9155324,40.3848502,0.00946144,0.002649177,-1.07E-04,-0.996927611,0.012238237120717475,0.009615541,0.076766523,0.021058060192656748,0.022926977012776635,2.987648341262225,9.951984766617562,-0.225262183,-0.209479427,-99.26432228,-11.65953979,-34.84734734,-0.021492334,0.013199935043321072,5.856423929234226E-4,-152.75,9.951984766617562,-0.225262183,-0.209479427,-51.08420494,-61.45981682,-8.627351818,-1.13E-04,6.671875966170314E-5,-1.78E-04,Home
