seconds_elapsed,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,microphone_dBFS,magnetometer_z,magnetometer_y,magnetometer_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscope_z,gyroscope_y,gyroscope_x,class
154,0.080513227,0.038558992068961406,0.018495921,-22.625,14.505067710876466,-64.527873,-25.34061958,-46.15479515,-28.64791744,-60.20187469,-0.062002784,0.45796339488723903,-0.05923226,9.566083899,2.9731605330717215,0.10029237275237887,45,1.5,2.487008810043335,60.04399871826172,4.591787815093994,229.3291016,155,-86.910103,40.424591,9.566083899,2.9731605330717215,0.10029237275237887,-0.857899158,-0.114114671,0.056983625317372166,0.497407344,-0.016557194,-0.255374252,2.088624579235188,0.10158745821529222,0.026952894,0.017732362262904644,Garage
155,0.073942171,0.023424213436246823,-3.99E-04,-22,10.56056376,-48.75973923,-29.20387144,-50.09966511,-12.87990573,-64.06329697,-0.065064097,0.099510704,-0.040571849,9.474930579845722,2.9903495678534875,0.085083251,45,1.5,2.487008810043335,60.04399871826172,4.591787815093994,229.3291016,155,-86.910103,40.424591,9.474930579845722,2.9903495678534875,0.085083251,-0.836290465,-0.12724717,0.073024526,0.5281949801352418,-0.012897323,-0.294209743,2.0130146614556175,0.095016401,0.011818115245121377,-0.001162389,Garage
156,0.019736890002940464,0.018881407598580587,5.263368479310743E-4,-24,9.889319758415223,-52.52648884,-31.21821331,-50.7705431,-16.64628964,-66.07873688,0.14190113660201287,-0.581457272,0.029468125148305616,9.715298448951499,2.049577465335142,0.22842744560188893,45,1.5,2.487008810043335,60.04399871826172,4.591787815093994,229.3291016,155,-86.910103,40.424591,9.715298448951499,2.049577465335142,0.22842744560188893,-0.829422105,-0.117929937,0.06534369,0.5419248926986768,-0.020252157,-0.269769184,1.981364374021882,0.040811121,0.00727531,-2.37E-04,Garage
157,-0.017269779,0.018003685364287203,-0.001715413,-29.44444444,11.28499978542328,-51.19473705,-31.42378344,-49.37474083,-15.3146598,-66.28442848,0.10407151527775144,-0.44998062,0.030737301316654798,9.857174827,1.2764750487596086,0.27680660190187323,45,1.5,2.487008810043335,60.04399871826172,4.591787815093994,229.3291016,155,-86.910103,40.424591,9.857174827,1.2764750487596086,0.27680660190187323,-0.844093438,-0.081173268,0.035748606,0.5286374103675768,-0.026026962,-0.175762496,2.020241383209969,0.003804452,0.006397587,-0.002478972,Garage
158,-0.017608847,0.012945263199911166,0.025009496500738002,-35.5,12.372141785621643,-50.15822491,-31.19600945,-48.28735512,-14.2780257,-66.05519093,0.075069226,-0.322125737,-8.95E-04,10.03365125933897,0.8220187900135818,0.2185280127631663,45,1.5,1.660628318786621,71.98400115966797,3.6353960037231445,98.58077239990234,155,-86.9097707,40.4245963,10.03365125933897,0.8220187900135818,0.2185280127631663,-0.855495725,-0.054599949,0.020147494237440135,0.5144900198166187,-0.021888011,-0.114402107,2.057444393634796,0.003465383,0.001339165,0.024245937292177517,Garage
159,-0.017020696,0.013650657221430785,-0.015687803,-35.77777778,9.130113841108978,-46.51127903,-34.7933016,-51.53096905,-10.63132374,-69.65443428,-0.294583108,0.1884335944953474,0.007080368,9.796573101895527,1.3223074761409204,0.23801906311034576,45,1.5,1.660628318786621,71.98400115966797,3.6353960037231445,98.58077239990234,155,-86.9097707,40.4245963,9.796573101895527,1.3223074761409204,0.23801906311034576,-0.861847741,-0.054015507,0.018391449673517236,0.5039257193074643,-0.02287693,-0.111876227,2.0821232193882024,0.004053535,0.002044559,-0.016451362,Garage
160,0.022547973509769417,0.015761935212016468,-0.018546331,-29.66666667,0.010248001031577587,-54.66380692,-34.33458141,-60.64949295,-18.78397358,-69.19437256,-0.129331089,0.1914774816013077,-0.080050185,9.794459074446298,1.4905920260160872,0.090119973,45,1.5,1.660628318786621,71.98400115966797,3.6353960037231445,98.58077239990234,155,-86.9097707,40.4245963,9.794459074446298,1.4905920260160872,0.090119973,-0.863347302,-0.060520901,0.025242822552190243,0.5003022991337822,-0.017121777,-0.130140147,2.0900680324406298,0.043622204,0.004155837,-0.01930989,Garage
161,0.13156345284100876,0.044963992,0.014961309990398044,-23.5,8.777777805,-53.26239307,-33.24914736,-51.88232891,-17.38219372,-68.1094265,-0.040416653,0.3297154579347777,-0.09525562,9.661918723467485,2.2318501472473145,-0.107607325,45,1.5,1.660628318786621,71.98400115966797,3.6353960037231445,98.58077239990234,155,-86.9097707,40.4245963,9.661918723467485,2.2318501472473145,-0.107607325,-0.842220884,-0.081278285,0.052123944,0.5299320192012972,0.001297629,-0.193562063,2.0185120395086344,0.1526376832168079,0.033357894418815384,0.014197750925764587,Garage
162,0.24560804245541396,0.06798641,3.128368769166539E-4,-27.55555556,6.054127877354622,-43.46481689,-29.49813551,-54.60610096,-7.584861848,-64.35756084,-0.020675465,0.19785839608572062,-0.236354189,9.611439393116878,2.587670874137145,-0.471803081,45,1.5,1.660628318786621,71.98400115966797,3.6353960037231445,98.58077239990234,155,-86.9097707,40.4245963,9.611439393116878,2.587670874137145,-0.471803081,-0.786539408,-0.088635351,0.083237827,0.6043454501235369,0.024147585269461556,-0.243079544,1.834248657365447,0.2666822725418702,0.056380312,-4.51E-04,Garage
163,0.33958363272611375,0.081780884,0.004369337,-24.625,7.2230099058151245,-34.8508853,-25.45542162,-53.43673088,1.0291919931024314,-60.31545681,0.071211991,-0.153017751,-0.357845805,9.698348332377313,2.4244172005977447,-0.973385155,45,1.5,1.4996659755706787,50.23099899291992,4.705700874328613,104.10197448730469,156.09999084472656,-86.9094788,40.4245349,9.698348332377313,2.4244172005977447,-0.973385155,-0.689096482,-0.068229112,0.11485305030658408,0.7105864998206352,0.06374893,-0.261346403,1.5484540647673375,0.3606578632465844,0.070174786,0.003605778,Garage
164,0.3106899633280282,0.06968255,-0.02504622,-22.55555556,3.0636639364995064,-27.48257351,-22.54706356,-57.59619877,8.397015867233277,-57.40697689,-0.058472226,-0.232944029,-0.089711021,9.572733805017563,2.1441781648154397,-0.87789004,45,1.5,1.4996659755706787,50.23099899291992,4.705700874328613,104.10197448730469,156.09999084472656,-86.9094788,40.4245349,9.572733805017563,2.1441781648154397,-0.87789004,-0.563895872,-0.035816462,0.12163662946629293,0.8148210419034495,0.081904045,-0.241371302,1.2207502971575097,0.33176419486119907,0.058076451901567974,-0.025809779,Garage
