seconds_elapsed,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,microphone_dBFS,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,gyroscope_z,gyroscope_y,gyroscope_x,class
22,9.668635442,2.053207350008696,-0.207902602,-0.924675707,-0.099126583,0.049780236394370646,0.3641782139690177,0.020324854487643658,-0.221396446,2.393474597,9.417667808532714,-79.06295258,-10.12148582,-21.77777778,9.668635442,2.053207350008696,-0.207902602,-51.242561,-43.18299709,-44.98115501,5.907033443450928,3.227584124,6.8196635246276855,3.9790000915527344,9.025604248046875,182.99191284179688,154.89999389648438,-86.9104197,40.4252031,-0.020460418,0.006842379,-5.65E-04,0.009948175,-0.116385107,-0.011986334,4.6110068034217917E-4,-0.004916431,-0.001175733,Drive
23,9.715548181996763,1.8077716931556036,-0.189677657,-0.932563164,-0.087452838,0.042919629,0.3475676812593219,0.019599604,-0.19416545,2.4299879861109464,9.228079814910888,-78.70585838,-9.897493849,-24.25,9.715548181996763,1.8077716931556036,-0.189677657,-51.43190495,-42.82565948,-44.7571632,5.090209007263184,2.632052421569824,6.82960844,3.9660000801086426,9.745019912719727,181.02760314941406,154.89999389648438,-86.9104117,40.4251074,-0.019333612,0.013045740440415525,-4.34E-04,0.015612963,-0.100663995,3.0703726902748775E-4,0.001587906,0.001286931,-0.00104526,Drive
24,9.782985705773807,1.643491646618519,-0.148119786,-0.93878217,-0.08163362,0.037254596,0.33256907703784794,0.015876666320344575,-0.179020148,2.462098465516017,10.343891820907594,-78.77637428,-9.853573837,-23.88888889,9.782985705773807,1.643491646618519,-0.148119786,-50.31536118,-42.8965411,-44.71385319,4.8211774826049805,2.573810338973999,1.9279690980911255,3.9660000801086426,9.681017875671387,181.00064086914062,156.29998779296875,-86.9104186,40.425024,-0.020005248,0.007001249,-0.001292177,0.036657379,-0.118161591,0.003596126,9.162708391578725E-4,-0.00475756,-0.001903024,Drive
25,9.971536691906383,0.6804124770812618,-0.153776605,-0.946130299,-0.052252447,0.025640906856476683,0.31818406963811335,0.015250156877688992,-0.115470506,2.4936225599455604,12.106913805007935,-78.37328644,-9.277611804,-29.75,9.971536691906383,0.6804124770812618,-0.153776605,-48.55294914,-42.49308723,-44.13776909,4.670658588409424,2.537755012512207,1.938000202178955,3.9230000972747803,9.294701576,180.99472045898438,156.29998779296875,-86.9104044,40.4249325,-0.022559835,0.013425296082079988,-0.005356775,0.098863037,-0.464446192,-0.003174403,-0.001638316,0.001666486,-0.005967622,Drive
26,10.013312256451949,0.34474069744493196,-0.176885928,-0.951771695,-0.022853656,0.016109267150241774,0.3054647283646667,0.016690705,-0.053369601,2.5209169873913515,12.482063827514649,-78.13697243,-9.830271835,-32.22222222,10.013312256451949,0.34474069744493196,-0.176885928,-48.17853111,-42.25701714,-44.69079521,4.589714050292969,2.4712142944335938,1.9478987455368042,3.9230000972747803,8.768430709838867,180.99339294433594,156.29998779296875,-86.9103962,40.4248441,-0.022903807,0.013472741,-0.001312136,0.022738660423501023,-0.188924619,-0.010096228,-0.001982288,0.001713931,-0.001922983,Drive
27,10.003796118956346,0.5669177805001919,-0.150023078,-0.955404201,-0.019694417,0.014475941,0.2942419390655258,0.016114569,-0.046172321,2.5444444360084906,12.344081792831421,-75.98989479,-8.551955824,-29.375,10.003796118956346,0.5669177805001919,-0.150023078,-48.31578114,-40.1098172,-43.41186932,4.687471866607666,2.339444398880005,1.9579579830169678,3.9000000953674316,7.521633148193359,180.9874267578125,156.29998779296875,-86.9103932,40.4247751,-0.02400689,0.008752018,0.005140309,-0.003432755,0.10476349236317051,0.009891526,-0.003085372,-0.003006792,0.004529462,Drive
28,9.885023302244909,0.8484327671597305,-0.092527316,-0.958196644,-0.032783133,0.014698150603878267,0.28381457519762726,0.009598956,-0.071235618,2.5660026652141683,9.242963829040526,-76.43922043,-8.913441815,-30.44444444,9.885023302244909,0.8484327671597305,-0.092527316,-51.41677719,-40.55914314,-43.77323311,4.876312732696533,2.200568199157715,1.9678962230682373,3.9000000953674316,5.959007740020752,181.95668029785156,156.29998779296875,-86.910387,40.4247162,-0.026058863,0.004861573,-0.001845886,-0.05446284,0.13357334750369915,0.00457348,-0.005137344,-0.006897236,-0.002456733,Drive
29,9.828365145377742,1.4480874798830272,-0.067321368,-0.960518212,-0.050191248,0.019164554621047766,0.27287646838762225,0.009525685,-0.10708239,2.588517327910488,10.101355791091919,-78.18284439,-7.253753867,-30.5,9.828365145377742,1.4480874798830272,-0.067321368,-50.55814114,-42.30288918,-42.11342312,5.092486381530762,2.1560380458831787,1.978002905845642,3.9000000953674316,4.971285820007324,181.9724578857422,156.29998779296875,-86.9103811,40.4246683,-0.028490391,0.014042074,-4.58E-04,-0.049066882,0.38269704001621135,0.032046671,-0.007568872,0.002283264,-0.001068983,Drive
30,9.830415253500336,1.6065626150196037,-0.125123718,-0.962837082,-0.063721105,0.02610623,0.2610856621589476,0.017196107556301993,-0.136760015,2.613194092963506,9.648003807067871,-80.35639626,-9.330071793,-28.77777778,9.830415253500336,1.6065626150196037,-0.125123718,-51.01173695,-44.47631908,-44.18937531,5.329411983,2.1967248916625977,1.9879913330078125,3.9000000953674316,4.301099777,182.96224975585938,156.29998779296875,-86.9103798,40.4246279,-0.03424303,0.023697018935865028,0.002222476,0.044965781,0.25870083431595736,0.036917469,-0.013321511,0.011938209017033427,0.001611629,Drive
31,9.794810406212667,1.6317801764867839,-0.276858873,-0.964602856,-0.072371019,0.033211918673119865,0.2513700435654475,0.028050935,-0.156953947,2.6339567326582394,8.453623834,-78.46881241,-8.600999837,-28.77777778,9.794810406212667,1.6317801764867839,-0.276858873,-52.20648304,-42.58885723,-43.46262123,5.549309730529785,2.204948902130127,1.9978770017623901,3.9000000953674316,4.010043621063232,183.9774627685547,156.29998779296875,-86.9103794,40.4245956,-0.033925517,0.020909771833640452,0.001891277,-0.005434421,0.079568353,-1.01E-04,-0.013003998,0.009150962,0.00128043,Drive
