seconds_elapsed,microphone_dBFS,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscope_z,gyroscope_y,gyroscope_x,class
338,-145.5,-109.0201736,18.66355968475342,-28.41428755,0.016654023757347695,0.0026753,-0.001039747,9.948102228849837,-0.237606709,-0.190174226,9.948102228849837,-0.237606709,-0.190174226,-0.0215911,0.013814546,4.5813544252618717E-4,-136.6207208,24.603373584747313,16.345681591033937,0,0.23345234990119934,1.2175981998443604,10.788999557495117,4.66541649075225E-4,0,160.09999084472656,-86.9154805,40.3848518,-0.521955227,0.014445847858531544,-0.005352931,0.852833727,0.019058550654265743,0.024212859750080567,1.098197727249219,9.397650137543678E-5,-8.22E-05,-1.53E-04,Home
339,-149,-109.0309097,18.635621700286865,-28.42002151,0.003655248,0.001762707,-2.47E-04,9.951900574767475,-0.237066581,-0.189012661,9.951900574767475,-0.237066581,-0.189012661,-0.021765139,0.013840435072779655,4.551701651189874E-4,-136.6307254,24.576045475006104,16.339459743499756,0,0.23345234990119934,1.2276418209075928,10.76200008392334,1.3221451081335545E-4,0,160.09999084472656,-86.9154805,40.3848518,-0.521661702,0.014355602167836093,-0.005294081,0.8530152133367594,0.01897426,0.024011707349309644,1.0975103945408053,-8.01E-05,-5.63E-05,-1.56E-04,Home
340,-150.2222222,-109.0049242,18.662339763641356,-28.46772345,-0.001448779,1.2410077655199662E-4,-0.001122159,9.947977390104127,-0.238062622,-0.1900813,9.947977390104127,-0.238062622,-0.1900813,-0.021658389,0.013591351738036836,6.09364616571591E-4,-136.6036407,24.60300745010376,16.29212366104126,0,0.2408318966627121,1.2375531196594238,10.73799991607666,1.8060616639559157E-5,0,160.09999084472656,-86.9154805,40.3848518,-0.521591296,0.014344992,-0.005262137,0.8530586390819365,0.018991451,0.023944558828924465,1.097345349858108,2.668750160418957E-5,-3.05E-04,-1.48E-06,Home
341,-140.375,-109.0312759,18.62610569000244,-28.42538944,-0.002429962,1.0873883673288289E-4,-8.33E-04,9.942622536594428,-0.23766769,-0.189825757,9.942622536594428,-0.23766769,-0.189825757,-0.021599084,0.013745546205312882,6.686701756920123E-4,-136.6313342,24.566407527923584,16.334335708618163,0,0.2408318966627121,1.247668981552124,10.732999801635742,8.593907296017278E-6,0,160.09999084472656,-86.9154805,40.3848518,-0.521561135,0.014341690640860391,-0.005246433,0.8530772334163629,0.019003042698051167,0.023913643458514537,1.097274637916713,8.599306072461085E-5,-1.51E-04,5.782290883995231E-5,Home
342,-146.2222222,-109.0254198,18.658557605743407,-28.38927738,-0.005009392,-1.33E-05,-0.001278377,9.935022665904118,-0.23702749,-0.189447132,9.935022665904118,-0.23702749,-0.189447132,-0.021587223,0.013591352,6.805312875160966E-4,-136.6248683,24.598981494903565,16.370813674926758,0,0.1702938675880432,1.1069483757019043,9.937999725341797,0.023297220468521118,0,160.09999084472656,-86.9154808,40.3848521,-0.521431831,0.014290059383199053,-0.005239718,0.853157184,0.018925531,0.023845449270843304,1.0969721298773312,9.78541725486951E-5,-3.05E-04,6.968402122915948E-5,Home
343,-146.625,-109.0069978,18.65831365585327,-28.51200949,-0.001179343,1.1474038790730597E-5,-0.001403458,9.930434643643574,-0.237505071,-0.190383308,9.930434643643574,-0.237505071,-0.190383308,-0.021717695,0.013804852,5.737812844900758E-4,-136.6069341,24.598615531921386,16.247837600708007,0,0.2408318966627121,1.1168488264083862,9.937999725341797,0.025799777,0,160.09999084472656,-86.9154808,40.3848524,-0.521597252,0.014359644433320726,-0.005242605,0.8530548712582264,0.019036668542664028,0.023926647289574724,1.0973590728148674,-3.26E-05,-9.19E-05,-3.71E-05,Home
344,-144.7777778,-109.0198078,18.64391767501831,-28.41697144,-0.006446274,-0.001641443,-4.71E-04,9.923212625447986,-0.240827145,-0.190104531,9.923212625447986,-0.240827145,-0.190104531,-0.021717695,0.01378113,6.093646177018369E-4,-136.6188911,24.583975524902343,16.34397373199463,0,0.2408318966627121,1.1168488264083862,9.937999725341797,0.025799777,0,160.09999084472656,-86.9154808,40.3848524,-0.52180522,0.014418185,-0.005293036,0.8529263613293472,0.019078102,0.024078435,1.0978461260934478,-3.26E-05,-1.16E-04,-1.48E-06,Home
345,-140.75,-109.0526257,18.610001678466798,-28.45186337,6.649332139098529E-4,6.424396940805379E-4,-7.05E-04,9.918996125749015,-0.240330576,-0.189454057,9.918996125749015,-0.240330576,-0.189454057,-0.021634667,0.013721823954538814,5.73781282794707E-4,-136.6535385,24.549327659606934,16.307739734649658,0,0.18439088761806488,1.1368684768676758,9.93500042,0.007390928,0,160.09999084472656,-86.9154809,40.3848524,-0.522066921,0.014470544245853586,-0.005390904,0.8527647094819152,0.019057884667683572,0.024305924809384115,1.0984594717766474,5.040972525235808E-5,-1.75E-04,-3.71E-05,Home
346,-147.3333333,-109.021394,18.676125679016113,-28.43222145,0.006006452,0.001846511,-0.001077928,9.934241693,-0.237972601,-0.191033784,9.934241693,-0.237972601,-0.191033784,-0.02167333,0.013767557684332132,3.9940012972622825E-4,-136.6219408,24.616549434661867,16.327991733551027,0,0.18439088761806488,1.1469531059265137,9.93500042,0.002588383,0,160.09999084472656,-86.9154809,40.3848524,-0.521928991,0.014456951,-0.005316716,0.8528498462759532,0.019116062473935578,0.024162077380774114,1.0981359344262343,1.1747062671929598E-5,-1.29E-04,-2.11E-04,Home
347,-148.375,-108.9754001,18.633547649383544,-28.46589336,-0.00831304,-0.00105026,-0.001071378,9.922318254859702,-0.241042034,-0.190801471,9.922318254859702,-0.241042034,-0.190801471,-0.021646528,0.013674379489158542,6.212257289607982E-4,-136.5761917,24.57336161,16.29456365585327,0,0.26248809695243835,1.1568913459777832,9.954000473022461,6.771746557205915E-4,0,160.09999084472656,-86.9154809,40.3848524,-0.521932638,0.014454452791115612,-0.005323294,0.8528476021822217,0.019104819473566362,0.024170774749471147,1.098144535879487,3.8548613428273825E-5,-2.22E-04,1.0378460413369449E-5,Home
348,-145,-109.0029717,18.63269359588623,-28.43954151,-0.015895344,-9.41E-04,-5.52E-04,9.886495580950987,-0.244085333,-0.190569158,9.886495580950987,-0.244085333,-0.190569158,-0.021504195,0.013686240650713444,4.7889238933227884E-4,-136.6032753,24.57275156021118,16.320183658599852,0,0.2765863239765167,1.166841745376587,9.979999542236328,1.0075890168081969E-4,0,160.09999084472656,-86.9154809,40.3848524,-0.522449608,0.014594329512018023,-0.005457795,0.8525277659731004,0.019188238940771343,0.024557914584875107,1.099355774018371,1.8088195531728486E-4,-2.11E-04,-1.32E-04,Home
349,-145,-109.0456717,18.606707649230955,-28.4029414,-0.003705228,4.141858769851981E-4,-6.29E-04,9.882685503913361,-0.244898428,-0.189012661,9.882685503913361,-0.244898428,-0.189012661,-0.021634667,0.013591351738036836,4.551701651189874E-4,-136.6454872,24.54578945159912,16.35727165222168,0,0.26248809695243835,1.1768320798873901,10.032999992370605,7.924735109554604E-5,0,160.09999084472656,-86.9154809,40.3848524,-0.522680415,0.014606238342821598,-0.005599294,0.852385177,0.019054017942941304,0.024816850073707913,1.099897617275275,5.040972525235808E-5,-3.05E-04,-1.56E-04,Home
350,-135,-109.0661677,18.657215690612794,-28.43026943,0.002849616,4.6831369400024414E-4,-0.00221228,9.889282914308401,-0.245278701,-0.190413463,9.889282914308401,-0.245278701,-0.190413463,-0.021646528,0.013626935050904173,4.3144794090569597E-4,-136.6657384,24.597517528533935,16.328967666625978,0,0.26248809695243835,1.1768320798873901,10.032999992370605,7.924735109554604E-5,0,160.09999084472656,-86.9154809,40.3848524,-0.522731947,0.014612093170001669,-0.005625722,0.852353293,0.019034871831536293,0.024869189,1.1000185626224406,3.8548613428273825E-5,-2.70E-04,-1.79E-04,Home
