seconds_elapsed,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,microphone_dBFS,magnetometer_z,magnetometer_y,magnetometer_x,gyroscope_z,gyroscope_y,gyroscope_x,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,class
139,45,1.5,1,13.291000366210938,0,0,149.39999389648438,-86.9110085,40.4279897,-0.939509871,0.014728302344028811,-0.004790927,0.3421714705170937,0.001077477,0.030958347329960285,2.4430347993535904,9.951049665802891,-0.308633468,-0.010875147,-136.3333333,-57.51360489,-20.97850956,-18.91536762,-1.35E-04,4.0327780201886463E-4,-2.06E-04,-0.003308055,-2.43E-04,-7.18E-05,9.951049665802891,-0.308633468,-0.010875147,-0.021361862,0.015216324044373428,9.933679909400135E-5,-100.7734619,37.22256511688232,-51.55512493,Classroom
140,0,1.5,1,13.178999900817871,0.049778226763010025,0,149.39999389648438,-86.9110137,40.4279856,-0.939527237,0.014733338846092663,-0.004798118,0.34212345376755426,0.001065823,0.030972780876802008,2.443137124904151,9.950132,-0.308192073,-0.009156031,-127.625,-57.4967688,-20.96521151,-18.9780757,-7.56E-05,-3.56E-05,-4.00E-05,-0.001798972,2.6765957619380025E-4,0.001529918,9.950132,-0.308192073,-0.009156031,-0.021302557,0.014777462857151494,2.653923623706892E-4,-100.7572365,37.23342342376709,-51.61807705,Classroom
141,0,1.5,1,13.178999900817871,0.049778226763010025,0,149.39999389648438,-86.9110137,40.4279856,-0.939629625,0.014713514,-0.004948852,0.3418408487606974,7.595441688995953E-4,0.031038918089374756,2.4437430761392833,9.933883767861586,-0.310422722,-0.00759261,-114.3333333,-57.54056667,-20.96655352,-18.94476963,-4.45E-06,-1.68E-04,2.223958500923173E-4,-0.011106639,-0.001420461,8.10565616826988E-5,9.933883767861586,-0.310422722,-0.00759261,-0.02123139,0.014765601740806426,4.0772570595506904E-4,-100.8001804,37.23378921508789,-51.58416103,Classroom
142,0,1.5,1,13.178999900817871,0.049778226763010025,0,149.39999389648438,-86.9110137,40.4279856,-0.939734929,0.014901036,-0.005028814,0.3415419520104973,7.27500469826198E-4,0.031446321189258865,2.444377271874437,9.90231613,-0.313814045,-0.006693515,-118.125,-57.58119274,-20.99461361,-18.93622963,-7.56E-05,9.637157595490367E-5,5.337500320837914E-5,-0.014630207,-0.001983227,6.009086387828716E-4,9.90231613,-0.313814045,-0.006693515,-0.021302556,0.01506213,2.0608679759903875E-4,-100.841416,37.20633941650391,-51.57525497,Classroom
143,0,1.5,1,13.178999900817871,0.049778226763010025,0,149.39999389648438,-86.9110137,40.4279856,-0.939757619,0.015113050054794954,-0.004979017,0.34147094812208006,9.63676607267913E-4,0.031810948,2.4445223808288574,9.902316148998668,-0.316950268,-0.010735759,-131.6666667,-57.50055077,-20.95886755,-18.97417168,-6.38E-05,-9.34E-05,8.89583409411236E-5,-0.001778806,-0.001762194,-0.001159916,9.902316148998668,-0.316950268,-0.010735759,-0.021290695,0.014872351760786134,2.416701308107998E-4,-100.7608958,37.24220737457276,-51.61502705,Classroom
144,0,1.5,1,13.178999900817871,0.049778226763010025,0,149.39999389648438,-86.9110137,40.4279856,-0.939794547,0.015148404126679435,-0.005013462,0.34136721810090886,9.195539547645858E-4,0.031901036,2.444743272,9.906242232,-0.3166018,-0.008598481,-133.625,-57.53141674,-20.98082756,-18.99112968,-4.00E-05,-2.48E-04,8.89583386806319E-5,0.001790028,2.1681623551452045E-4,4.257184760735452E-4,9.906242232,-0.3166018,-0.008598481,-0.021266973,0.014718157302552057,2.4167014380862702E-4,-100.7915185,37.21805130004883,-51.63039902,Classroom
145,0,1.5,1,13.178999900817871,0.049778226763010025,0,149.39999389648438,-86.9110137,40.4279856,-0.939793941,0.015062366693633275,-0.005016971,0.34137264443832693,8.543425491667416E-4,0.031741671,2.4447337724630116,9.910659058580121,-0.313578826,-0.009620657,-138.6666667,-57.53971302,-20.95288952,-18.89560373,-1.47E-04,-9.34E-05,1.1268056232880041E-4,0.002587115,7.033643213290613E-4,-7.75E-04,9.910659058580121,-0.313578826,-0.009620657,-0.021373723,0.014872351769828101,2.653923623706892E-4,-100.7992041,37.248063278198245,-51.53414089,Classroom
146,45,1.5,1,12.991999626159668,0.11154697090387344,264.54095458984375,149.39999389648438,-86.9110211,40.4279851,-0.939768949,0.015023877,-0.004968512,0.34144386706443935,9.215748835301313E-4,0.031636156,2.4445817722724033,9.919437426965214,-0.313837275,-0.008621712,-130.3333333,-57.53849274,-20.98570751,-18.92024769,-5.87E-05,8.222947284453906E-5,-4.70E-05,0.004187144,1.7130489532764142E-4,4.737935064790341E-4,9.919437426965214,-0.313837275,-0.008621712,-0.021285677,0.015047987430499723,1.0572355733109781E-4,-100.7984719,37.21158535003662,-51.5604929,Classroom
147,45,1.5,1,12.991999626159668,0.11154697090387344,264.54095458984375,149.39999389648438,-86.9110211,40.4279851,-0.939778669,0.014944572,-0.004986085,0.34142033162626245,8.335413515242269E-4,0.031499087,2.4446340972937426,9.916742685929085,-0.312420169,-0.008296474,-131.875,-57.47639496,-21.01218159,-18.95477373,-1.47E-04,-1.29E-04,1.3640278597696893E-4,-4.75E-04,1.9114341550660366E-4,4.9404745686401444E-5,9.916742685929085,-0.312420169,-0.008296474,-0.021373723,0.014836768393666998,2.8911459449570157E-4,-100.7366178,37.18755153656006,-51.59416504,Classroom
148,45,1.5,1,12.991999626159668,0.11154697090387344,264.54095458984375,149.39999389648438,-86.9110211,40.4279851,-0.939807188,0.014931513014638308,-0.005011123,0.3413420200926586,7.749048668610891E-4,0.031491702,2.444801740276003,9.915325553671828,-0.313233263,-0.007762154,-125.3333333,-57.5088467,-21.01596359,-18.95440762,-4.00E-05,-1.53E-04,6.52361150324634E-5,-4.40E-04,-7.41E-04,1.3506754292446432E-6,9.915325553671828,-0.313233263,-0.007762154,-0.021266973,0.014813046179060797,2.1794792072558144E-4,-100.7689481,37.18413547515869,-51.59428699,Classroom
