seconds_elapsed,microphone_dBFS,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscope_z,gyroscope_y,gyroscope_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,class
83,-127.25,9.948055822872421,-0.232652637,0.1692254114353541,9.948055822872421,-0.232652637,0.1692254114353541,-0.613399563,4.6889042426398003E-4,-0.014500247,0.7896394689106246,-0.017053912,0.023477326698818253,1.321079553909672,1.1416320695804017E-4,-1.73E-04,-1.20E-04,-114.5193232,54.30829879760742,-32.55899326,-48.87929913,6.128059835,-20.37814756,0.002741341,0.001057858,-9.27E-05,-0.021112778,0.013876018412772891,4.907535000261172E-4,0,1.5,1.0790654420852661,27.94700050354004,0.003033164,0,167.59999084472656,-86.9131212,40.4274967,Garage
84,-144.8888889,9.940836656440808,-0.233236322,0.16767762760514193,9.940836656440808,-0.233236322,0.16767762760514193,-0.613421861,5.027129375873115E-4,-0.014476199,0.7896225683897444,-0.016971624,0.023480373787359128,1.3211345661033704,3.3952433048539514E-4,-9.04E-05,-1.33E-05,-114.5077335,54.29085296630859,-32.57119324,-48.86709911,6.110613847,-20.39071369,-0.002711602,5.59389591217041E-5,-0.001435624,-0.020887417,0.013959046236230331,5.975035053126297E-4,45,7.488584518432617,1.1421232223510742,103.16300201416016,0.12624964118003845,176.49696350097656,167.59999084472656,-86.9131204,40.4274866,Garage
85,-124.625,9.942605111205463,-0.233695138,0.16835133514358003,9.942605111205463,-0.233695138,0.16835133514358003,-0.613417539,5.076817610952099E-4,-0.014466036,0.7896261035817341,-0.016951171,0.023470517229831334,1.321123069929845,2.2091321111430677E-4,-4.30E-05,3.41006851917838E-5,-114.5054157,54.33806697845459,-32.51556129,-48.864659,6.157949843406677,-20.33569168,6.431283302677488E-4,-5.00E-04,-5.06E-04,-0.021006028,0.014006490620232901,6.449479526089667E-4,45,7.488584518432617,1.1421232223510742,103.16300201416016,0.12624964118003845,176.49696350097656,167.59999084472656,-86.9131204,40.4274866,Garage
86,-129.8888889,9.935760525823797,-0.234127822,0.16869980386159952,9.935760525823797,-0.234127822,0.16869980386159952,-0.613492235,5.440428397448089E-4,-0.014484487,0.7895677049572651,-0.016918627,0.023542671822584592,1.3213129547926097,1.997000715793827E-4,-7.05E-05,-5.87E-05,-114.4562496,54.33745700836182,-32.49250332,-48.81622505,6.156851863861084,-20.31275564,-0.005306849,1.5233299480034754E-4,5.225357241355456E-4,-0.021027242,0.013979004794516815,5.52111944461313E-4,45,1.5,1.1725801229476929,13.98799991607666,0.19639089703559875,329.1951599121094,167.59999084472656,-86.9131271,40.4274991,Garage
87,-121.25,9.896043712653002,-0.238785696,0.16935028020039344,9.896043712653002,-0.238785696,0.16935028020039344,-0.613734973,5.656522235299632E-4,-0.014668609,0.7893756165087802,-0.017117981,0.023854667,1.3219371096601764,2.9207988940541026E-4,-2.56E-04,2.2239568281593253E-5,-114.5681235,54.31647304534912,-32.46566349,-48.92797699,6.136233863830566,-20.2853056,-0.019138753,-0.002268289,-5.21E-04,-0.020934862,0.013792990670693152,6.330868385243908E-4,45,1.5,1.1725801229476929,13.98799991607666,0.19639089703559875,329.1951599121094,167.59999084472656,-86.9131271,40.4274991,Garage
88,-118.7777778,9.888028792964603,-0.239903701,0.16890888538175416,9.888028792964603,-0.239903701,0.16890888538175416,-0.61398765,6.552037773925124E-4,-0.014774049,0.7891770641780594,-0.017113852,0.024125604,1.3225821488111922,5.4857646142250124E-5,1.1119792165542112E-4,-1.68E-04,-114.4968759,54.28133701324463,-32.45761131,-48.85624096,6.101463866233826,-20.27664366,-0.005912272,-0.001230794,-5.59E-04,-0.021172084,0.014160685096550914,4.433090532949032E-4,45,1.5,1.1725801229476929,13.98799991607666,0.19639089703559875,329.1951599121094,167.59999084472656,-86.9131271,40.4274991,Garage
89,-122,9.890049962,-0.240481578,0.16839779783221123,9.890049962,-0.240481578,0.16839779783221123,-0.614205551,7.744966932680928E-4,-0.014810991,0.7890066759100238,-0.016977687,0.024325745125997413,1.323135485926878,-4.45E-06,6.375347379396117E-5,-2.27E-04,-114.5016337,54.31952308654785,-32.49286926,-48.86221916,6.138551840782165,-20.31275558,3.973951617490898E-5,1.435357968784073E-4,3.444627650733133E-4,-0.02123139,0.014113241,3.840034941744819E-4,45,1.5,1.1725801229476929,13.98799991607666,0.19639089703559875,329.1951599121094,167.59999084472656,-86.9131271,40.4274991,Garage
90,-124.75,9.895219078430763,-0.240487303,0.16998243905030763,9.895219078430763,-0.240487303,0.16998243905030763,-0.614149627,7.263286682343092E-4,-0.014824052,0.7890499905475135,-0.017068057,0.024288394,1.322994761096621,-4.00E-05,-7.86E-05,-1.20E-04,-114.5083437,54.31635078430176,-32.55533344,-48.8680751,6.136355838775635,-20.37607353,0.002936928,1.4467002118675455E-5,8.532018626777871E-4,-0.021266973,0.013970907307365566,4.907534988958714E-4,45,1.5,1.1725801229476929,13.98799991607666,0.19639089703559875,329.1951599121094,167.59999084472656,-86.9131271,40.4274991,Garage
91,-134,9.906613961006832,-0.236334794,0.1704886136124435,9.906613961006832,-0.236334794,0.1704886136124435,-0.613980619,6.36456820783793E-4,-0.014791985,0.7891822046446568,-0.017165289,0.024131028289065777,1.3225654004846963,1.7346876494821558E-4,2.8170134365847966E-5,-1.48E-06,-114.4579575,54.33526092529297,-32.52910316,-48.81829926,6.154411854743958,-20.35069771,0.00800092,0.002182174,5.312488206381937E-4,-0.021053473,0.014077657236925606,6.093646154413452E-4,45,1.5,1.1725801229476929,13.98799991607666,0.19639089703559875,329.1951599121094,167.59999084472656,-86.9131271,40.4274991,Garage
92,-143.125,9.948276454962572,-0.233680619,0.16921089285785712,9.948276454962572,-0.233680619,0.16921089285785712,-0.613638572,5.466112769796576E-4,-0.014608945,0.7894516726141995,-0.017071844,0.023739183,1.321689969127618,1.4974654016980125E-4,-1.93E-05,-1.08E-04,-114.4926055,54.32001079559326,-32.55765125,-48.85258121,6.140503835678101,-20.3774157,0.019523148,0.001803246,-3.82E-04,-0.021077195,0.014030212834839103,5.026146118502015E-4,45,1.5,1.1725801229476929,13.98799991607666,0.19639089703559875,329.1951599121094,167.59999084472656,-86.9131271,40.4274991,Garage
