seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,microphone_dBFS,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometer_z,magnetometer_y,magnetometer_x,class
107,-0.050373948,-0.076157749,-0.056041677,9.936181655296913,-0.599186376,0.1805775817617989,-0.001831059,-0.001033399,3.528681084133902E-4,-24.66666667,-50.2883989,73.59771842956543,-49.90409916,-0.02626868,-0.011069649,-0.026342567,0.9992408162181817,-0.023549219,0.052093347950467786,0.053172955199063406,9.936181655296913,-0.599186376,0.1805775817617989,-0.023058001,0.012405241,8.110035486627841E-4,0.6915156841278076,1.0217632055282593,1.8623188734054565,3.9000000953674316,15.614188194274902,345.0690002441406,160.39999389648438,-86.912179,40.387388,7.792261848449707,40.05784538269043,-18.22387169,Drive
108,-0.015133737,-0.015965321,-0.013563141,9.911068527443895,-0.608903671,0.21417214592141146,0.001430747,-0.002670233,-4.89E-04,-23.33333333,-50.15127117,73.46400680541993,-49.564939,-0.033132266,-0.010369004,-0.030307715,0.9989355449537629,-0.022767921,0.059899865,0.06699298,9.911068527443895,-0.608903671,0.21417214592141146,-0.019796196,0.010768407007489461,-3.11E-05,0.719733715,1.0666770935058594,1.8724194765090942,3.9000000953674316,15.502606391906738,345.0747985839844,160.39999389648438,-86.9122235,40.3875236,7.928413829803467,39.924011116027835,-17.88483364,Drive
109,-0.038040198,0.003931539,0.001151572,9.895108602579358,-0.592772445,0.1916610291589377,-0.001380337,0.002465629,-3.23E-04,-25.75,-49.81943123,73.30491859436034,-49.17161125,-0.040665911,-0.008400045,-0.030368376,0.9986730923930418,-0.019284384,0.060011805,0.081973605,9.895108602579358,-0.592772445,0.1916610291589377,-0.022607279,0.015904268,1.3492018090633368E-4,0.6767877340316772,0.9940322041511536,1.8824042081832886,3.9000000953674316,15.225278854370117,345.15069580078125,160.39999389648438,-86.9122713,40.3876548,8.259765872955322,39.763947067260744,-17.49138367,Drive
110,0.001323122,0.034429765,-0.022822514,9.849999270392853,-0.582327076,0.18792659832725248,4.6988232217979835E-5,-0.005744314,-0.006366908,-24.88888889,-49.91398113,73.98165229797364,-49.76660507,-0.048219311,-0.009250511,-0.03173529,0.9982872874690936,-0.021575438,0.062509292,0.097204161,9.849999270392853,-0.582327076,0.18792659832725248,-0.021179954,0.007694326,-0.005908772,0.7167640924453735,1.0604244470596313,2.530585765838623,3.9000000953674316,14.820185661315918,345.2648926,156.26922607421875,-86.9123168,40.3877812,8.165581793785096,40.44190113067627,-18.08637777,Drive
111,0.002780609,0.035705511,-9.79E-04,9.860084533691406,-0.57200948,0.14771033653501167,0.002913386,-0.001033399,-0.005103243,-29.625,-50.17127899,73.60918647766113,-49.48319897,-0.053549575,-0.005868815,-0.031141121,0.9980597918473401,-0.015077782,0.061571077,0.10766815994549724,9.860084533691406,-0.57200948,0.14771033653501167,-0.018313557,0.012405240463513375,-0.004645108,0.722250223,1.0065783262252808,2.9526453018188477,3.9000000953674316,14.273503303527832,345.3460388183594,155.95745849609375,-86.9123586,40.3879013,7.9081618595123295,40.06906898498535,-17.80321554,Drive
112,0.002993824,0.038421853,0.081948609,9.870904497,-0.545752318,0.39232127874800304,-0.013929393,-0.006608122,-0.004522049,-29.11111111,-49.47343884,74.22211463928222,-48.9687249,-0.062514254,-0.013825455,-0.030484209,0.9974726982487058,-0.031451252,0.059100855,0.1261099451085896,9.870904497,-0.545752318,0.39232127874800304,-0.035156335,0.006830518,-0.004063913,0.7589237093925476,1.0761505365371704,3.3691391944885254,3.9000000953674316,14.006790161132812,345.23333740234375,156.28594970703125,-86.9124025,40.388023,8.606367835998535,40.68187507629395,-17.28886366,Drive
113,0.024277548,-0.022686128,-0.077162415,9.896148209432953,-0.582661025,0.3217330090159062,-0.006872032,-0.001306205,-0.003098715,-22.625,-48.73814529,73.88746871948243,-48.94566692,-0.071032816,-0.018104802,-0.029667494,0.99686405,-0.040388299,0.05661308,0.14341170854360155,9.896148209432953,-0.582661025,0.3217330090159062,-0.028098974,0.012132435,-0.00264058,0.8047322034835815,1.1264545917510986,3.019595146179199,3.9000000953674316,13.831743240356445,345.1602783203125,156.3958740234375,-86.9124449,40.3881423,9.341661863327026,40.34698513031006,-17.26604959,Drive
114,0.019770964835453958,-0.256442887,-0.065481461,9.962951366717999,-1.081886573,0.18548689438746527,0.004739997,-0.004390094,0.003697702,-28.66666667,-48.19536709,73.56648620605469,-48.84404087,-0.073721324,-0.009434625,-0.042057528,0.9963272549573657,-0.02509838,0.082513026,0.14874292360347452,9.962951366717999,-1.081886573,0.18548689438746527,-0.016486946,0.009048546,0.004155837,0.8488734364509583,1.2342203855514526,3.0124928951263428,3.9000000953674316,13.509772300720215,346.0804443359375,155.88714599609375,-86.9124832,40.3882535,9.883951826095581,40.02588127,-17.16430166,Drive
115,0.007483538,-0.296935566,0.011232153015229309,9.973763966,-1.624058677,0.2065522829974884,0.004431608,0.003711045,0.003828174,-25,-48.25819687,73.00797065734864,-48.97421509,-0.075986907,-0.004819262,-0.066377542,0.9948595553925894,-0.019859818,0.13172793598140328,0.15376533032620995,9.973763966,-1.624058677,0.2065522829974884,-0.016795334,0.017149685127027695,0.004286309,0.9199426174163818,1.1928118467330933,2.809084415435791,3.9000000953674316,13.144262313842773,346.2596435546875,156.0103759765625,-86.9125177,40.388363,9.822219848632812,39.46785327911377,-17.2942318,Drive
116,-0.049185642,-0.129458747,0.013181075670765442,9.904110696,-1.748311216,0.22960643213495469,-0.004286309,0.003260323,0.005049868,-26.875,-48.28552521,73.00919052124023,-49.51369911,-0.080940806,-0.00408388,-0.081209372,0.9933918083755715,-0.021551192,0.16138420449298563,0.16434476748832222,9.904110696,-1.748311216,0.22960643213495469,-0.025513252,0.016698963,0.005508004,0.957557201,1.1428472995758057,2.744588613510132,3.9000000953674316,12.638471603393555,346.3879395,155.33160400390625,-86.9125534,40.3884691,9.794403877,39.46809700012207,-17.83359369,Drive
