seconds_elapsed,magnetometer_z,magnetometer_y,magnetometer_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,microphone_dBFS,accelerometer_z,accelerometer_y,accelerometer_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,class
402,-52.42766907,12.772179803848267,19.75619167327881,-113.9878918,56.39047309875488,-8.563057871,-1.11E-04,-2.52E-05,-8.90E-05,9.909796594416054,0.41719908563836106,-0.072716835,-133.7777778,0.010479159,0.001276052,2.972563204256076E-4,0,0.086023256,1.205496072769165,11.456999778747559,0.002617693,0,160.1999969482422,-86.9154929,40.384865,9.909796594416054,0.41719908563836106,-0.072716835,0.4386773329336666,0.012518847,0.017244232,0.89839196,0.007370917,-0.041979956,-0.908319603,-0.021338139,0.015856824,6.375347605445287E-5,Home
403,-52.35337097,12.698979768753052,19.705073680877685,-113.913716,56.31910305023193,-8.614907818,5.48576427515126E-5,-8.45E-05,-5.34E-05,9.950166980039727,0.42107871001206554,-0.073994555,-137,0.018828142,0.001896902,-0.001221626,0,0.086023256,1.2155814170837402,11.456999778747559,0.004973855,0,160.1999969482422,-86.9154929,40.3848651,9.950166980039727,0.42107871001206554,-0.073994555,0.4385600741048461,0.012537450882271655,0.017343151572983242,0.8984470402152793,0.007323023,-0.042173157,-0.908060762,-0.021172084,0.015797519,9.93368109615827E-5,Home
404,-52.35361496,12.754733753204345,19.708977584838866,-113.9133497,56.37449100494385,-8.610271873,-1.35E-04,2.83184027281201E-4,-6.52E-05,9.955623404,0.42265843708538314,-0.073367311,-134.6666667,0.004903219,0.001443435,5.147488227168333E-4,0,0.086023256,1.2254862785339355,11.456999778747559,0.00352954,0,160.1999969482422,-86.9154929,40.3848651,9.955623404,0.42265843708538314,-0.073367311,0.43840974048503395,0.012605034,0.017378921195575336,0.8985187671716931,0.007420253,-0.04229552,-0.907725055,-0.021361862,0.016165213,8.747569857237554E-5,Home
405,-52.39655895,12.737653789520264,19.785471744537354,-113.9556841,56.35850887298584,-8.535363855,1.9274307844382756E-5,4.596178458316378E-5,-1.48E-04,9.950498517,0.42362164018245846,-0.073832383,-151.75,-0.001731928,0.001026521,7.233340474008356E-4,0,0.086023256,1.2355387210845947,11.456999778747559,0.00169431,0,160.1999969482422,-86.9154929,40.3848651,9.950498517,0.42362164018245846,-0.073832383,0.43827139810451027,0.012660217851183368,0.017426432,0.8985845637552946,0.007484345,-0.042428193,-0.907416773,-0.021207667,0.015927991,4.447915238662831E-6,Home
406,-52.41058926,12.74021577835083,19.844885597229005,-113.9700799,56.35936298370361,-8.475949812,1.0230209174321838E-4,-1.56E-04,7.709722685654765E-5,9.946447002077566,0.42319275511121285,-0.075039963,-137.3333333,-0.001864989,-4.55E-04,-0.001317717,0,0.086023256,1.2455778121948242,11.456999778747559,6.300258683040738E-4,0,160.1999969482422,-86.9154929,40.3848651,9.946447002077566,0.42319275511121285,-0.075039963,0.43822533413044457,0.012651089461321392,0.017499584234455256,0.8986057372926508,0.007405934,-0.042551348,-0.907316589,-0.02112464,0.015726351848288068,2.2980903876601783E-4,Home
407,-52.34324493,12.729235792160035,19.67811164855957,-113.9028578,56.34911502838135,-8.64186986,7.41319545517558E-6,-1.48E-06,-2.97E-05,9.937218277199754,0.42196149733460064,-0.074923807,-132.75,-0.005807886,-9.39E-04,-6.26E-04,0,0.086023256,1.1051228046417236,9.93500042,0.011568048968911171,0,160.1999969482422,-86.9154932,40.3848651,9.937218277199754,0.42196149733460064,-0.074923807,0.4382328495238591,0.012668010082493708,0.017455483325621458,0.8986026910902227,0.007474699,-0.042486946,-0.907331553,-0.021219528,0.015880546,1.2305903517487412E-4,Home
408,-52.44901905,12.768397750854492,19.758387680053712,-114.008876,56.388764991760254,-8.560495787,7.413197715667266E-6,-6.08E-05,1.779166773612638E-5,9.937529027,0.42179887937110605,-0.074575338,-137,8.831301939140246E-4,-1.68E-04,-6.12E-04,0,0.086023256,1.1150685548782349,9.93500042,0.008177777,0,160.1999969482422,-86.9154932,40.3848651,9.937529027,0.42179887937110605,-0.074575338,0.43828246489311884,0.012646601544421853,0.017441811,0.8985790564018545,0.007445838,-0.042444,-0.907442247,-0.021219528,0.015821241,1.7050348247121117E-4,Home
409,-52.36398514,12.743997774124146,19.77693161010742,-113.9238414,56.36436500549316,-8.542683849,1.2602431369601813E-4,5.7822896407248034E-5,-1.25E-04,9.94070891,0.4227513615946168,-0.073622855,-120.375,0.001013395,3.745877048344288E-4,4.903985892684714E-4,0,0.086023256,1.1251028776168823,9.93500042,0.003910949,0,160.1999969482422,-86.9154932,40.3848651,9.94070891,0.4227513615946168,-0.073622855,0.4382942029573385,0.012641149,0.017439387,0.8985734558799892,0.007437602,-0.042434959,-0.907468481,-0.021100917,0.015939852,2.817013888683134E-5,Home
410,-52.42937695,12.735579767227172,19.704585723876953,-113.9897221,56.35582504272461,-8.615029879,1.4096475598097852E-4,-1.29E-04,1.1747062671929598E-5,9.939948109747137,0.42298367619514465,-0.076875235,-135.3333333,-6.47E-05,3.5362547406783473E-4,-0.00173355,0,0.086023256,1.1352099180221558,9.93500042,0.001442893,0,160.1999969482422,-86.9154932,40.3848651,9.939948109747137,0.42298367619514465,-0.076875235,0.4381772649402802,0.012705043011989731,0.017443589901981447,0.8986295043275907,0.007554378,-0.04249756,-0.907206361,-0.021085977,0.015752811271410722,1.644588762876363E-4,Home
411,-52.36996292,12.73374981880188,19.74667556762695,-113.930308,56.35289707183838,-8.573671846,-4.45E-06,2.1201735068546626E-4,-5.34E-05,9.939587981955519,0.42186857485076756,-0.075179351,-130.25,-3.76E-04,-7.73E-04,5.674707947425472E-4,0,0.086023256,1.1450806856155396,9.93500042,0.003461946,0,160.1999969482422,-86.9154931,40.3848651,9.939587981955519,0.42186857485076756,-0.075179351,0.4381512119932082,0.012729039560388592,0.017424170072506934,0.8986422465842905,0.007615808,-0.042483457,-0.90714709,-0.02123139,0.016094046,9.933681152670563E-5,Home
412,-52.39167892,12.730333766937257,19.669571628570555,-113.9516579,56.34984714508057,-8.651019917,1.2602431426114103E-4,-6.08E-05,8.89583386806319E-5,9.928550053568719,0.42226350423201775,-0.075899521,-128.3333333,-0.007549721,-6.50E-04,1.263149010324941E-4,0,0.086023256,1.1550047397613525,9.93500042,0.002686606,0,160.1999969482422,-86.9154931,40.3848651,9.928550053568719,0.42226350423201775,-0.075899521,0.43809969072203037,0.012751561273070216,0.017437748,0.8986667770783878,0.007646856,-0.042527177,-0.907032109,-0.021100917,0.015821241,2.416701534157167E-4,Home
413,-52.45658302,12.724599752426148,19.712027778625487,-114.0163181,56.34484523773193,-8.608685827,-8.75E-05,-1.08E-04,-5.34E-05,9.889678242137132,0.4162930643674239,-0.074552106,-128.375,-0.018169209,-0.002541068,-1.30E-04,0,0.1063014566898346,1.1650410890579224,9.93500042,0.001339063,0,160.1999969482422,-86.9154931,40.3848651,9.889678242137132,0.4162930643674239,-0.074552106,0.43840234603696654,0.012630865,0.017333797,0.8985228787348108,0.007506671,-0.04223698,-0.90770655,-0.021314417,0.015773796,9.933680983133686E-5,Home
414,-52.45780323,12.740825757980346,19.699217586517335,-114.0175378,56.36058280944824,-8.621251888,-6.38E-05,-2.52E-05,-7.71E-05,9.882610404,0.41582195976605785,-0.074591645,-129.4444444,-0.005623364,-9.81E-04,-5.64E-04,0,0.086023256,1.1750320196151733,9.93500042,0.005078227,0,160.1999969482422,-86.9154931,40.3848652,9.882610404,0.41582195976605785,-0.074591645,0.4385048819398417,0.012597694,0.017282495474063075,0.8984743055788059,0.007487204,-0.042116506,-0.907934368,-0.021290695,0.015856824091915946,7.561458618316836E-5,Home
415,-52.40692894,12.731431818008422,19.746553630828856,-113.9669079,56.35094505310059,-8.573793802,-7.56E-05,3.410067388932537E-5,-1.01E-04,9.888307608447029,0.4148759561256298,-0.075132889,-148.2222222,0.002340002,1.290044159565157E-4,-3.58E-04,0,0.086023256,1.185029149055481,9.93500042,0.005354777,0,160.1999969482422,-86.915493,40.3848652,9.888307608447029,0.4148759561256298,-0.075132889,0.4386208908071796,0.012583485388567725,0.017175916,0.898419922,0.00754978,-0.041913399,-0.908190094,-0.021302556,0.01591613,5.189236366524569E-5,Home
416,-52.33189911,12.760711688995361,19.706903648376464,-113.8924879,56.38132320404053,-8.612101803,3.113541966846701E-5,-3.71E-05,-1.25E-04,9.893929787052487,0.4154102744408024,-0.073460236,-156,0.002591272,1.979719087915513E-4,0.001020735,0,0.086023256,1.1950747966766357,9.93500042,0.00321462,0,160.1999969482422,-86.915493,40.3848652,9.893929787052487,0.4154102744408024,-0.073460236,0.43860925719575977,0.012581163085997105,0.017194400731365658,0.898425281,0.007529919,-0.041944493,-0.90816478,-0.021195806,0.015844962975570878,2.817013945195426E-5,Home
417,-52.42962116,12.734603748321533,19.705195693969728,-113.989844,56.35448303222656,-8.614663849,-2.82E-05,6.968401049182398E-5,-1.36E-04,9.906474613448948,0.4156890502832468,-0.074226869,-168.1111111,0.008187896,0.001272997,-9.47E-05,0,0.10000000149011612,1.205076813697815,11.67300033569336,0.005333943,0,160.1999969482422,-86.9154929,40.3848652,9.906474613448948,0.4156890502832468,-0.074226869,0.4387195289713665,0.012537524809391753,0.017155844700133916,0.898372783,0.007480151,-0.041837806,-0.908410518,-0.021255112,0.015951712995550586,1.630902819299293E-5,Home
418,-52.37935688,12.744851808547974,19.720323619842528,-113.9397018,56.365219268798825,-8.599169807,-5.19E-05,-2.52E-05,-8.90E-05,9.946839017775453,0.42054438909280645,-0.073134998,-135,0.019720707124876745,0.002566189,4.058614807221496E-4,0,0.086023256,1.2151695489883423,11.67300033569336,0.003556133,0,160.1999969482422,-86.9154929,40.3848652,9.946839017775453,0.42054438909280645,-0.073134998,0.4386005919535183,0.012547413276020184,0.017274846,0.8984284389366224,0.007399006,-0.042059431,-0.908148752,-0.021278834,0.015856824,6.375347605445287E-5,Home
419,-52.35312683,12.72032977104187,19.73984365463257,-113.9127395,56.340452919006346,-8.58062583,7.048237715095568E-5,7.048235308432665E-5,-9.40E-05,9.955414253531151,0.42177564831613334,-0.073437004,-144.1111111,0.006005361,9.583661762567667E-4,1.9468911565267123E-4,0,0.086023256,1.2251205444335938,11.67300033569336,0.00168044,0,160.1999969482422,-86.9154929,40.3848652,9.955414253531151,0.42177564831613334,-0.073437004,0.438442126,0.012592262051139887,0.017367498877529915,0.8985033682905711,0.007405775,-0.04226405,-0.907797216,-0.021156459,0.015952511332356013,5.873531279995894E-5,Home
420,-52.41839691,12.74521780014038,19.721299743652345,-113.9775215,56.36534096,-8.598803844,9.044097822376536E-5,-3.71E-05,2.9652779560210635E-5,9.953959465026855,0.4218221118727934,-0.07443595,-130.5,2.4801087610929915E-4,2.9708401670733704E-4,-7.56E-04,0,0.086023256,1.2350835800170898,11.67300033569336,6.098801968619227E-4,0,160.1999969482422,-86.9154929,40.3848652,9.953959465026855,0.4218221118727934,-0.07443595,0.4384093102320884,0.012598966,0.017392069047081817,0.8985188140452487,0.007397816,-0.042313834,-0.907724651,-0.021136501,0.015844962975570878,1.823645937301725E-4,Home
421,-52.37850296,12.744973783493043,19.774003791809083,-113.937872,56.36509704589844,-8.545001841,-2.82E-05,1.7643401351784475E-4,-1.60E-04,9.949658718,0.422495817,-0.07443595,-143.3333333,-0.001727391,6.186973701402979E-4,8.803786510981403E-4,0,0.086023256,1.2451189756393433,11.67300033569336,0.005035099,0,160.1999969482422,-86.9154929,40.3848653,9.949658718,0.422495817,-0.07443595,0.43827641588970295,0.012680780440930602,0.017377683458831703,0.8985827704077786,0.007563861,-0.042358613,-0.907425937,-0.021255112,0.016058462979362427,-7.41E-06,Home
422,-52.40461121,12.776693801879883,19.73105960845947,-113.9651999,56.395474891662595,-8.589165821,4.299653262279711E-5,1.2898957243785984E-4,-2.31E-04,9.945337749,0.42179887850307723,-0.074110712,-143.625,-0.002219422,5.245011987038029E-4,6.906925112877077E-4,0,0.086023256,1.104391336,9.93500042,0.03197208,0,160.1999969482422,-86.9154936,40.3848654,9.945337749,0.42179887850307723,-0.074110712,0.4383392056215157,0.012650269,0.017367516,0.8985527649666499,0.007514941,-0.042314102,-0.907566341,-0.021183945,0.016011018577275923,-7.86E-05,Home
423,-52.37984505,12.727039794921875,19.769001655578613,-113.9398233,56.34533294677735,-8.550369759,-4.45E-06,1.4085068313169827E-4,-1.25E-04,9.943064102759728,0.4216429625566189,-0.075212858,-162.8888889,-0.001743141,9.831265338416239E-4,5.809747188994028E-4,0,0.086023256,1.114415168762207,9.93500042,0.022331191,0,160.1999969482422,-86.9154937,40.3848654,9.943064102759728,0.4216429625566189,-0.075212858,0.4383209174119153,0.012679808673638743,0.017327440179233412,0.8985620470880304,0.007604097,-0.042267795,-0.907523619,-0.02123139,0.016022879684579026,2.8170140017077183E-5,Home
424,-52.36874298,12.75351375579834,19.75497173309326,-113.9287214,56.37253887176514,-8.565009861,-1.63E-05,1.0526734483383089E-4,4.151389138429489E-5,9.941054446025959,0.4209625541585163,-0.075969215,-150.125,-0.001184056,-4.79E-04,7.585443339301544E-5,0,0.086023256,1.1243575811386108,9.93500042,0.006984021,0,160.1999969482422,-86.9154937,40.3848654,9.941054446025959,0.4209625541585163,-0.075969215,0.43822358100159653,0.012719797522046612,0.017358417,0.898608359,0.007653438,-0.042357732,-0.907306609,-0.021243251,0.015987296335543823,1.9422570385888797E-4,Home
425,-52.37057308,12.73814175605774,19.74960371017456,-113.9310397,56.35716724395752,-8.570621834,-1.63E-05,1.0378448545788099E-5,5.930555912042127E-6,9.939762263622098,0.4220776555028934,-0.075411665,-125.7777778,-4.79E-04,-7.06E-05,5.067360849635115E-4,0,0.086023256,1.1344102621078491,9.93500042,0.001416707,0,160.1999969482422,-86.9154936,40.3848654,9.939762263622098,0.4220776555028934,-0.075411665,0.4381811977590172,0.012725607537239501,0.017396098979323812,0.8986282163453334,0.007632838,-0.042430225,-0.907213151,-0.021243251,0.015892407422867214,1.586423683866352E-4,Home
426,-52.3764291,12.740947790145874,19.733743629455567,-113.936774,56.36131492614746,-8.586603804,3.113541853822117E-5,2.713229143268709E-4,-6.52E-05,9.939027517744638,0.4213342542208514,-0.075853059,-151,-6.02E-04,-3.03E-04,9.190743264642735E-4,0,0.086023256,1.1444613933563232,9.93500042,2.9978930251672864E-4,0,160.1999969482422,-86.9154936,40.3848654,9.939027517744638,0.4213342542208514,-0.075853059,0.4381578778757632,0.012757055126853939,0.017357922258596975,0.8986398791803897,0.007723991,-0.042388943,-0.907159219,-0.021195806,0.016153351919164935,8.747569857237554E-5,Home
427,-52.41790905,12.735091743469239,19.77558961868286,-113.9780098,56.355215034484864,-8.544391813,-5.19E-05,-1.48E-06,-1.78E-05,9.929528690078884,0.4206605461037275,-0.076805541,-144.625,-0.006743237,-8.19E-04,2.7344766461733476E-4,0,0.09433981,1.154378056526184,9.93500042,0.004202577,0,160.1999969482422,-86.9154935,40.3848654,9.929528690078884,0.4206605461037275,-0.076805541,0.4381616219733525,0.012761974517364525,0.017343267,0.8986382658041797,0.007745519,-0.042366934,-0.907166987,-0.021278834,0.015880546,1.3492014699895838E-4,Home
428,-52.40924679,12.720817785263062,19.755459575653077,-113.969104,56.34155101776123,-8.564643793,1.1747063791307692E-5,7.048235420370474E-5,-8.22E-05,9.891443845,0.4163162968691113,-0.075086426,-152.4444444,-0.01783337,-0.001594986,9.309583558486059E-4,0,0.086023256,1.1643227338790894,9.93500042,0.002937897,0,160.1999969482422,-86.9154935,40.3848654,9.891443845,0.4163162968691113,-0.075086426,0.4383727057048908,0.012684568538903616,0.017256704409821674,0.8985380776799642,0.007672289,-0.042145223,-0.907636786,-0.021215195,0.015952511341311038,7.048237547188855E-5,Home
429,-52.42339905,12.798531761169434,19.785227680206297,-113.9838659,56.41938694000244,-8.534265852,-1.59E-04,9.340623357486956E-5,-1.72E-04,9.883057149868566,0.41457394836018385,-0.075527821,-137.375,-0.005910809,-5.97E-04,6.646902381795124E-4,0,0.086023256,1.1743236780166626,9.93500042,0.001400976,0,160.1999969482422,-86.9154935,40.3848654,9.883057149868566,0.41457394836018385,-0.075527821,0.4385052360955951,0.012656318087094618,0.017159979537274075,0.8984756539168867,0.007700159,-0.041947671,-0.907929983,-0.021385584,0.015975435219198756,-1.93E-05,Home
430,-52.4412112,12.688487796783447,19.801087646484376,-114.0015562,56.30836696624756,-8.518405809,-1.11E-04,-4.89E-05,2.9652779560210635E-5,9.888586331339715,0.4154567368400907,-0.074598569,-120.8888889,0.00203516,3.8716631028258683E-4,2.476618923608539E-4,0,0.086023256,1.1842983961105347,9.93500042,0.00436974,0,160.1999969482422,-86.9154934,40.3848654,9.888586331339715,0.4154567368400907,-0.074598569,0.43858531580387966,0.01259756,0.01718836,0.8984368501357662,0.00756583,-0.041947821,-0.90811081,-0.021338139,0.015833101877309744,1.8236459316504957E-4,Home
431,-52.40949104,12.750219802856446,19.813165607452394,-113.9694696,56.371929016113285,-8.506937847,-1.23E-04,2.3573957998486398E-4,-1.78E-05,9.895741851584425,0.4140860924442995,-0.075132889,-132.5,0.003564427,-9.07E-04,5.772027720525426E-4,0,0.1140175461769104,1.1943086385726929,9.93500042,9.905826300382614E-4,0,160.1999969482422,-86.9154935,40.3848654,9.895741851584425,0.4140860924442995,-0.075132889,0.438559687,0.012627406470766924,0.017156286056614616,0.8984495586561925,0.007648858,-0.04191613,-0.908051976,-0.021350001,0.016117768588213666,1.3492014586871255E-4,Home
432,-52.40339088,12.728259792327881,19.736061668395998,-113.9625157,56.348871078491214,-8.584651871,-1.11E-04,2.223956715134741E-5,-8.90E-05,9.902293020081752,0.41520119436736247,-0.074017787,-141.3333333,0.004925395,5.635153321386541E-4,9.095523036220699E-4,0,0.086023256,1.2043288946151733,11.597999572753906,0.00269353,0,160.1999969482422,-86.9154934,40.3848654,9.902293020081752,0.41520119436736247,-0.074017787,0.43865288461296303,0.012579203,0.017147284688301456,0.8984049066756535,0.007565723,-0.041858436,-0.908260663,-0.02133814,0.015904268584422118,6.375347492420703E-5,Home
433,-52.40082901,12.761199789047241,19.733621768951416,-113.9606859,56.381688842773436,-8.585993795,1.9274306714136913E-5,5.782289979798557E-5,-1.60E-04,9.943780137942387,0.41950322687625885,-0.073855391,-147.375,0.021217336932432305,0.002917828,8.083507780311177E-4,0,0.086023256,1.2144707441329956,11.875,0.002266912,0,160.1999969482422,-86.9154934,40.3848654,9.943780137942387,0.41950322687625885,-0.073855391,0.4386096208998301,0.012577720004522685,0.017201144881184818,0.8984250217965506,0.00751779,-0.041953603,-0.908165876,-0.021207667,0.015939851897289452,-7.41E-06,Home
434,-52.40326908,12.74387578010559,19.744113674163817,-113.963858,56.36436515808106,-8.575379791,-4.00E-05,1.0526734144309337E-4,-1.13E-04,9.957110210529809,0.4204282323712284,-0.073924862,-154,0.007970625,0.00101953,5.586239536410397E-4,0,0.086023256,1.2244623899459839,11.875,0.001185576,0,160.1999969482422,-86.9154934,40.3848654,9.957110210529809,0.4204282323712284,-0.073924862,0.4385085380771785,0.012595894610852872,0.017281949266936016,0.898472556,0.007484274,-0.042113975,-0.907942544,-0.021266973,0.015987296,4.0031249580669754E-5,Home
435,-52.366791,12.778157777786255,19.807431545257568,-113.9267694,56.39779304504395,-8.513281832,-7.56E-05,1.171284606137756E-4,-1.25E-04,9.954505374130694,0.4211019399096665,-0.074947039,-143.1111111,-5.17E-04,9.117493930372219E-4,2.0900245719743008E-4,0,0.086023256,1.2344133853912354,11.878000259399414,0.005058293,0,160.1999969482422,-86.9154934,40.3848655,9.954505374130694,0.4211019399096665,-0.074947039,0.43841890802661193,0.012638242580719944,0.017298974404201924,0.8985153720216844,0.007549704,-0.042180984,-0.907742211,-0.021302556,0.015999157469972825,2.8170140017077183E-5,Home
436,-52.35373699,12.745217819213867,19.78205560684204,-113.914082,56.36412101745606,-8.53877984,-1.35E-04,2.0015623660089033E-4,-2.79E-04,9.946240795468821,0.42103224761277724,-0.074598569,-137.625,-0.004553832,7.650053616866325E-4,9.107745243507681E-4,0,0.086023256,1.244383454322815,11.880000114440918,0.003573595,0,160.1999969482422,-86.9154934,40.3848655,9.946240795468821,0.42103224761277724,-0.074598569,0.43839751690336803,0.012650163554884856,0.017299255500864058,0.8985256379090466,0.007571903,-0.042191765,-0.907694243,-0.021361862,0.016082185193968628,-1.26E-04,Home
