seconds_elapsed,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,microphone_dBFS,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,gyroscope_z,gyroscope_y,gyroscope_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,class
22,9.865625168513326,-0.167607935,-1.121313274,0.17214031524739218,0.086240662,-0.039085329,-44.5,45,0.4083552062511444,2.076592206954956,5.953000068664551,1.6976284980773926,358.4147949,154.29998779296875,-86.9104362,40.4259039,0.19260369910682254,0.074469991,-0.039418923,9.865625168513326,-0.167607935,-1.121313274,0.03708739,-0.007143213,-0.003754704,0.23993039319237458,0.052668628,-0.021782396,0.9679186974914329,0.11314837565844499,0.016158226,-0.4870044,-106.8027019,72.78654037475586,-18.18629566,-42.72220325,22.447267532348633,10.493585782051086,Campus
23,9.744206524812258,0.046251654920454785,-0.938955682,-0.027517778,-0.012651359,0.064192337,-43.77777778,45,0.2687608301639557,2.076592206954956,5.75,1.527975321,351.1891784667969,154.29998779296875,-86.9104406,40.4259176,-0.007054397,-0.02442796,0.063832056,9.744206524812258,0.046251654920454785,-0.938955682,-0.12989122,0.095051901,-0.046816423,0.2758629842869286,0.041939936,-0.014857965,0.9598748602913422,0.089178632,0.005467812,-0.559997982,-107.5265282,71.47211273193359,-17.88129559,-43.44578529,21.131375522613524,10.798219833374024,Campus
24,9.926543420958287,0.17224547699166154,-0.88388952,0.070609198,0.009269459,-0.025009157,-45.11111111,45,0.4096561372280121,2.0965616703033447,5.7779998779296875,1.6186997890472412,352.3000488,154.29998779296875,-86.9104431,40.425931,0.091072582,-0.002508626,-0.025363506,9.926543420958287,0.17224547699166154,-0.88388952,0.036532337,-0.049297529,-0.117519793,0.2943197754980291,0.040048164921333486,-9.38E-04,0.9544870488851973,0.077189875,-0.021619789,-0.597201714,-107.776506,70.18232833862305,-18.02781767,-43.69637329,19.842811622619628,10.651575775146485,Campus
25,10.247169999242987,0.003153647,-1.288134262,0.006903167,0.052432044336879716,-0.056361039,-47.375,45,0.4096561372280121,2.0965616703033447,5.7779998779296875,1.6186997890472412,352.3000488,154.29998779296875,-86.9104431,40.425931,0.02736655,0.040653960752183374,-0.056724283,10.247169999242987,0.003153647,-1.288134262,0.34784646173125333,-0.166044679,-0.202990991,0.2982129214458095,0.056225022843595845,-0.006498848,0.9524242154602865,0.1114409114912297,-0.020673101,-0.605706985,-108.5365661,70.76988052368164,-16.30163974,-44.45606724,20.43024164199829,12.377753772735595,Campus
26,9.693553906042599,0.21356813209945136,-1.380763209,-0.146521112,-0.021049268,0.014454758674568998,-49.77777778,45,0.4128369688987732,2.1165220737457275,5.953000068664551,1.616868495941162,352.4187927246094,154.29998779296875,-86.9104479,40.4259565,-0.12605773,-0.032821292,0.014108223515974645,9.693553906042599,0.21356813209945136,-1.380763209,-0.04803973,-0.152580437,0.051064123,0.28039913796461546,0.074140282,-0.003394681,0.9564057582846055,0.14405816234648228,-0.034770397,-0.567887201,-109.3841,69.74617874145508,-15.11640966,-45.30457714,19.40641767501831,13.563959732055665,Campus
27,9.860406861721891,0.15378822327492017,-0.988552277,-0.067276227,-0.084892943,0.007407267,-51.625,45,0.3987434506416321,2.1265950202941895,5.915999889373779,1.6144081354141235,352.9183654785156,154.29998779296875,-86.9104514,40.4259724,-0.046812843,-0.096662129,0.007052914,9.860406861721891,0.15378822327492017,-0.988552277,-0.011190336,0.049704826,-0.088332657,0.21261269346024225,0.045469270684548375,-0.004408077,0.9756681178379984,0.09097318,-0.010547439,-0.428524616,-109.1472982,71.22750282287598,-19.93492155,-45.06740898,20.887619609832765,8.745081820487975,Campus
28,9.633527177051434,0.3035487202583875,-0.660514881,0.10888500635069116,0.035919896,0.012827793251524128,-47,45,0.4142172634601593,2.136577606201172,6.170000076293945,1.6455131769180298,354.3129883,154.29998779296875,-86.9104543,40.4259887,0.12934838768854304,0.024143294026641157,0.012461582567199196,9.633527177051434,0.3035487202583875,-0.660514881,-0.254212616,0.092210777,-0.066982736,0.23574522513787724,0.031383201895842275,0.00342673,0.9708020258875727,0.059917844,-0.021398867,-0.475945296,-109.2009779,70.43706497192383,-20.28567165,-45.1204792,20.097181701660155,8.394575810432434,Campus
29,9.667889192266372,0.179331029,-0.857591703,0.041846002,0.026029210257371073,0.034770848,-48.625,45,0.4282605051994324,2.146618366241455,6.304999828338623,1.6597975492477417,355.4877014160156,154.29998779296875,-86.9104563,40.4260054,0.062309386,0.014251126,0.034416498120724975,9.667889192266372,0.179331029,-0.857591703,-0.216825791,-0.069223145,-0.011848316,0.2742223644140855,0.044526914,5.361398144283793E-4,0.9603166823248261,0.08534858,-0.025087196,-0.555333018,-109.5285477,69.44971848,-17.63912571,-45.44951324,19.10922567367554,11.04136580467224,Campus
30,10.09474641084671,0.3414517666499775,-0.617477663,-0.158250955,-0.061360497,0.015926509302163733,-49.88888889,45,0.31193163990974426,2.146618366241455,6.375999927520752,1.455678105354309,352.0810852050781,154.29998779296875,-86.9104591,40.4260184,-0.137787571,-0.073129685,0.015581051,10.09474641084671,0.3414517666499775,-0.617477663,0.18636074806880026,-0.037629803,-0.010254274,0.24827213324968098,0.034447395834999464,0.010453284596594828,0.9674891129280757,0.061817463,-0.03711778,-0.501040129,-109.8702698,68.67965515136719,-19.46997969,-45.78952724,18.339283695220946,9.209535875320434,Campus
31,10.11258250301324,0.2586513510633947,-0.460098558,-0.044479169,0.032800421,-0.031965695,-54.375,45,0.3310382068157196,2.1566319465637207,6.468999862670898,1.5156053304672241,354.9749755859375,154.29998779296875,-86.9104582,40.4260313,-0.024015785,0.02102382,-0.032314116,10.11258250301324,0.2586513510633947,-0.460098558,0.18375816622984062,0.16275129206840275,0.11664690637906779,0.24171451819174497,0.027757411427125935,-0.002060903,0.9695045369342693,0.055315271496899354,-0.009449773,-0.488640046,-109.3233443,70.48525459,-20.61812159,-45.24406528,20.145127601623535,8.062125873565673,Campus
32,10.111490587586339,0.025310487852621716,-0.84556951,-0.05878367,0.028468150690704293,0.001263208,-56.11111111,45,0.41632238030433655,2.176450729370117,6.573999881744385,1.6264362335205078,358.5662841796875,154.29998779296875,-86.9104555,40.4260481,-0.038320288,0.016694514937608422,9.088596821880167E-4,10.111490587586339,0.025310487852621716,-0.84556951,0.20452267452351097,-0.038155942,-0.093562289,0.22415762445301685,0.040017544,-0.004675179,0.9734661000446209,0.08026725,-0.008937434,-0.452475921,-109.3973979,70.82514663696288,-20.05289549,-45.31689922,20.485751724243165,8.626131772994995,Campus
