ACADEMIC_PERIOD,Department,Subject,Crs .,Title,IType,Sec .,CRN,Min Cr,Max Credit,Stat,Perm,Days,Meeting Time String,Dates,BldgRoom String,Enrl*,Lim**,Graduate Student,INSTRUCTOR_ID,Instructor,Instructor _Title,Grd?,Mode,Link ID,Link Cnct,XList Group,XList Enrl,XList Max Enrl,XList Seats Avail
202410,Schl of Aviation & Transp Tech,AT,33502,Avionics Systems,LEC,004,15012,3,3,,,MW,09:30 AM-10:20 AM,08/21/23-12/09/23,TERM 255,11,15,No,24416859,"Barnes, Donald K.",Assistant Professor of Practice,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Schl of Aviation & Transp Tech,AT,44502,Aircraft Electronics,LEC,006,12371,3,3,,,TR,12:30 PM-01:20 PM,08/21/23-12/09/23,TERM 255,12,15,No,24416859,"Barnes, Donald K.",Assistant Professor of Practice,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Schl of Aviation & Transp Tech,AT,44502,Aircraft Electronics,LEC,001,14697,3,3,,,MF,12:30 PM-01:20 PM,08/21/23-12/09/23,TERM 255,14,15,No,24416859,"Barnes, Donald K.",Assistant Professor of Practice,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Military Science,MSL,40100,The Army Officer,LEC,004,16787,4,4,,Dept,TR,10:30 AM-11:45 AM,08/21/23-12/09/23,AR 101,26,32,No,36855746,"Bashant, Amie",Executive Officer,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Schl of Aviation & Transp Tech,AT,45100,Airport Operations,LEC,001,68446,3,3,,,TR,10:30 AM-11:45 AM,08/21/23-12/09/23,NISW 187,29,40,No,11461806,"Baxmeyer, Adam W.",Airport Director,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Schl of Construction Mgmt Tech,CM,10000,Intro To Construction Mgmt,LEC,SC1,10921,3,3,,,TR,01:30 PM-02:45 PM,08/21/23-12/09/23,LILY G126,152,170,No,12178210,"Benhart, Bradley L.",Professor of Practice,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Schl of Construction Mgmt Tech,CM,37200,Plan Dsgn Const Hlthc Blt Envr,LEC,001,13891,3,3,,,W,02:30 PM-05:20 PM,08/21/23-12/09/23,KNOY G007,13,30,No,12178210,"Benhart, Bradley L.",Professor of Practice,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Schl of Construction Mgmt Tech,CM,40000,Construction Capstone I,LEC,002,11852,6,6,,,MW,11:30 AM-01:20 PM,08/21/23-12/09/23,WALC B074,83,85,No,12178210,"Benhart, Bradley L.",Professor of Practice,Y,Reg,A1,A3,Unk,0.0,0.0,0.0
202410,School of Engineering Tech,ENGT,48000,ET Capstone I,LEC,020,14758,3,3,,,MW,08:30 AM-09:20 AM,08/21/23-12/09/23,LMBS 4247B,94,100,No,29477238,"Berry, Frederick C.",Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,School of Engineering Tech,ENGT,48000,ET Capstone I,LEC,003,24848,3,3,,,MW,08:30 AM-09:20 AM,08/21/23-12/09/23,LMBS 4247A,95,100,No,29477238,"Berry, Frederick C.",Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,School of Engineering Tech,ENGT,48100,ET Capstone II,LEC,003,24847,3,3,,,R,08:30 AM-09:20 AM,08/21/23-12/09/23,LMBS 4247B,50,75,No,29477238,"Berry, Frederick C.",Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Schl of Construction Mgmt Tech,CM,20001,Intermed Pre-Construction Mgmt,LEC,001,13878,6,6,,,MW,09:30 AM-11:20 AM,08/21/23-12/09/23,WTHR 320,87,90,No,35522881,"Besiktepe, Deniz",Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Schl of Construction Mgmt Tech,CM,40000,Construction Capstone I,LEC,002,11852,6,6,,,MW,11:30 AM-01:20 PM,08/21/23-12/09/23,WALC B074,83,85,No,35522881,"Besiktepe, Deniz",Assistant Professor,Y,Reg,A1,A3,Unk,0.0,0.0,0.0
202410,Computer Information Tech,CNIT,27100,Cybersecurity Fundamentals II,LEC,001,29619,3,3,,,MW,01:30 PM-02:20 PM,08/21/23-12/09/23,WALC B074,80,80,No,34022858,"Bhatt, Smriti",Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Computer Information Tech,CNIT,58100,Internet Of Things Security,LEC,055,20224,3,3,,Dept,MW,04:30 PM-05:45 PM,08/21/23-12/09/23,BHEE 224,6,20,No,34022858,"Bhatt, Smriti",Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Computer Information Tech,CNIT,10500,Intro To C Program,LEC,SC1,13354,3,3,,,MW,03:30 PM-04:20 PM,08/21/23-12/09/23,WALC 1055,246,290,No,34906058,"Bhoyar, Srushti",Student,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Schl of Aviation & Transp Tech,AT,33800,Airline Management,LEC,001,11728,3,3,,,MWF,02:30 PM-03:20 PM,08/21/23-12/09/23,NISW 184,25,40,No,35538394,"Bilotkach, Volodymyr",Associate Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Schl of Aviation & Transp Tech,AT,34001,Aerospace Business Statistics,LEC,001,15093,3,3,,,MWF,11:30 AM-12:20 PM,08/21/23-12/09/23,NISW 157,20,30,No,35538394,"Bilotkach, Volodymyr",Associate Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Technology Ldrshp & Innovatn,OLS,48700,Leadership Philosophy,LEC,001,16808,3,3,,,TR,07:30 AM-08:45 AM,08/21/23-12/09/23,KRAN G002,15,40,No,15947223,"Bittinger, Christopher N.",Clinical Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Computer Information Tech,CNIT,13600,PC Tech & Applications,DIS,Y01,51233,3,3,,,Unlisted,,08/21/23-12/09/23,ASYNC ONLINE,292,300,Graduate Student,34030666,"Boowuo, Henrietta",Student,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Technology Ldrshp & Innovatn,TLI,31400,Leading Innovation In Orgs,LEC,002,24309,3,3,,,TR,03:00 PM-04:15 PM,08/21/23-12/09/23,BRNG 2290,28,75,No,30487670,"Bosman, Lisa B.",Associate Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Technology Ldrshp & Innovatn,TLI,52000,Foundations Of Innovation,LEC,001,27274,3,3,,,T,06:00 PM-08:50 PM,08/21/23-12/09/23,KRAN G002,5,20,No,30487670,"Bosman, Lisa B.",Associate Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Technology Ldrshp & Innovatn,TLI,35560,Employment And Labor Law,LEC,001,20764,3,3,,,MW,04:30 PM-05:45 PM,08/21/23-12/09/23,WALC 3132,15,25,No,11860715,"Bowers, Theresa L.",Unk,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Computer Information Tech,CNIT,55200,Info Tech Proj Mgmt,LEC,001,69810,3,3,,,TR,04:30 PM-05:45 PM,08/21/23-12/09/23,KNOY B041,24,25,No,13878354,"Brewer, Jeffrey L.",Associate Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Schl of Aviation & Transp Tech,AT,10300,Aero Veh Prop & Track Sys,LEC,001,56811,3,3,,,M,05:30 PM-08:20 PM,08/21/23-12/09/23,WALC 1132,78,100,No,10204522,"Brewer, Todd A.",Flight Maintenance Technician Supervisor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Schl of Aviation & Transp Tech,AT,29000,Aviation Learning Community,LEC,LC1,57410,1,1,,,F,02:30 PM-03:20 PM,08/21/23-12/09/23,NISW 149,46,50,No,10204522,"Brewer, Todd A.",Flight Maintenance Technician Supervisor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Purdue Polytechnic Inst Admin,TECH,22000,Design Technology For People,LEC,004,19892,3,3,,,MW,01:30 PM-02:20 PM,08/21/23-12/09/23,SHRV C113A,17,40,No,27686262,"Briller, Sherylyn H.",Professor,Y,Reg,A3,A4,7E,36.0,40.0,4.0
202410,Purdue Polytechnic Inst Admin,TECH,22000,Design Technology For People,LEC,004,19892,3,3,,,MW,01:30 PM-02:20 PM,08/21/23-12/09/23,SHRV C113B,17,40,No,27686262,"Briller, Sherylyn H.",Professor,Y,Reg,A3,A4,7E,36.0,40.0,4.0
202410,Schl of Aviation & Transp Tech,AT,48100,Aviation Safety Problm,LEC,002,29842,3,3,,,TR,10:30 AM-11:45 AM,08/21/23-12/09/23,NISW 157,54,55,No,16517421,"Brown, Stephanie N.",Program Manager,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Naval Science,NS,11000,Intro To Naval Science,LEC,001,24196,3,3,,,MWF,12:30 PM-01:20 PM,08/21/23-12/09/23,AR 101,20,48,No,11052756,"Butcher, Christine L.",Administrative Assistant Navy ROTC,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Naval Science,NS,11000,Intro To Naval Science,LEC,003,24198,3,3,,,MWF,02:30 PM-03:20 PM,08/21/23-12/09/23,UNIV 203,13,48,No,11052756,"Butcher, Christine L.",Administrative Assistant Navy ROTC,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Naval Science,NS,21400,Naval Leadership & Mgmt,LEC,001,24205,3,3,,,MWF,09:30 AM-10:20 AM,08/21/23-12/09/23,AR 101,6,25,No,11052756,"Butcher, Christine L.",Administrative Assistant Navy ROTC,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Naval Science,NS,21400,Naval Leadership & Mgmt,LEC,002,24206,3,3,,,MWF,01:30 PM-02:20 PM,08/21/23-12/09/23,AR 102,8,25,No,11052756,"Butcher, Christine L.",Administrative Assistant Navy ROTC,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Naval Science,NS,31100,Naval Operations & Seamanship,LEC,003,21147,3,3,,,TR,07:30 AM-08:45 AM,08/21/23-12/09/23,AR 101,18,20,No,11052756,"Butcher, Christine L.",Administrative Assistant Navy ROTC,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Naval Science,NS,31100,Naval Operations & Seamanship,LEC,002,63275,3,3,,,TR,01:30 PM-02:45 PM,08/21/23-12/09/23,KRAN G004,1,20,No,11052756,"Butcher, Christine L.",Administrative Assistant Navy ROTC,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Naval Science,NS,35000,Naval Ship Systems-Engineering,LEC,002,23961,3,3,,,MWF,02:30 PM-03:20 PM,08/21/23-12/09/23,AR 102,21,20,No,11052756,"Butcher, Christine L.",Administrative Assistant Navy ROTC,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Naval Science,NS,35000,Naval Ship Systems-Engineering,LEC,001,24208,3,3,,,MWF,11:30 AM-12:20 PM,08/21/23-12/09/23,AR 102,20,20,No,11052756,"Butcher, Christine L.",Administrative Assistant Navy ROTC,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Naval Science,NS,41300,Naval Leadership & Ethics,LEC,001,19413,3,3,,Inst,MWF,09:30 AM-10:20 AM,08/21/23-12/09/23,AR 206,9,13,No,11052756,"Butcher, Christine L.",Administrative Assistant Navy ROTC,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Computer Graphics Technology,CGT,27000,Intro To Data Visualization,LEC,008,26636,3,3,,,M,11:30 AM-01:20 PM,08/21/23-12/09/23,WALC 1018,104,110,No,28608802,"Byrd, Vetria L.",Associate Professor,Y,Reg,A9,AA,Unk,0.0,0.0,0.0
202410,Computer Graphics Technology,CGT,27000,Intro To Data Visualization,LEC,LC3,15345,3,3,,,M,11:30 AM-01:20 PM,08/21/23-12/09/23,WALC 1018,4,35,No,28608802,"Byrd, Vetria L.",Associate Professor,Y,Reg,A3,A4,Unk,0.0,0.0,0.0
202410,Computer Graphics Technology,CGT,27000,Intro To Data Visualization,LEC,LC3,15345,3,3,,,M,11:30 AM-01:20 PM,08/21/23-12/09/23,WALC 1018,4,35,Graduate Student,30163929,"Carlock, Thomas V.",Student,Y,Reg,A3,A4,Unk,0.0,0.0,0.0
202410,Computer Graphics Technology,CGT,27000,Intro To Data Visualization,LEC,008,26636,3,3,,,M,11:30 AM-01:20 PM,08/21/23-12/09/23,WALC 1018,104,110,Graduate Student,30163929,"Carlock, Thomas V.",Student,Y,Reg,A9,AA,Unk,0.0,0.0,0.0
202410,Computer Graphics Technology,CGT,41101,Problems In Appl Comp Graph I,LEC,001,11971,2,2,,,MW,01:30 PM-02:20 PM,08/21/23-12/09/23,WALC 1018,170,170,Graduate Student,30163929,"Carlock, Thomas V.",Student,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Schl of Construction Mgmt Tech,CM,10000,Intro To Construction Mgmt,LEC,SC1,10921,3,3,,,TR,01:30 PM-02:45 PM,08/21/23-12/09/23,LILY G126,152,170,No,33078488,"Chang, Soowon",Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Schl of Construction Mgmt Tech,CM,15000,Construction Mgmt Fundamentals,LEC,001,10143,6,6,,,MW,01:30 PM-03:20 PM,08/21/23-12/09/23,WALC B066,75,83,No,33078488,"Chang, Soowon",Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Schl of Construction Mgmt Tech,CM,35000,Advanced Const Mgmt,LEC,004,13236,9,9,,,MW,02:30 PM-05:20 PM,08/21/23-12/09/23,MSEE B012,62,90,No,33078488,"Chang, Soowon",Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Computer Graphics Technology,CGT,47000,Data Visualization Studio,LEC,001,14964,3,3,,,TR,03:30 PM-04:20 PM,08/21/23-12/09/23,KNOY 306,7,40,No,24174952,"Chen, Yingjie",Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Schl of Construction Mgmt Tech,CM,20001,Intermed Pre-Construction Mgmt,LEC,001,13878,6,6,,,MW,09:30 AM-11:20 AM,08/21/23-12/09/23,WTHR 320,87,90,No,22940453,"Chen, Yunfeng",Associate Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,School of Engineering Tech,ECET,17700,DAQ And Systems Control,LEC,003,13609,3,3,,,MW,11:30 AM-12:20 PM,08/21/23-12/09/23,WALC 3122,35,45,No,11173844,"Cheung, April",Assistant Professor of Practice,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,School of Engineering Tech,ECET,27900,Embedded Digital Systems,LEC,005,64364,3,3,,,MW,10:30 AM-11:20 AM,08/21/23-12/09/23,WALC 2007,78,90,No,11173844,"Cheung, April",Assistant Professor of Practice,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Military Science,MSL,10100,Introduction To The Army,LEC,010,17897,2,2,,,R,01:30 PM-02:20 PM,08/21/23-12/09/23,AR 101,9,25,No,36687233,"Churchill, Michael D.",Assistant Professor of Military Science,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Military Science,MSL,10100,Introduction To The Army,LEC,006,36146,2,2,,,T,09:30 AM-10:20 AM,08/21/23-12/09/23,AR 102,18,25,No,36687233,"Churchill, Michael D.",Assistant Professor of Military Science,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Military Science,MSL,10100,Introduction To The Army,LEC,009,36149,2,2,,,W,10:30 AM-11:20 AM,08/21/23-12/09/23,AR 102,12,25,No,36687233,"Churchill, Michael D.",Assistant Professor of Military Science,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Military Science,MSL,30100,Training Mgmt Warfight Functn,LEC,006,53145,4,4,,Dept,TR,10:30 AM-11:45 AM,08/21/23-12/09/23,AR 102,17,32,No,36687233,"Churchill, Michael D.",Assistant Professor of Military Science,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Military Science,MSL,30100,Training Mgmt Warfight Functn,LEC,007,17198,4,4,,Dept,TR,01:30 PM-02:45 PM,08/21/23-12/09/23,AR 102,21,32,No,36687233,"Churchill, Michael D.",Assistant Professor of Military Science,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,School of Engineering Tech,ENGT,48000,ET Capstone I,LEC,003,24848,3,3,,,MW,08:30 AM-09:20 AM,08/21/23-12/09/23,LMBS 4247A,95,100,No,26179087,"Condron, James",Assistant Professor of Practice,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,School of Engineering Tech,ENGT,48000,ET Capstone I,LEC,020,14758,3,3,,,MW,08:30 AM-09:20 AM,08/21/23-12/09/23,LMBS 4247B,94,100,No,26179087,"Condron, James",Assistant Professor of Practice,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,School of Engineering Tech,ENGT,48100,ET Capstone II,LEC,003,24847,3,3,,,R,08:30 AM-09:20 AM,08/21/23-12/09/23,LMBS 4247B,50,75,No,26179087,"Condron, James",Assistant Professor of Practice,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Schl of Construction Mgmt Tech,CM,16400,Graphics For Civ Engr & Const,LEC,SC1,11786,2,2,,,M,04:30 PM-05:20 PM,08/21/23-12/09/23,WALC 1055,297,329,No,10258080,"Cory, Clark A.",Associate Professor,Y,Reg,A1,A3,Unk,0.0,0.0,0.0
202410,Schl of Construction Mgmt Tech,CM,46200,Appl Constr Document II,LEC,001,17774,3,3,,,M,11:30 AM-12:20 PM,08/21/23-12/09/23,KNOY 306,49,55,No,10258080,"Cory, Clark A.",Associate Professor,Y,Reg,A1,A3,Unk,0.0,0.0,0.0
202410,Schl of Aviation & Transp Tech,AT,10000,Intro Aviation Tech,LEC,001,27208,1,1,,,M,05:30 PM-06:20 PM,08/21/23-12/09/23,SMTH 108,136,205,No,11833046,"Cutter, Jason E.",Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Schl of Aviation & Transp Tech,AT,10000,Intro Aviation Tech,LEC,SC1,67645,1,1,,,W,05:30 PM-06:20 PM,08/21/23-12/09/23,LILY G126,158,189,No,11833046,"Cutter, Jason E.",Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Schl of Aviation & Transp Tech,AT,54800,Aircraft Asset Management,LEC,001,25745,3,3,,,MW,03:00 PM-04:15 PM,08/21/23-12/09/23,NISW 149,12,25,No,11833046,"Cutter, Jason E.",Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Schl of Aviation & Transp Tech,AT,37600,Arcr Gas Trb Eng Tch I,LEC,001,11783,4,4,,,MW,09:30 AM-10:20 AM,08/21/23-12/09/23,NISW 149,36,36,No,23136686,"Davis, John M.",Associate Professor of Practice and Associate Head for Undergraduate Affairs,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Schl of Aviation & Transp Tech,AT,47600,Arcr Gas Trb En Tch II,LEC,001,11837,3,3,,,MW,08:30 AM-09:20 AM,08/21/23-12/09/23,NISW 149,46,54,No,23136686,"Davis, John M.",Associate Professor of Practice and Associate Head for Undergraduate Affairs,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Schl of Construction Mgmt Tech,CM,58100,Modular Design & Constru,LEC,007,21020,3,3,,,TR,04:30 PM-05:45 PM,08/21/23-12/09/23,SC G040,23,24,No,26791641,"De Cresce El Debs, Luciana",Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Computer Information Tech,CNIT,24000,Data Comm & Networking,LEC,005,24643,3,3,,,MW,12:30 PM-01:20 PM,08/21/23-12/09/23,MATH 175,6,120,No,14556591,"Deadman, Robert C.",Clinical Assistant Professor,Y,Reg,A1,A2,8A,120.0,120.0,0.0
202410,Computer Information Tech,CNIT,24200,System Administration,LEC,001,36500,3,3,,,MW,03:30 PM-04:20 PM,08/21/23-12/09/23,SMTH 108,175,180,No,14556591,"Deadman, Robert C.",Clinical Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Computer Information Tech,CNIT,34010,UNIX Fundamentals,LEC,003,17072,1,1,,Dept,Unlisted,,08/21/23-12/09/23,ASYNC ONLINE,11,50,No,14556591,"Deadman, Robert C.",Clinical Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202410,Computer Information Tech,CNIT,34400,Network Engr Fundamentals,LEC,003,13355,3,3,,,MW,12:30 PM-01:20 PM,08/21/23-12/09/23,MATH 175,114,120,No,14556591,"Deadman, Robert C.",Clinical Assistant Professor,Y,Reg,A3,A4,8A,120.0,120.0,0.0
202410,Computer Information Tech,CNIT,34500,Internet Desgn&Implem,LEC,001,36490,4,4,,,MW,08:30 AM-09:20 AM,08/21/23-12/09/23,KNOY B041,18,18,No,14556591,"Deadman, Robert C.",Clinical Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Military Science,MSL,30100,Training Mgmt Warfight Functn,LEC,006,53145,4,4,,Dept,TR,10:30 AM-11:45 AM,08/21/23-12/09/23,AR 102,17,32,No,35635942,"Decker, Patrick",Assistant Professor of Military Science,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,Military Science,MSL,30100,Training Mgmt Warfight Functn,LEC,007,17198,4,4,,Dept,TR,01:30 PM-02:45 PM,08/21/23-12/09/23,AR 102,21,32,No,35635942,"Decker, Patrick",Assistant Professor of Military Science,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202410,School of Engineering Tech,ECET,33700,Continuous Syst Anlys & Design,LEC,026,25480,3,3,,Dept,M,11:30 AM-01:20 PM,08/21/23-12/09/23,SYNC ONLINE,1,1,No,28627190,"Deodeshmukh, Rashmi B.",Assistant Professor of Practice,Y,Reg,A1,AF,Unk,0.0,0.0,0.0
