Instructor,Instructor_Title,Department,Courses,Course_count,Sum_MaxCredits,Sum_Enrollment,Sum_Capacity
"Garcia, Esteban",Associate Professor,Computer Graphics Technology,"[('CGT', 11800), ('CGT', 50100), ('CGT', 50100), ('CGT', 50100)]",4,7.0,130,172
"Garcia, Jason M.",Instructor ,Military Science,"[('MSL', 10200), ('MSL', 10200), ('MSL', 10200), ('MSL', 20200), ('MSL', 20200), ('MSL', 30200), ('MSL', 30200), ('MSL', 40200)]",8,24.0,145,220
"George, Sarah J.",Associate Professor of Practice,Computer Graphics Technology,"[('CGT', 26000)]",1,3.0,17,50
"Gephart, Raymond F.",Senior Continuing Lecturer,Schl of Aviation & Transp Tech,"[('AT', 35400)]",1,2.0,41,60
"Gilbert, Vicki L.","Recruting, Placement and Internship Coordinator",Schl of Aviation & Transp Tech,"[('AT', 29000)]",1,1.0,24,30
"Giri, Nandhini",Assistant Professor,Computer Graphics Technology,"[('CGT', 20500), ('CGT', 40500), ('CGT', 58100)]",3,3.0,148,320
"Glotzbach, Ronald J.",Associate Professor,Computer Graphics Technology,"[('CGT', 25001), ('CGT', 35600), ('CGT', 45001), ('CGT', 45600)]",4,8.0,354,480
"Gouwens, David W.",Continuing Lecturer,Schl of Aviation & Transp Tech,"[('AT', 12700), ('AT', 37200)]",2,6.0,47,78
"Grant, Brandon C.",Assistant Professor,Technology Ldrshp & Innovatn,"[('OLS', 37800), ('TLI', 45590)]",2,6.0,57,85
"Guan, Shanyue",Assistant Professor,Schl of Construction Mgmt Tech,"[('CM', 25000), ('CM', 30000), ('CM', 35000)]",3,27.0,284,282
"Guo, Siqi",Student,Computer Graphics Technology,"[('CGT', 34100), ('CGT', 44200)]",2,6.0,45,60
"Habben, Steven G.",Lecturer,Schl of Construction Mgmt Tech,"[('CM', 39000), ('CM', 49000)]",2,2.0,148,178
"Habig, Ashley E.",Clinical Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 20802), ('AT', 20802), ('AT', 32001)]",3,9.0,83,108
"Hagovsky, Thomas C.",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 27800), ('AT', 49000)]",2,5.0,28,55
"Hammoud, Abrar",Clinical Assistant Professor,Purdue Polytechnic Inst Admin,"[('TECH', 33000)]",1,3.0,53,55
"Hammoud, Abrar",Clinical Assistant Professor,Technology Ldrshp & Innovatn,"[('TLI', 20000)]",1,1.0,39,60
