ACADEMIC_PERIOD,Department,Subject,Crs .,Title,IType,Sec .,CRN,Min Cr,Max Credit,Stat,Perm,Days,Meeting Time String,Dates,BldgRoom String,Enrl*,Lim**,Graduate Student,INSTRUCTOR_ID,Instructor,Instructor _Title,Grd?,Mode,Link ID,Link Cnct,XList Group,XList Enrl,XList Max Enrl,XList Seats Avail
202410,Military Science,MSL,30100,Training Mgmt Warfight Functn,LEC,007,17198,4,4,,Dept,TR,01:30 PM-02:45 PM,08/21/23-12/09/23,AR 102,21,32,,035635942,"Decker, Patrick",Assistant Professor of Military Science,Y,Reg,A1,A2,,,,
202410,School of Engineering Tech,ECET,33700,Continuous Syst Anlys & Design,LEC,026,25480,3,3,,Dept,M,11:30 AM-01:20 PM,08/21/23-12/09/23,SYNC ONLINE,1,1,,028627190,"Deodeshmukh, Rashmi B.",Assistant Professor of Practice,Y,Reg,A1,AF,,,,
202410,School of Engineering Tech,MFET,34800,Intro To Robot Kinematics,LEC,005,55610,3,3,,,T,10:30 AM-11:20 AM,08/21/23-12/09/23,KNOY B033,49,54,,027710618,"Diao, Xiumin",Associate Professor,Y,Reg,A1,A2,,,,
202410,School of Engineering Tech,MFET,34800,Intro To Robot Kinematics,LEC,005,55610,3,3,,,R,10:30 AM-11:20 AM,08/21/23-12/09/23,WALC 1121,49,54,,027710618,"Diao, Xiumin",Associate Professor,Y,Reg,A1,A2,,,,
202410,School of Engineering Tech,MFET,36100,Machine Lrning & Mfg Analytics,LEC,002,20915,3,3,,,TR,09:30 AM-10:20 AM,08/21/23-12/09/23,SC 102,35,30,,027710618,"Diao, Xiumin",Associate Professor,Y,Reg,A1,A2,,,,
202410,Computer Information Tech,CNIT,51100,Found Homeland Sec Std,LEC,001,59916,3,3,,Dept,TR,03:00 PM-04:15 PM,08/21/23-12/09/23,KNOY B031,23,40,,015574137,"Dietz, James E.",Professor,Y,Reg,,,1P,43,40,-3
202410,Computer Information Tech,CNIT,61700,Cyberphysical Security Seminar,LEC,001,27689,3,3,,,TR,09:00 AM-10:15 AM,08/21/23-12/09/23,KNOY B041,3,20,,015574137,"Dietz, James E.",Professor,Y,Reg,,,,,,
202410,Military Science,MSL,20100,Leadership And Ethics,LEC,006,36151,3,3,,,TR,12:30 PM-01:20 PM,08/21/23-12/09/23,AR 102,18,32,,036930491,"Dirienzo, Sam A.",Assistant Professor of Military Science,Y,Reg,A1,A2,,,,
202410,Military Science,MSL,20100,Leadership And Ethics,LEC,008,39411,3,3,,,TR,09:30 AM-10:20 AM,08/21/23-12/09/23,AR 101,17,40,,036930491,"Dirienzo, Sam A.",Assistant Professor of Military Science,Y,Reg,A1,A2,,,,
202410,Computer Information Tech,CNIT,48000,Manag Info Tech Projct,LEC,004,15185,3,3,,,TR,01:30 PM-02:45 PM,08/21/23-12/09/23,GRIS 103,78,80,,010075214,"Dittman, Kevin C.",Associate Professor,Y,Reg,A1,A2,,,,
202410,Computer Information Tech,CNIT,55000,Org Impact Info Tech,LEC,001,21330,3,3,,Dept,TR,04:30 PM-05:45 PM,08/21/23-12/09/23,SYNC ONLINE,7,20,,010075214,"Dittman, Kevin C.",Associate Professor,Y,Reg,,,,,,
202410,Computer Information Tech,CNIT,55300,Qual Mgmt In Info Tech,LEC,001,15782,3,3,,Inst,T,06:00 PM-08:50 PM,08/21/23-12/09/23,KNOY B029,4,20,,010075214,"Dittman, Kevin C.",Associate Professor,Y,Reg,,,,,,
202410,School of Engineering Tech,MFET,21301,Simulation &Visual Applcations,LEC,002,20917,3,3,,,T,09:30 AM-10:20 AM,08/21/23-12/09/23,KNOY 314,15,30,,031156585,"Dorribo Camba, Jorge",Associate Professor,Y,Reg,A1,A2,,,,
202410,Schl of Aviation & Transp Tech,AT,20501,Statics For Aerostructures,LEC,001,67393,3,3,,,MW,02:30 PM-03:20 PM,08/21/23-12/09/23,NISW 157,55,56,,014430107,"Dubikovsky, Sergey I.",Associate Professor,Y,Reg,A1,A2,,,,
202410,Schl of Aviation & Transp Tech,AT,50700,Quant Eval In Transportation,LEC,001,14649,3,3,,,TR,12:00 PM-01:15 PM,08/21/23-12/09/23,NISW 220,20,20,,014430107,"Dubikovsky, Sergey I.",Associate Professor,Y,Reg,,,,,,
202410,School of Engineering Tech,MET,52700,Tech Global Perspect,LEC,001,48408,3,3,,Dept,W,06:00 PM-08:50 PM,08/21/23-12/09/23,KNOY B019,24,21,,010038408,"Dunlap, Duane D.",Professor and Chair,Y,Reg,,,,,,
202410,Technology Ldrshp & Innovatn,TLI,21300,Project Management,LEC,007,25059,3,3,,,MW,09:30 AM-10:20 AM,08/21/23-12/09/23,WALC 2051,69,70,,010047561,"Dunlop, Steven R.",Limited Term Lecturer,Y,Reg,A1,A2,,,,
202410,Technology Ldrshp & Innovatn,TLI,21300,Project Management,LEC,008,25061,3,3,,,MW,08:30 AM-09:20 AM,08/21/23-12/09/23,WALC 2051,69,70,,010047561,"Dunlop, Steven R.",Limited Term Lecturer,Y,Reg,A3,A4,,,,
202410,Technology Ldrshp & Innovatn,OLS,45000,Advanced Project Management,LEC,002,24301,3,3,,,MW,11:30 AM-12:20 PM,08/21/23-12/09/23,KRAN G005,15,35,,010047561,"Dunlop, Steven R.",Limited Term Lecturer,Y,Reg,A1,A2,,,,
202410,Technology Ldrshp & Innovatn,TLI,62600,Life Of A Faculty Entrepreneur,LEC,001,21042,3,3,,,T,04:00 PM-06:50 PM,08/21/23-12/09/23,MRGN 121,7,40,,010367018,"Duval-Couetil, Nathalie A.",Professor,Y,Reg,,,68,27,40,13
202410,Computer Information Tech,CNIT,51100,Found Homeland Sec Std,LEC,001,59916,3,3,,Dept,TR,03:00 PM-04:15 PM,08/21/23-12/09/23,KNOY B031,23,40,,015621449,"Ehlers, Shawn G.",Clinical Assistant Professor,Y,Reg,,,1P,43,40,-3
202410,School of Engineering Tech,MET,23000,Fluid Power,LEC,009,23613,3,3,,,TR,01:30 PM-02:20 PM,08/21/23-12/09/23,HIKS G980D,108,112,,026135272,"El breidi, Farid Y.",Assistant Professor,Y,Reg,A1,A2,,,,
202410,Schl of Construction Mgmt Tech,CM,35000,Advanced Const Mgmt,LEC,004,13236,9,9,,,MW,02:30 PM-05:20 PM,08/21/23-12/09/23,MSEE B012,62,90,,026916835,"Elwakil, Emad",Professor and Associate Head for Graduate Programs and Research,Y,Reg,A1,A2,,,,
202410,Schl of Construction Mgmt Tech,CM,58100,Construction Cost Control,LEC,008,21044,3,3,,,F,02:30 PM-05:20 PM,08/21/23-12/09/23,DUDL 4117B,40,40,,026916835,"Elwakil, Emad",Professor and Associate Head for Graduate Programs and Research,Y,Reg,,,,,,
202410,Computer Information Tech,CNIT,17500,Visual Programming,LEC,009,42900,3,3,,,MW,11:30 AM-12:20 PM,08/21/23-12/09/23,WALC 2124,44,52,Graduate Student,027842462,"Esmaeili, Ahmad",Student,Y,Reg,A3,A2,,,,
202410,School of Engineering Tech,MFET,11301,Product Data Management,LEC,001,20878,3,3,,,M,03:30 PM-04:20 PM,08/21/23-12/09/23,SYNC ONLINE,5,25,,027702834,"Ewing, David L.",Lecturer,Y,Reg,A1,A2,,,,
202410,School of Engineering Tech,ECET,22900,Concurrent Digital Systems,LEC,007,56374,3,3,,,TR,10:30 AM-11:20 AM,08/21/23-12/09/23,WALC 2007,71,90,,034025181,"Faezipour, Miad",Associate Professor,Y,Reg,A1,A2,,,,
202410,Computer Information Tech,CNIT,51100,Found Homeland Sec Std,LEC,001,59916,3,3,,Dept,TR,03:00 PM-04:15 PM,08/21/23-12/09/23,KNOY B031,23,40,,010007709,"Field, William E.",Professor,Y,Reg,,,1P,43,40,-3
202410,Schl of Aviation & Transp Tech,AT,14400,Private Pilot Lectures,LEC,001,67659,4,4,,,WF,11:30 AM-01:20 PM,08/21/23-12/09/23,WTHR 320,62,72,,034049320,"Flores, Abner D.",Senior Lecturer,Y,Reg,,,,,,
202410,Schl of Aviation & Transp Tech,AT,14400,Private Pilot Lectures,DIS,002,26074,4,4,,,,,08/21/23-12/09/23,ASYNC ONLINE,62,150,,034049320,"Flores, Abner D.",Senior Lecturer,Y,Reg,,,,,,
202410,Schl of Aviation & Transp Tech,AT,32501,Advanced Aviation Meteorology,LEC,001,14238,3,3,,,TR,07:00 PM-08:15 PM,08/21/23-12/09/23,MJIS 1001,90,90,,034049320,"Flores, Abner D.",Senior Lecturer,Y,Reg,,,,,,
202410,Computer Graphics Technology,CGT,58100,Creative AI,LEC,007,17358,3,3,,,W,06:00 PM-08:50 PM,08/21/23-12/09/23,HEAV B020,28,30,,035569369,"Forbes, Angus G.",Associate Professor,Y,Reg,,,,,,
202410,Aerospace Studies,AFT,11000,Heritage And Values I,LEC,004,65283,1,1,,,W,02:30 PM-03:20 PM,08/21/23-12/09/23,AR 101,17,48,,022774064,"Franklin, Jessica R.",Recruiting Officer for Air Force ROTC,Y,Reg,,,,,,
202410,Aerospace Studies,AFT,11000,Heritage And Values I,LEC,003,10501,1,1,,,W,01:30 PM-02:20 PM,08/21/23-12/09/23,AR 101,22,48,,022774064,"Franklin, Jessica R.",Recruiting Officer for Air Force ROTC,Y,Reg,,,,,,
202410,Aerospace Studies,AFT,11000,Heritage And Values I,LEC,001,10499,1,1,,,W,11:30 AM-12:20 PM,08/21/23-12/09/23,AR 101,23,48,,022774064,"Franklin, Jessica R.",Recruiting Officer for Air Force ROTC,Y,Reg,,,,,,
202410,School of Engineering Tech,MET,34900,Stringed Instrumnt Des & Manuf,LEC,001,27679,3,3,,,M,03:30 PM-04:20 PM,08/21/23-12/09/23,WALC 2051,50,60,,015601432,"French, Richard M.",Professor,Y,Reg,A1,A3,BX,59,60,1
202410,School of Engineering Tech,ENGT,50900,Applied Computational Methods,LEC,002,24620,3,3,,,MWF,08:30 AM-09:20 AM,08/21/23-12/09/23,KNOY B019,13,20,,015601432,"French, Richard M.",Professor,Y,Reg,,,,,,
202410,School of Engineering Tech,MFET,10301,Geometric Modeling Applcations,LEC,005,15715,3,3,,,TR,08:30 AM-09:20 AM,08/21/23-12/09/23,SYNC ONLINE,109,115,,010245209,"Fuerst, Travis J.",Assistant Professor of Practice,Y,Reg,A1,A2,,,,
202410,School of Engineering Tech,MFET,16300,Graphical Comm & Spatial Anly,LEC,002,15556,2,2,,,W,08:30 AM-09:20 AM,08/21/23-12/09/23,STEW 130,250,350,,010245209,"Fuerst, Travis J.",Assistant Professor of Practice,Y,Reg,A1,A3,,,,
202410,School of Engineering Tech,MFET,16300,Graphical Comm & Spatial Anly,LEC,020,16139,2,2,,,W,09:30 AM-10:20 AM,08/21/23-12/09/23,STEW 130,326,350,,010245209,"Fuerst, Travis J.",Assistant Professor of Practice,Y,Reg,A2,A4,,,,
202410,School of Engineering Tech,MFET,31301,Bus Of Managing Digt Prod Data,LEC,003,20990,3,3,,,T,10:30 AM-11:20 AM,08/21/23-12/09/23,KNOY 314,11,35,,010245209,"Fuerst, Travis J.",Assistant Professor of Practice,Y,Reg,A1,A2,,,,
202410,School of Engineering Tech,MET,31601,Mechanics Of Machine Design,LEC,001,24640,3,3,,,MWF,04:30 PM-05:20 PM,08/21/23-12/09/23,PHYS 338,11,45,,032129687,"Gan, Dongming",Associate Professor,Y,Reg,,,,,,
202410,School of Engineering Tech,MET,41100,Intro Finite Elmnt Mth,LEC,002,16163,3,3,,,MW,02:30 PM-03:20 PM,08/21/23-12/09/23,BHEE 234,7,24,,032129687,"Gan, Dongming",Associate Professor,Y,Reg,A1,A2,,,,
202410,School of Engineering Tech,ECET,58100,Robotics Seminar,LEC,007,19296,0,0,,Inst,F,10:30 AM-11:45 AM,08/21/23-12/09/23,KNOY B031,3,32,,032129687,"Gan, Dongming",Associate Professor,Y,S/U,,,41,4,32,28
202410,Schl of Aviation & Transp Tech,AT,49800,Aviation Technology Capstone,LEC,002,62991,3,3,,,MWF,03:30 PM-04:20 PM,08/21/23-12/09/23,NISW 157,18,40,,016405658,"Gao, Yi",Associate Professor,Y,Reg,,,,,,
202410,Schl of Aviation & Transp Tech,AT,54600,Aviation Financial Instruments,LEC,001,26079,3,3,,,W,06:00 PM-08:50 PM,08/21/23-12/09/23,NISW 184,9,22,,016405658,"Gao, Yi",Associate Professor,Y,Reg,,,,,,
202410,School of Engineering Tech,MET,33400,Advanced Fluid Power,LEC,004,17611,3,3,,,TR,02:30 PM-03:20 PM,08/21/23-12/09/23,WALC 3127,16,16,,014561903,"Garcia Bravo, Jose M.",Associate Professor,Y,Reg,A1,A2,,,,
202410,School of Engineering Tech,MET,43600,Pneumatic Motion Cntrl,LEC,002,19213,3,3,,,TR,01:30 PM-02:20 PM,08/21/23-12/09/23,WALC 2121,18,28,,014561903,"Garcia Bravo, Jose M.",Associate Professor,Y,Reg,A1,A2,,,,
202410,School of Engineering Tech,ENGT,48000,ET Capstone I,LEC,020,14758,3,3,,,MW,08:30 AM-09:20 AM,08/21/23-12/09/23,LMBS 4247B,94,100,,014561903,"Garcia Bravo, Jose M.",Associate Professor,Y,Reg,A1,A2,,,,
202410,School of Engineering Tech,ENGT,48000,ET Capstone I,LEC,003,24848,3,3,,,MW,08:30 AM-09:20 AM,08/21/23-12/09/23,LMBS 4247A,95,100,,014561903,"Garcia Bravo, Jose M.",Associate Professor,Y,Reg,A1,A2,,,,
202410,School of Engineering Tech,ENGT,48100,ET Capstone II,LEC,003,24847,3,3,,,R,08:30 AM-09:20 AM,08/21/23-12/09/23,LMBS 4247B,50,75,,014561903,"Garcia Bravo, Jose M.",Associate Professor,Y,Reg,A1,A2,,,,
202410,Computer Graphics Technology,CGT,11800,Fund Of Imaging Tech,LEC,013,22615,3,3,,,TR,03:30 PM-04:20 PM,08/21/23-12/09/23,PHYS 114,209,240,,015197260,"Garcia, Esteban",Associate Professor,Y,Reg,A2,A1,,,,
202410,Computer Graphics Technology,CGT,50100,Seminar In CGT,LEC,003,26813,3,3,,,T,04:30 PM-05:20 PM,08/21/23-12/09/23,PHYS 203,3,65,,015197260,"Garcia, Esteban",Associate Professor,Y,Reg,,,1N,40,65,25
202410,Computer Graphics Technology,CGT,50100,Seminar In CGT,LEC,001,22596,1,1,,,T,04:30 PM-05:20 PM,08/21/23-12/09/23,PHYS 203,37,65,,015197260,"Garcia, Esteban",Associate Professor,Y,Reg,,,1N,40,65,25
202410,Schl of Construction Mgmt Tech,CM,26200,Intro To Construction Graphics,LEC,003,17772,3,3,,,T,08:30 AM-09:20 AM,08/21/23-12/09/23,KNOY 306,25,40,,016901531,"George, Sarah J.",Associate Professor of Practice,Y,Reg,A1,A3,,,,
202410,Schl of Aviation & Transp Tech,AT,35400,Turbine Flight Ops Lect,LEC,001,11760,2,2,,,F,09:30 AM-11:20 AM,08/21/23-12/09/23,NISW 149,59,60,,018517434,"Gephart, Raymond F.",Senior Continuing Lecturer,Y,Reg,,,,,,
202410,Schl of Aviation & Transp Tech,AT,29000,Career Resource Seminar,LEC,002,28829,1,1,,,W,01:30 PM-02:20 PM,08/21/23-12/09/23,NISW 157,26,30,,020037940,"Gilbert, Vicki L.","Recruting, Placement and Internship Coordinator",Y,Reg,,,,,,
202410,Computer Graphics Technology,CGT,38500,Game Production,LEC,001,16199,3,3,,,MWF,05:30 PM-06:20 PM,08/21/23-12/09/23,KNOY 306,27,30,,034007647,"Giri, Nandhini",Assistant Professor,Y,Reg,,,,,,
