seconds_elapsed,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,gyroscope_z,gyroscope_y,gyroscope_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometer_z,magnetometer_y,magnetometer_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,microphone_dBFS,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,class
137,-0.892333225,0.012342551,-0.00579232,0.4511712205062792,8.001282174836446E-4,0.027257354441777015,2.205333163437334,-1.72E-04,1.482638932800698E-4,-9.67E-04,9.966681351,-0.26767961,-0.007294625,-60.44538685,-11.0155018,-17.51773579,-103.7048779,47.183621101379394,-50.15712708,0.010373708113883306,0.004055725,2.1410981211268787E-4,0,1.5,1,12.758000373840332,0.067710906,0,149.39999389648438,-86.9110184,40.4279881,-106.3333333,9.966681351,-0.26767961,-0.007294625,-0.02155164,0.015572157,-8.14E-04,Classroom
138,-0.892540926,0.012639857,-0.00598342,0.45074937094762485,7.141173528439537E-4,0.027960836,2.206274535,-3.85E-04,-8.90E-05,-7.65E-04,9.968412047450983,-0.279199426,-0.006716746,-60.4614909,-10.99683582,-17.5231036,-103.7219576,47.20277496337891,-50.16200722,0.002032836,-2.07E-04,6.66422326370929E-4,0,1.5,1,12.758000373840332,0.067710906,0,149.39999389648438,-86.9110184,40.4279881,-107.75,9.968412047450983,-0.279199426,-0.006716746,-0.02176514,0.015334935072194604,-6.12E-04,Classroom
139,-0.892330162,0.012513679,-0.005901558,0.4511709190109401,7.594417864275933E-4,0.027661399300960662,2.2053313232162624,2.0756945918196614E-4,1.364027904979523E-4,9.548195154017326E-4,9.963007880646048,-0.275322704,-0.007738923,-60.39927067,-11.02977583,-17.46039572,-103.6588842,47.17129901885986,-50.10112907,-0.00170392,3.930127736434196E-4,-1.15E-04,0,1.5,1,12.758000373840332,0.067710906,0,149.39999389648438,-86.9110184,40.4279881,-128.1111111,9.963007880646048,-0.275322704,-0.007738923,-0.021172084,0.015560296246583023,0.001107531,Classroom
140,-0.892101384,0.012330962049488265,-0.005820525,0.4516294515476777,7.533230936342778E-4,0.027261743,2.2043066024780273,-7.05E-05,1.5271182145135335E-4,1.9970007437782793E-4,9.959433277833808,-0.272012243,-0.008064161,-60.45404873,-11.01001185,-17.47149767,-103.7137841,47.191184997558594,-50.1107671,-0.001869183,-3.71E-04,-5.38E-04,0,1.5,1,12.758000373840332,0.067710906,0,149.39999389648438,-86.9110184,40.4279881,-109.6666667,9.959433277833808,-0.272012243,-0.008064161,-0.021450136,0.015576605246259043,3.5241186000908224E-4,Classroom
141,-0.892010793,0.012415327873189472,-0.005806287,0.4518061497257751,8.604065407727601E-4,0.027399221579860716,2.203907924948387,-8.90E-05,2.9652772778735578E-5,-8.90E-05,9.931985447707685,-0.275418531,-0.007590824,-60.4968708,-11.0413658,-17.56275373,-103.7574604,47.15897720336914,-50.2031208,-0.016642876,-0.002690298,0.001040017,0,1.5,1,12.064000129699707,0.093350977,0,149.39999389648438,-86.9110082,40.4279835,-102.5,9.931985447707685,-0.275418531,-0.007590824,-0.021468612,0.015453546,6.37534427122005E-5,Classroom
142,-0.892151585,0.012612375195671632,-0.005953889,0.45152076181856177,7.662442789720462E-4,0.027884508,2.204545497894287,2.9652779560210635E-5,1.2454167867386804E-4,-5.93E-06,9.903268591871539,-0.277811355,-0.007134909,-60.47698498,-11.05795787,-17.41244972,-103.7372079,47.142263107299804,-50.05208523,-0.013550777,-0.001135922,5.441641127600254E-4,0,1.5,1,12.064000129699707,0.093350977,0,149.39999389648438,-86.9110082,40.4279835,-118.6666667,9.903268591871539,-0.277811355,-0.007134909,-0.021350001,0.015548435121195988,1.4678123791349456E-4,Classroom
143,-0.892242393,0.012683999652350411,-0.006024647,0.4513383614785463,6.989330902144096E-4,0.028076397,2.204953899661314,2.9652779560210635E-5,-5.93E-06,-5.93E-06,9.902040259352008,-0.278322444,-0.008366168,-60.41915672,-11.09687585,-17.45136774,-103.6798684,47.10249107,-50.09185703,-0.001645875,-8.82E-05,-0.001364688,0,1.5,1,12.064000129699707,0.093350977,0,149.39999389648438,-86.9110082,40.4279835,-108,9.902040259352008,-0.278322444,-0.008366168,-0.021350001,0.015417962895652044,1.467812396088633E-4,Classroom
144,-0.892168409,0.012661781975800552,-0.006009268,0.45148536620788204,7.109190472989407E-4,0.028022717431332302,2.2046245949939616,-1.48E-04,-1.60E-04,1.245416990182932E-4,9.905234596104298,-0.277346729,-0.007361414,-60.46661476,-11.06332586,-17.46442167,-103.7272042,47.13835891723633,-50.10430103,9.14657000199105E-4,3.496801968917106E-4,-2.46E-04,0,1.5,1,12.064000129699707,0.093350977,0,149.39999389648438,-86.9110082,40.4279835,-98.44444444,9.905234596104298,-0.277346729,-0.007361414,-0.021527918,0.015263768401250098,2.772534984950591E-4,Classroom
145,-0.892282319,0.012799020919912649,-0.006074308,0.4512552578472397,7.113421994749709E-4,0.028326613304105776,2.2051380444498894,-1.48E-04,1.1268056232880041E-4,-0.001417403,9.908529052367577,-0.28019033,-0.007799682,-60.42171875,-11.01842979,-17.43672775,-103.6815769,47.18203514099121,-50.07758305,0.001480417,0.001055141,-7.87E-06,45,1.5,1,11.406000137329102,0.32439956068992615,236.5774383544922,149.39999389648438,-86.9110231,40.4279761,-116.5,9.908529052367577,-0.28019033,-0.007799682,-0.021527917,0.015536573986766987,-0.001264691,Classroom
146,-0.892101618,0.012540727157543586,-0.006063535,0.4516191375487059,5.082628739843325E-4,0.027855769306131938,2.204328296253982,5.3375014510837576E-5,-8.84E-04,0.002615375,9.923680231409165,-0.278206287,-0.006708034,-60.41647274,-11.0189178,-17.50712164,-103.6765736,47.180205001831055,-50.14614704,0.008834357,-0.003051857,-0.001829848,45,1.5,1,11.406000137329102,0.32439956068992615,236.5774383544922,149.39999389648438,-86.9110231,40.4279761,-109.8888889,9.923680231409165,-0.278206287,-0.006708034,-0.021326279,0.014540240611627843,0.002768087,Classroom
147,-0.892386085,0.012573465569288407,-0.006277324,0.45105320388830983,1.3860972829259712E-4,0.028107431672007136,2.2056003380747673,-6.23E-04,2.431527765702854E-4,-5.75E-04,9.914315094068213,-0.27979763,-0.001277721,-60.4641748,-11.01415978,-17.52712975,-103.7241542,47.18532894134521,-50.16737503,-0.004433132,-0.001049483,0.001363043,45,1.5,1,11.406000137329102,0.32439956068992615,236.5774383544922,149.39999389648438,-86.9110231,40.4279761,-95.75,9.914315094068213,-0.27979763,-0.001277721,-0.022002362,0.015667046,-4.23E-04,Classroom
148,-0.89251338,0.012352284089237163,-0.006440134,0.45080524162181373,-3.59E-04,0.027859108685289773,2.2061649294732844,-0.013183626,4.329305928815337E-4,-1.13E-04,9.914997508224932,-0.27607772,0.002906815,-60.45319469,-11.14299182,-17.48357567,-103.7130521,47.055643234252926,-50.12443085,0.001128826,-5.26E-04,0.001819251,45,1.5,1,11.406000137329102,0.32439956068992615,236.5774383544922,149.39999389648438,-86.9110231,40.4279761,-70.66666667,9.914997508224932,-0.27607772,0.002906815,-0.03456328,0.015856824078352996,4.003129422538055E-5,Classroom
149,-0.892845081,0.012457515926832714,-0.006306664,0.4501468999293244,-4.65E-05,0.027926562,2.207635006858307,2.4315278787274383E-4,-6.11E-04,1.3640278371647723E-4,9.91649011,-0.275865734,0.004210671,-60.39585495,-11.44628381,-17.46673983,-103.6562001,46.75320499420166,-50.10747322,-4.70E-04,0.0028189,-7.52E-04,45,1.5,1,11.406000137329102,0.32439956068992615,236.5774383544922,149.39999389648438,-86.9110231,40.4279761,-84.77777778,9.91649011,-0.275865734,0.004210671,-0.021136501,0.014813046174539813,2.891146385752894E-4,Classroom
150,-0.89305691,0.012292143727581088,-0.006527991,0.4497283364717777,-6.04E-04,0.027830382,2.2085811656254988,-3.05E-04,4.4638839496586186E-4,-0.001033742,9.916957642268208,-0.274103061,0.005247367,-60.43550503,-11.46616974,-17.60240358,-103.6952401,46.73453926086426,-50.24179508,-8.07E-04,0.001956275,-2.64E-04,45,1.5,1,11.406000137329102,0.32439956068992615,236.5774383544922,149.39999389648438,-86.9110231,40.4279761,-118.375,9.916957642268208,-0.274103061,0.005247367,-0.021685077,0.015870281817534797,-8.81E-04,Classroom
151,-0.893185055,0.012776088,-0.006552862,0.4494596028212205,-2.21E-04,0.028717147638496844,2.209171315998707,-0.001559736,2.0756944335852432E-4,-6.94E-04,9.948711904507238,-0.284133169,-4.41E-04,-60.34815289,-11.39284777,-17.54420967,-103.6081324,46.807495193481444,-50.18299114,0.018282057012169107,0.00114754,-0.002581276,45,1.5,1,11.406000137329102,0.32439956068992615,236.5774383544922,149.39999389648438,-86.9110231,40.4279761,-76.77777778,9.948711904507238,-0.284133169,-4.41E-04,-0.02293939,0.015631462885880645,-5.41E-04,Classroom
