seconds_elapsed,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometer_z,magnetometer_y,magnetometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometer_z,accelerometer_y,accelerometer_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,microphone_dBFS,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,class
196,9.926232763864462,0.12199330078528343,0.17164146560199053,45,1.5,25.117773056030273,80.61499786376953,2.3678088188171387,298.49285888671875,153.6999969482422,-86.9102194,40.4247,9.926232763864462,0.12199330078528343,0.17164146560199053,-52.45011719,-29.45458143,14.071235761642455,-0.020968506,0.012557610117185574,9.162708699407701E-4,0.006593319,-0.001201072,-7.95E-04,-4.70E-05,3.524124230562638E-5,1.5271181473508477E-4,0.9727144441925563,0.003847179,0.009892931,0.23176258716445702,-0.017464865,-0.012070335,-2.673892755,-45.5,-115.5708418,-3.654997902,-12.98860776,Garage
197,9.963301167904753,0.12464747488503208,0.17537299131305473,45,1.5,25.117773056030273,84.12200164794922,1.2643910646438599,310.9089660644531,153.6999969482422,-86.9102458,40.4247294,9.963301167904753,0.12464747488503208,0.17537299131305473,-52.47854332,-29.39748531,14.049885740280152,-0.021029751,0.012737351609846053,8.11003505148319E-4,0.018355795480672597,0.001099981,0.002010588,-1.08E-04,1.8681256209038993E-4,4.7444447296337016E-5,0.972627328,0.0040173,0.00991754,0.2321239827038015,-0.017429322,-0.012419197,-2.673152065,-44.66666667,-115.5984138,-3.596803916,-13.0100797,Garage
198,9.953956363270583,0.12410153945550793,0.1753787997278195,45,1.5,25.117773056030273,84.12200164794922,1.2643910646438599,310.9089660644531,153.6999969482422,-86.9102458,40.4247294,9.953956363270583,0.12410153945550793,0.1753787997278195,-52.53771313,-29.44921347,14.077213735580445,-0.021041612,0.012251045984369748,7.991424029313245E-4,-0.003256779,-4.36E-04,-2.49E-04,-1.20E-04,-4.24E-04,3.558333547225276E-5,0.9725179868994407,0.004030235,0.010029165761418712,0.2325766465617615,-0.017634708,-0.012504398,-2.672222677,-41.375,-115.6578275,-3.649995914,-12.98311773,Garage
199,9.918729004,0.12327392508266764,0.17467605242125908,45,1.5,25.117773056030273,84.12200164794922,1.2643910646438599,310.9089660644531,153.6999969482422,-86.9102458,40.4247294,9.918729004,0.12327392508266764,0.17467605242125908,-52.53929913,-29.46836752,14.051959714889527,-0.020851834,0.012357796,9.296146414730951E-4,-0.0132841,0.001241994,-0.003777757,6.968401670817611E-5,-3.17E-04,1.6605556553717955E-4,0.9724215500563094,0.003879989,0.010165405966052152,0.23297601287226075,-0.017964558,-0.012282954,-2.671401001,-41.44444444,-115.6595356,-3.669393904,-13.00800572,Garage
200,9.904568818899302,0.11566939189819656,0.17940705479570448,45,1.5,25.117773056030273,84.12200164794922,1.2643910646438599,310.9089660644531,153.6999969482422,-86.9102458,40.4247294,9.904568818899302,0.11566939189819656,0.17940705479570448,-52.47915295,-29.65844347,14.115521764755249,-0.020899279,0.012701768260810849,-1.38E-04,-0.007722697,-7.90E-05,0.002601375,2.2239569411839096E-5,2.668756263746509E-5,-9.01E-04,0.9724600749108397,0.003714407,0.010043735,0.23282310106221912,-0.017806825,-0.011901407,-2.671712028,-41.11111111,-115.5989014,-3.858371904,-12.94444379,Garage
201,9.921810066815718,0.10720948978480928,0.17182441149811142,45,1.5,25.117773056030273,84.12200164794922,1.2643910646438599,310.9089660644531,153.6999969482422,-86.9102458,40.4247294,9.921810066815718,0.10720948978480928,0.17182441149811142,-52.30786503,-29.17446955,14.620601663589477,-0.020970445,0.012381518295812376,2.0608679703391583E-4,0.003394497,-0.00345424,-0.002412679,-4.89E-05,-2.94E-04,-5.57E-04,0.9725208236175833,0.003156274,0.009838782,0.23258639973344156,-0.017670554,-0.010716035,-2.672189444,-40.875,-115.4272478,-3.374885936,-12.43997375,Garage
202,9.951932342307082,0.10812422094156839,0.17664780872828753,45,1.5,25.117773056030273,84.12200164794922,1.2643910646438599,310.9089660644531,153.6999969482422,-86.9102458,40.4247294,9.951932342307082,0.10812422094156839,0.17664780872828753,-52.47085697,-29.06405945,14.086363763809205,-0.020863695,0.012440824,7.516979460278978E-4,0.021730274830049683,0.004276737,-1.49E-04,5.7822911100443994E-5,-2.34E-04,-1.19E-05,0.972399827,0.003230271,0.009859276,0.23308985774378174,-0.017670358,-0.010878645,-2.671155231,-47.44444444,-115.590606,-3.263621955,-12.97372377,Garage
203,9.959194998139317,0.11277628646828958,0.17585504076723912,45,1.5,9.343145370483398,36.125,1.513919472694397,103.69336700439453,155.1999969482422,-86.9100894,40.4246891,9.959194998139317,0.11277628646828958,0.17585504076723912,-52.58883095,-29.27267939,13.92910572052002,-0.020756945,0.012345935,7.398368251618468E-4,-0.010524509,-0.00270237,-8.85E-04,1.645729180823252E-4,-3.29E-04,-2.37E-05,0.972299423,0.003316998,0.009963147,0.23350276819710591,-0.017827304,-0.011103311,-2.670308152,-48.375,-115.7094337,-3.473095927,-13.13085971,Garage
204,9.911248531156373,0.10362025607689239,0.1790812856798033,45,1.5,9.343145370483398,36.125,1.513919472694397,103.69336700439453,155.1999969482422,-86.9100894,40.4246891,9.911248531156373,0.10362025607689239,0.1790812856798033,-52.59932301,-29.25803936,13.943989744186402,-0.020956759,0.012663333726008065,6.460884234491879E-4,-0.014156103,-4.49E-04,6.531931173342925E-5,-3.52E-05,-1.17E-05,-1.17E-04,0.9722771283525687,0.003129336,0.009992549,0.2335968971825563,-0.01797104,-0.010753832,-2.670112337,-50.88888889,-115.7191936,-3.458943942,-13.11658569,Garage
205,9.904639179266772,0.10499380555261577,0.17850340743666715,45,1.5,9.343145370483398,36.125,1.513919472694397,103.69336700439453,155.1999969482422,-86.9100894,40.4246891,9.904639179266772,0.10499380555261577,0.17850340743666715,-52.70668274,-29.30232542,13.95582371711731,-0.020994167,0.012725490529668851,7.754201668504517E-4,-0.007209361,-1.76E-04,0.001109792,-7.26E-05,5.040980097882956E-5,1.1861111824084254E-5,0.9722755476109033,0.00306652,0.009937112,0.23360668701454274,-0.017892454,-0.01060596,-2.670090828,-50.125,-115.8265536,-3.502375929,-13.10414176,Garage
206,9.921487715637799,0.1069771763846025,0.17522198876854286,45,1.5,9.343145370483398,36.125,1.513919472694397,103.69336700439453,155.1999969482422,-86.9100894,40.4246891,9.921487715637799,0.1069771763846025,0.17522198876854286,-52.70839062,-29.29134542,13.879817724227905,-0.020958584,0.012595018272478026,8.821701647903662E-4,0.010594358721983086,0.001622148,-0.001673621,-3.71E-05,-8.01E-05,1.1861111824084254E-4,0.9722566344205615,0.003080541,0.009916198,0.23368609154108658,-0.017844361,-0.010624911,-2.66992747,-50.55555556,-115.8285056,-3.48980994,-13.18014773,Garage
