seconds_elapsed,microphone_dBFS,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,class
305,-99.25,9.890450727592395,-0.258009585,-0.194123545,-3.11E-05,-9.93E-05,1.3936804245831896E-4,0,0.16970562934875488,1.1888997554779053,9.951999664,0.003759845,0,160.1999969482422,-86.9154941,40.3848548,-103.8784836,-10.00253578,-33.49070728,-40.75775948,-35.80199711,-6.430985913,0.002799664,6.131307013983866E-4,-1.97E-04,-0.021563501,0.014255574,5.975034860984503E-4,9.890450727592395,-0.258009585,-0.194123545,-0.995170639,0.013959982260627654,0.008491989,0.096790419,0.019612303,0.026144215547778075,2.9474259001537435,Home
306,-116.8888889,9.894793373,-0.256457669,-0.194048712,1.6309023106886636E-5,1.9719099085687577E-4,4.447916142859505E-5,0,0.16970562934875488,1.1989578008651733,9.954000473022461,0.004215059,0,160.1999969482422,-86.9154942,40.3848548,-103.905446,-10.01144174,-33.41970333,-40.78533138,-35.8117572,-6.359737902,0.002693686,7.422094784894036E-4,3.7761047048476135E-4,-0.021516056,0.014552101746056844,5.026145994174973E-4,9.894793373,-0.256457669,-0.194048712,-0.995170567,0.013904770935695726,0.008521036,0.096796622,0.019659563501193685,0.026028559497982554,2.947414067185041,Home
307,-133.8888889,9.902292964527907,-0.255006941,-0.194611402,-9.04E-05,1.0230209908981636E-4,-7.41E-05,0,0.16278821229934692,1.2089807987213135,10.145000457763672,0.002661148,0,160.1999969482422,-86.9154942,40.3848548,-103.9009315,-9.982893772,-33.46154945,-40.78020756,-35.78320908,-6.401095905,0.005524496,0.001615635,1.8454494985561926E-4,-0.021622806,0.014457212815296303,3.840034919139902E-4,9.902292964527907,-0.255006941,-0.194611402,-0.995171681,0.013829302,0.008531471,0.096795052,0.019665623318801805,0.025876337463415944,2.9474188286123923,Home
308,-146.375,9.944855652966545,-0.250532014,-0.193426607,-1.93E-05,-3.01E-04,-1.81E-04,0,0.16970562934875488,1.218949317932129,10.145000457763672,0.001154967,0,160.1999969482422,-86.9154942,40.3848548,-103.926674,-9.960933781,-33.4868034,-40.80643738,-35.76076134,-6.426227884,0.020948715580319896,0.003086789,3.825214881341434E-5,-0.021551639,0.014053935004235471,2.7725348662747777E-4,9.944855652966545,-0.250532014,-0.193426607,-0.995180423,0.013664534089417712,0.008467441,0.096734133,0.019504535,0.025561943342818798,2.9475469334611617,Home
309,-135.5,9.956233200517673,-0.24884194,-0.193031675,-9.04E-05,1.734687655133385E-4,8.89583386806319E-6,0,0.11313708126544952,1.2290089130401611,10.14900016784668,3.930353850591928E-4,0,160.1999969482422,-86.9154942,40.3848548,-103.923624,-10.01205174,-33.55573353,-40.80326538,-35.81248932,-6.495645905,0.007399735,0.001006793,-2.29E-05,-0.021622806,0.014528379441030975,4.670312769430717E-4,9.956233200517673,-0.24884194,-0.193031675,-0.99518329,0.013445805161468033,0.008439653,0.096737792,0.019406783,0.025131859084211505,2.947545655722757,Home
310,-149,9.952373958328396,-0.251022775,-0.192055961,-1.14E-04,2.0905210042046834E-4,-8.60E-05,0,0.12041594833135605,1.2389848232269287,10.163000106811523,0.005017626,0,160.1999969482422,-86.9154942,40.3848547,-103.8701875,-9.982527742,-33.4591095,-40.74897545,-35.78235535,-6.399509883,-7.69E-04,5.044404742787185E-6,0.001000595,-0.021646528,0.014563962790066177,3.7214238178527473E-4,9.952373958328396,-0.251022775,-0.192055961,-0.99518334,0.013482565566608049,0.008429604,0.096733031,0.019393796806485907,0.025207075769606145,2.947554562855693,Home
311,-138.875,9.946737428,-0.249835074,-0.192869056,5.8735312240269894E-5,1.6445888300390483E-4,8.222943758412909E-5,0,0.16278821229934692,1.248953938484192,10.152000427246094,0.00356939,0,160.1999969482422,-86.9154942,40.3848547,-103.9064219,-9.96617981,-33.49424545,-40.78618534,-35.7664954,-6.434401913,-0.002502946,2.2913902424848996E-4,2.996620650474842E-4,-0.02147363,0.014519369587875329,5.403648806700053E-4,9.946737428,-0.249835074,-0.192869056,-0.995183601,0.013445095,0.008442901,0.096734411,0.019413028915341083,0.025129881418811586,2.9475523691910963,Home
312,-116.8888889,9.940639134749626,-0.25055815,-0.193751846,-1.97E-04,7.413202236650638E-6,-2.64E-04,0,0.12727922201156616,1.108791470527649,9.991999626159668,0.008361081,0,160.1999969482422,-86.9154942,40.3848549,-103.8642093,-10.00216978,-33.46045155,-40.74482742,-35.80260746,-6.400851898,-0.004181936,5.22921675617255E-4,-9.73E-05,-0.021729556,0.014362323902619696,1.9422569425179832E-4,9.940639134749626,-0.25055815,-0.193751846,-0.995181693,0.013502925245579585,0.008466903,0.096743822,0.019472288419899432,0.025240163128931545,2.9475314594009547,Home
313,-99.11111111,9.940029273912744,-0.250122564,-0.192729668,1.6309016325411576E-5,3.0394100122949454E-4,-2.67E-05,0,0.12727922201156616,1.1188416481018066,10.020999908447266,0.001457875,0,160.1999969482422,-86.9154942,40.3848548,-103.9209397,-9.957761793,-33.47240749,-40.80070343,-35.75807716,-6.412197881,8.328632243628641E-4,0.001128333,0.001848657,-0.021516056,0.014658851720826718,4.3144792112639375E-4,9.940029273912744,-0.250122564,-0.192729668,-0.995177466,0.013522419508872102,0.008516744,0.096780083,0.019576255,0.025268586,2.9474568274414654,Home
314,-87.125,9.941379501,-0.249257199,-0.194216469,-7.41E-06,2.3277431333130135E-4,1.3936804245831896E-4,0,0.12041594833135605,1.1288553476333618,10.057999610900879,3.2121496042236686E-4,0,160.1999969482422,-86.9154942,40.3848548,-103.9254536,-9.932507753,-33.50168736,-40.80460747,-35.73196941,-6.441355915,2.1480819554004854E-4,9.960189317036602E-4,3.4316882346440287E-4,-0.021539779,0.014587685009193363,5.975034849682045E-4,9.941379501,-0.249257199,-0.194216469,-0.995178061,0.013470028599416747,0.008518996,0.096781191,0.019570575448349843,0.025163845547917976,2.947455843675484,Home
315,-82.33333333,9.941263574820299,-0.251418937,-0.196970718,-5.49E-05,2.6835765445478333E-4,2.0756912915017998E-5,0,0.16278821229934692,1.138935923576355,10.104000091552734,4.655859374906868E-4,0,160.1999969482422,-86.9154942,40.3848548,-103.9200858,-9.957273788,-33.38786118,-40.79997166,-35.75807709,-6.327529922,-4.91E-04,-0.002171159,-0.001231548,-0.021587223,0.014623268398917416,4.7889236390174735E-4,9.941263574820299,-0.251418937,-0.196970718,-0.995175118,0.013419059,0.0085584,0.096814991,0.019639978366135395,0.025054076143983497,2.9473881976118363,Home
316,-82.625,9.937807759,-0.247241883,-0.193589225,4.0031243364317614E-5,3.113541062650026E-5,1.3936802889536886E-4,0,0.12041594833135605,1.148829460144043,10.128999710083008,0.003818851,0,160.1999969482422,-86.9154943,40.3848548,-103.9064217,-9.966057806,-33.49522144,-40.78630737,-35.76539734,-6.435011911,-0.00295177,0.001777768,0.002133969,-0.021492334,0.014386046144351797,5.97503481577467E-4,9.937807759,-0.247241883,-0.193589225,-0.995171053,0.013437243766214663,0.008603195,0.096850319,0.019733593573124663,0.025080890530376758,2.9473156373477676,Home
317,-129.8888889,9.903980088465422,-0.255259581,-0.193589226,-7.41E-06,-1.59E-04,-1.48E-05,0,0.16278821229934692,1.1588058471679688,10.182000160217285,0.00522771,0,160.1999969482422,-86.9154942,40.3848547,-103.9381417,-10.00277975,-33.46545353,-40.81827148,-35.80175323,-6.405731907,-0.017732389,-0.003978856,-3.43E-04,-0.021539778,0.014196268377771366,4.433090414273218E-4,9.903980088465422,-0.255259581,-0.193589226,-0.995188299,0.013521727771290298,0.008468341,0.096673084,0.019477012775187354,0.025278698996577448,2.9476731217023238,Home
318,-129.625,9.882662300924652,-0.256302085,-0.192845825,2.817013945195426E-5,-4.00E-05,2.0756945692147444E-5,0,0.16278821229934692,1.1687675714492798,10.178000450134277,0.004352959,0,160.1999969482422,-86.9154943,40.3848547,-103.9308214,-10.01363772,-33.50973938,-40.81119537,-35.81407524,-6.44989594,-0.010565647,-0.001196272,-3.97E-04,-0.021504195,0.014314879464365325,4.78892388202033E-4,9.882662300924652,-0.256302085,-0.192845825,-0.995191505,0.013769290455192039,0.008431161,0.096608427,0.019449387414796838,0.025779974131474218,2.9477979511890595,Home
319,-135.8888889,9.884195633304929,-0.26032981,-0.189570212,-1.02E-04,-4.20E-04,-5.25E-04,0,0.16278821229934692,1.178816556930542,10.182000160217285,0.002572316,0,160.1999969482422,-86.9154943,40.3848547,-103.8677479,-10.01888374,-33.46703957,-40.74677963,-35.81797928,-6.407195878,-6.88E-04,3.201191865124749E-4,2.695113709829386E-5,-0.021634667,0.013935323922162495,-6.67E-05,9.884195633304929,-0.26032981,-0.189570212,-0.995208501,0.014037658397144484,0.008278162,0.096407577,0.019191482583585294,0.026347670071188687,2.948198996701287,Home
