seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,magnetometer_z,magnetometer_y,magnetometer_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,microphone_dBFS,gyroscope_z,gyroscope_y,gyroscope_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,class
437,-0.002290235,-0.004954693,-0.040852677,28.632545394897463,-6.346439881,-14.41551973,-0.794235783,0.002976853,0.00897015,0.6075331036326954,0.017866950093325482,-0.006167318,1.835674074089643,9.936915031,0.057324207995686896,-0.221620816,0.43004873394966125,0.2121320366859436,2.5,9.989999771118164,25.149999618530273,41,128.8676758,-86.9126991,40.4118977,-10.125,0.001614594,7.857983531792042E-5,3.4397223837746E-4,-0.019001501,0.013211796028557623,0.001107531,-34.48720327,19.452899646759032,-41.47597309,9.936915031,0.057324207995686896,-0.221620816,Drive
438,0.017348465410251063,0.004051795,-0.060959428,29.90341958999634,-6.691699862,-14.28278374,-0.798476152,0.006986196,0.016050127,0.6017665845676533,0.034048348,-0.008154414,1.8500745909885294,9.954444172312913,0.084727411,-0.399885965,0.4292326271533966,0.2408318966627121,2.5,9.987999916,25.10004234313965,40.999996185302734,129.3317871,-86.9125046,40.4120663,-10.66666667,0.007817955,0.001264691,8.065555588278956E-4,-0.01279814,0.014397907266348094,0.001570115,-33.21681744,19.108493595123292,-41.34250534,9.954444172312913,0.084727411,-0.399885965,Drive
439,-0.087853987,0.002460629,0.030080005,29.900735416412353,-5.903457868,-15.72775171,-0.798837099,0.007658767,0.016092452826430497,0.6012827146400526,0.034928835,-0.007115914,1.8512668135096726,9.827212222571513,0.072507753,-0.312475341,0.4437665045261383,0.380788654,2.5,9.991999626159668,25.099924087524414,40.00158691,129.5230712890625,-86.9123073,40.4122382,-11.625,0.004757789,0.002059386,-0.004092084,-0.015858307,0.015192601763647845,-0.003328525,-33.21974539,19.89563756942749,-42.78783916,9.827212222571513,0.072507753,-0.312475341,Drive
440,0.003363619,0.013980918699531879,0.021408105504165574,29.002083473205566,-5.092889929,-16.91981368,-0.799108226,0.008744296,0.015364544891110323,0.6009265734154043,0.03507296,-0.004490352,1.8521159702134364,9.793544334115333,0.056359104,-0.321062205,0.4267430901527405,0.19798989593982697,2.5,9.991000175476074,25.09998321533203,40.00011444091797,129.1949462890625,-86.9121153,40.41241,-12.11111111,0.004117288,0.00477558,-0.004436056,-0.016498807,0.017908796380405108,-0.003672497,-34.11754345,20.707425670623778,-43.97977932,9.793544334115333,0.056359104,-0.321062205,Drive
441,0.011630168,-0.006473452,0.034741707862569735,27.584809494018554,-4.144095945,-17.96852566,-0.797532577,0.010909265793788318,0.013241514151629347,0.6030283014361675,0.034288565,0.001433168,1.8467603704104056,9.782297458463502,-0.019621727,-0.30259914,0.2760069966316223,0.19416487216949463,2.5,9.970999717712402,25.090368270874023,39.99995803833008,129.1610107421875,-86.9119258,40.4125796,-13.55555556,0.001010247,2.349412383269877E-4,-0.006131967,-0.019605848,0.013368157417482087,-0.005368408,-35.53542736,21.656463584899903,-45.02849102,9.782297458463502,-0.019621727,-0.30259914,Drive
442,-0.061842344,0.00958104,0.059623108,26.73471345901489,-3.897777925,-16.63689564,-0.794626006,0.010861478,0.008123749,0.6069454672267136,0.026100535578664066,0.007401792,1.836931906857537,9.707112358611765,-0.062643168,-0.19547096,0.27936285734176636,0.36055514216423035,2.5,9.968999862670898,25.171064376831055,40.00241470336914,128.95635986328125,-86.9117327,40.4127518,-11,-0.002453767,0.006151469,-0.007602973,-0.023069862,0.019284685359345476,-0.006839414,-36.38479134,21.9016836,-43.69673912,9.707112358611765,-0.062643168,-0.19547096,Drive
443,0.034571694,0.031595055,-0.003583713,25.905967426300048,-3.49310394,-17.08097573,-0.794722956,0.011123843,0.006276254,0.6068361308968183,0.023479155599347597,0.010062318,1.8372013673041632,9.839071783047277,-0.067074536,-0.233817103,0.29573825001716614,0.12727922201156616,2.5,9.963999748,25.306793212890625,39.99996566772461,128.79876708984375,-86.9115384,40.412924,-11,-0.002845184,-0.008390254,-0.006381278,-0.023461279,0.004742962,-0.005617719,-37.21487938,22.306845569610594,-44.14106316,9.839071783047277,-0.067074536,-0.233817103,Drive
444,0.074159692,0.006440481,0.026738696306654552,26.588801498413087,-3.501887934,-16.75328362,-0.795306163,0.010644404434608025,0.00206194,0.6061101110236159,0.016185422,0.014432150734932099,1.8390640332860855,9.884637064146764,-0.135171247,-0.132029217,0.2834291458129883,0.5188448429107666,2.5,9.958000183105469,25.406909942626953,40.82997512817383,128.4255371,-86.9113439,40.413096,-10.875,-0.004007573,0.001762858,-6.29E-04,-0.024623668,0.014896073930182503,1.349201419128521E-4,-36.53204533,22.29793956756592,-43.81361488,9.884637064146764,-0.135171247,-0.132029217,Drive
445,-0.032028217,-0.009806403,-0.014437435,25.758347473144532,-3.495543933,-16.67752169,-0.794966253,0.011414565950704432,0.001724347,0.6065410410316245,0.016593927,0.016055562,1.837948157949355,9.858383288750282,-0.168607716,-0.177238559,0.4270583689212799,0.2121320366859436,2.5,9.960000038146973,25.46678352355957,40.99144363,127.91326904296875,-86.9111452,40.4132675,-13.11111111,-0.003201017,0.003091302,-0.002645028,-0.023817113,0.016224518527380796,-0.001881469,-37.36201115,22.30440559387207,-43.73785313,9.858383288750282,-0.168607716,-0.177238559,Drive
446,0.14376991234936762,-0.034186896,-0.077377605,26.100923500061036,-3.677079921,-16.56833158,-0.793413863,0.012883867417435043,0.002884584,0.6085339188575745,0.020262984,0.016934711,1.8328562893913787,10.108154014476295,-0.204542777,-0.281246681,0.23136062920093536,0.452216774,2.5,9.956999778747559,25.512683868408203,41.00064468383789,127.3762207,-86.9109457,40.4134399,-11.875,-1.29E-04,-0.005982448,0.006405,-0.020745084,0.007150768,0.007168559,-37.01980125,22.122625522613525,-43.62866314,10.108154014476295,-0.204542777,-0.281246681,Drive
447,-0.103249735,-0.04259445,-0.020655903,25.849359607696535,-3.296195943,-16.77756179,-0.791725768,0.012965917,6.432080475004343E-6,0.6107339193520037,0.015856614,0.020524837411216742,1.827321438,9.858548423618947,-0.244770656,-0.179020304,0.22864976525306702,0.3061045706272125,2.5,9.956000328063965,25.500835418701172,40.99992370605469,126.96441650390625,-86.9107463,40.4136125,-14,-0.001979323,4.937187960660718E-4,-0.002905972,-0.022595418,0.013626934971786964,-0.002142413,-37.27160938,22.504363651275636,-43.83740513,9.858548423618947,-0.244770656,-0.179020304,Drive
448,0.034387079257409546,-0.020215283,-0.014190725,25.796045455932617,-3.409045949,-16.7175377,-0.789601704,0.014806785901049965,1.6446091601731328E-4,0.6134403209084446,0.018432287137629916,0.023182959286767304,1.8203888830629367,10.04905943268711,-0.253822148,-0.199071809,0.2328071892261505,0.13601469993591309,2.5,9.954999923706055,25.48042869567871,40.99998092651367,126.60101318359375,-86.9105473,40.4137849,-12.5,-0.001398129,5.530243647935828E-4,0.004412334,-0.022014223,0.013686240477220706,0.005175893,-37.3238253,22.390415573120116,-43.7779911,10.04905943268711,-0.253822148,-0.199071809,Drive
449,0.006174699,-0.020117766,-0.055621582,25.901087436676026,-3.831653931,-16.69484571,-0.789198679,0.015697064266983165,0.002787558,0.6139299736439603,0.023681206068078293,0.021354256577572776,1.8190819198645434,10.079678303987077,-0.236662937,-0.29163978,0.2334594875574112,0.23706539,2.5,9.953000069,25.403982162475586,40.99922180175781,126.3265380859375,-86.9103498,40.4139554,-9.888888889,0.001235038,-0.004025365,0.004649556,-0.019381057,0.009107851,0.005413115,-37.21829533,21.96817356109619,-43.75468914,10.079678303987077,-0.236662937,-0.29163978,Drive
450,-0.053591893,-0.010559094,-0.039162355,25.60108959197998,-3.937305934,-17.39890761,-0.78695893,0.013485719,5.155623358195254E-4,0.6168478612716382,0.01745521,0.020600989962426517,1.8117999824193807,10.035785675048828,-0.216654991,-0.216913437,0.23630109429359436,0.34669873118400574,2.5,9.944999694824219,25.282052993774414,40.99723434448242,126.17254638671875,-86.9101524,40.4141263,-13.22222222,0.00307773,-0.024504373,-0.001527118,-0.017538365,-0.011371157,-7.64E-04,-37.51975727,21.862277584075926,-44.45899513,10.035785675048828,-0.216654991,-0.216913437,Drive
451,-0.025987171,0.014617682154317505,-0.042917532,25.548019542694092,-3.659999938,-18.0018318,-0.783466493,0.010478080141819219,-0.006989531,0.6213031364876089,0.002070133,0.025109563384530614,1.8006291968151205,9.901735305786133,-0.234673756,-0.063508533,0.24971257150173187,0.25612497329711914,2.5,9.944000244140625,25.166481018066406,40.99867630004883,126.1019287109375,-86.9099561,40.4142975,-12.25,0.006252289,-0.018792449,-0.003712528,-0.014363807,-0.005659233,-0.002948969,-37.57197327,22.139827537536622,-45.06204117,9.901735305786133,-0.234673756,-0.063508533,Drive
452,-0.0775846,0.039699496,-0.189140315,27.182209415435793,-3.670735936,-17.94973764,-0.783368038,0.011377554151763036,-0.005549747,0.6214157834793758,0.005447114,0.024732186,1.8002861784499826,9.835973369265066,-0.205451702,-0.242572396,0.25972896814346313,0.5981638431549072,2.5,9.947999954223633,25.06315803527832,40.20146942138672,126.03741455078125,-86.9097614,40.4144693,-15.22222222,0.020829595,-0.008093726,-0.006405,2.1349999022859972E-4,0.00503949,-0.005641441,-35.93827137,22.12884756088257,-45.01006916,9.835973369265066,-0.205451702,-0.242572396,Drive
453,0.10010127650881276,0.050278479,-0.238688392,25.916703586578368,-2.912627939,-18.56425158,-0.783021967,0.016863011239657125,0.004744747,0.6217380032956021,0.028409356,0.020506713593613755,1.7991317614768316,10.011991037905794,-0.153018685,-0.520459252,0.24463899433612823,0.19235384464263916,2.5,9.946999549865723,24.998525619506836,38.06417465209961,125.9373779296875,-86.9095771,40.4146407,-12.875,0.034149622906324936,-0.005994309,0.002253611,0.013533528622927017,0.007138907,0.00301717,-37.2032893,22.887077579498293,-45.6243391,10.011991037905794,-0.153018685,-0.520459252,Drive
