seconds_elapsed,magnetometer_z,magnetometer_y,magnetometer_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,microphone_dBFS,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,class
435,15.970165681838989,-57.95426888,-26.83072744,-0.965571714,-0.102305058,0.015515957859534663,0.23867150287605027,-0.019281651,-0.206435311,2.6549468063613744,0.012696080994837492,-1.06E-04,-1.35E-06,-0.021112779,0.012772934999570105,7.635590493751382E-4,-51.88888889,0,0.2801785171031952,4.807682514190674,10.548999786376953,0.007969505,0,159.29998779296875,-86.9188726,40.3872096,9.732356015918324,2.0360946088161285,0.1877784996646122,9.732356015918324,2.0360946088161285,0.1877784996646122,-44.09006695,-28.01461544,-62.41044079,1.1416320978365477E-4,-2.08E-04,0,Garage
436,16.19159578323364,-58.15569115,-26.7027495,-0.965829057,-0.102271606,0.015386638195407622,0.23765079749440685,-0.019298628,-0.206327924,2.6570627180118005,-0.012439922,9.157865950204793E-4,-0.00187719,-0.021195806,0.012761074,6.44947929438927E-4,-53.75,0,0.18601074814796448,4.817686080932617,10.633999824523926,0.006499337,0,159.29998779296875,-86.9188727,40.3872095,9.705616775068265,2.0334200986380715,0.18540019607080996,9.705616775068265,2.0334200986380715,0.18540019607080996,-43.86851505,-28.21591537,-62.28246296,3.113542531969622E-5,-2.19E-04,-1.19E-04,Garage
437,16.043365678787232,-58.01331722,-26.77363144,-0.966069794,-0.102350531,0.015295056,0.23664211503510335,-0.019299733,-0.206458017,2.659146510281609,-0.01193816,-0.002061575,-7.83E-04,-0.021302556,0.012761074,6.923923806911244E-4,-54.33333333,0,0.22022715210914612,4.827647686004639,10.54800033569336,0.002759008,0,159.29998779296875,-86.9188727,40.3872095,9.680341174301592,2.0299702547128917,0.18660531967010313,9.680341174301592,2.0299702547128917,0.18660531967010313,-44.01601318,-28.07390743,-62.35395477,-7.56E-05,-2.19E-04,-7.12E-05,Garage
438,16.090823640823363,-58.05784679,-26.83170353,-0.966295049,-0.102426967,0.015191850091259066,0.2356941172709832,-0.019335541,-0.206576735,2.6611009056751547,-0.00229234,-0.002284404,-1.41E-04,-0.021226942,0.012804298536278881,7.048237300925673E-4,-53.375,0,0.2080865204334259,4.837678909301758,10.496000289916992,0.006117904,0,159.29998779296875,-86.9188726,40.3872096,9.680782531071635,2.0267004399623687,0.18714254298835126,9.680782531071635,2.0267004399623687,0.18714254298835126,-43.96928711,-28.1178274,-62.41166073,1.1753469992142457E-11,-1.76E-04,-5.87E-05,Garage
439,16.219899673461914,-58.16837883,-26.82365143,-0.966528681,-0.10235331,0.015122773550740145,0.23477079625268585,-0.019235462,-0.206418333,2.663027877,0.017941243440202138,0.005448605,-5.26E-04,-0.021456751,0.013081323906996296,8.228646039745762E-4,-53.66666667,0,0.2580697536468506,4.598896503448486,10.43999958,0.002099287,0,159.29998779296875,-86.9188727,40.3872095,9.711680143782235,2.0357461230268754,0.18605647930531827,9.711680143782235,2.0357461230268754,0.18605647930531827,-43.84008907,-28.2290914,-62.40287663,-2.30E-04,1.0081945276520785E-4,5.930555912042127E-5,Garage
440,15.941739664077758,-57.96659081,-26.88330935,-0.966747302,-0.10230999,0.015034871356724535,0.2338935699567054,-0.019197719,-0.206309383,2.664850656268666,0.011366789,6.294817600435424E-4,0.001461743,-0.02123139,0.012891546108768982,7.991423865427598E-4,-53.11111111,0,0.22203603386878967,4.608901500701904,10.388999938964844,0.003365589,0,159.29998779296875,-86.9188727,40.3872096,9.735608360142384,2.0361788191841645,0.18825764491141422,9.735608360142384,2.0361788191841645,0.18825764491141422,-44.11824917,-28.02681545,-62.4629007,-4.45E-06,-8.90E-05,3.558333547225276E-5,Garage
441,16.19928161621094,-58.14885895,-26.73349337,-0.966950098,-0.102351147,0.014909995,0.2330437188298957,-0.01928032,-0.206347522,2.666598579258595,-0.014893467,-0.003618902,-5.80E-04,-0.021219528,0.012796657196092374,7.872812735884297E-4,-52.75,0,0.2280350923538208,4.618741035461426,10.369999885559082,0.002619157,0,159.29998779296875,-86.9188727,40.3872096,9.708474205535593,2.032142378751514,0.18701767451265483,9.708474205535593,2.032142378751514,0.18701767451265483,-43.86119495,-28.20883945,-62.31491467,7.413199976158952E-6,-1.84E-04,2.3722223648168508E-5,Garage
442,15.998103675842286,-58.03381298,-26.77692541,-0.967142832,-0.102449418,0.014821743818669065,0.23220487966120823,-0.019320727,-0.206514601,2.668323347869429,-0.009662276,0.0011269,-3.75E-04,-0.021302556,0.012915268341459117,8.584479445329352E-4,-52,0,0.2420743703842163,4.628778457641602,10.314000129699707,0.003608193,0,159.29998779296875,-86.9188726,40.3872096,9.686353133,2.033079595519946,0.18667180212930992,9.686353133,2.033079595519946,0.18667180212930992,-44.06212914,-28.09415943,-62.35785889,-7.56E-05,-6.52E-05,9.488889459267403E-5,Garage
443,16.123519668579103,-58.12506886,-26.81584352,-0.96733139,-0.102493323,0.014729074952961172,0.23140459225594417,-0.019351662,-0.206572812,2.669972845651571,-0.003577223,-0.001041004,-8.85E-05,-0.021421167,0.012867824,6.80531263215811E-4,-52,0,0.20000000298023224,4.638801097869873,10.284000396728516,0.002615883,0,159.29998779296875,-86.9188726,40.3872096,9.681433038804137,2.0279375222122784,0.18831572291052456,9.681433038804137,2.0279375222122784,0.18831572291052456,-43.93598125,-28.18468355,-62.39641087,-1.94E-04,-1.13E-04,-8.30E-05,Garage
444,16.198671646118164,-58.10908707,-26.79363958,-0.967514467,-0.10253412,0.014686627340620583,0.2306225295495061,-0.019285807,-0.206648246,2.6715940156029268,0.016027404266653708,0.001904882,-1.17E-04,-0.021266973,0.012927129394510418,8.46586832143728E-4,-50.88888889,0,0.22203603386878967,7.6766533851623535,10.269000053405762,0.002528599,0,159.29998779296875,-86.9188727,40.3872096,9.710263039,2.035635791935967,0.186259754,9.710263039,2.035635791935967,0.186259754,-43.86156097,-28.16979944,-62.37371876,-4.00E-05,-5.34E-05,8.302778276858978E-5,Garage
