seconds_elapsed,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,microphone_dBFS,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,accelerometer_z,accelerometer_y,accelerometer_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,class
78,-103.2984957,45.51270912,-36.06051537,-119.75,9.889957057619558,-0.247279634,0.12481880593068391,-0.004803107,7.579087351377194E-4,0.001151275,-1.64E-04,1.2921768659278034E-4,-2.11E-04,8.229772768782066E-5,-0.006250023,-0.012546549,0.9999017457549388,-0.012501016,0.025094302,-7.75E-06,-43.23838531,15.572445678710938,-0.479703988,0,1.5,1.6276533603668213,13.378999710083008,0.018972827,0,167.39999389648438,-86.9131155,40.4275016,9.889957057619558,-0.247279634,0.12481880593068391,-0.0213914,0.01295701,5.52111944461313E-4,Classroom
79,-103.2925177,45.52259109,-36.0954073,-117.2222222,9.895068058,-0.247215748,0.12316357626498324,0.001799963,8.849840141037135E-4,5.091142307207423E-4,-1.35E-04,8.747569292114632E-5,-1.07E-04,-7.04E-05,-0.006196904,-0.012537902,0.9999021760468344,-0.012398583,0.025075121068404715,2.963173920139101E-4,-43.23252911,15.582815647125244,-0.515937986,0,1.5,1.6276533603668213,13.378999710083008,0.018972827,0,167.39999389648438,-86.9131155,40.4275016,9.895068058,-0.247215748,0.12316357626498324,-0.021361862,0.012915268,6.56809063867928E-4,Classroom
80,-103.2612859,45.51893108,-36.10553329,-122.125,9.899040666598719,-0.246864376,0.12352656515188587,0.001918895,6.829915405477134E-4,4.3935589130642347E-4,-1.59E-04,-7.41E-06,-1.07E-04,-1.48E-05,-0.006216323,-0.012504881,0.9999024792782312,-0.012436019,0.025009753833552008,1.85157368473461E-4,-43.20129719,15.578667707443238,-0.525453993,0,1.5,1.6276533603668213,13.378999710083008,0.018972827,0,167.39999389648438,-86.9131155,40.4275016,9.899040666598719,-0.246864376,0.12352656515188587,-0.021385584,0.012820379410698576,6.56809064433051E-4,Classroom
81,-103.337292,45.539061050415036,-36.06478561,-111.3333333,9.911292974765484,-0.245658331,0.12310669886378142,0.008353085,0.001502134,-1.79E-04,-2.18E-04,5.189235292791018E-5,-9.49E-05,-5.46E-05,-0.006202522,-0.01247963,0.9999028750993673,-0.012409394,0.024958765640565494,2.641478637856071E-4,-43.27730309,15.598675661087036,-0.485437988,45,1.5,1.6276533603668213,36.03499984741211,0,0,167.39999389648438,-86.9131155,40.4275016,9.911292974765484,-0.245658331,0.12310669886378142,-0.02144489,0.012879684938172114,6.686701739966435E-4,Classroom
82,-103.2651902,45.53332706451416,-36.13322727,-119.75,9.947907726,-0.241152383,0.12491463508131434,0.016340719,0.003067505,0.002412203,-9.93E-05,1.1119791656931483E-4,-1.07E-04,-1.31E-04,-0.006176141,-0.012297311,0.999905288,-0.012358404,0.024593163227427352,4.1498707946078145E-4,-43.20483513,15.593185634613038,-0.553269988,45,1.5,1.6276533603668213,36.03499984741211,0,0,167.39999389648438,-86.9131155,40.4275016,9.947907726,-0.241152383,0.12491463508131434,-0.021326278,0.012938990510855486,6.568090610423134E-4,Classroom
83,-103.2771455,45.59042316436768,-36.08149944,-128.7777778,9.940357402690406,-0.241672182,0.1235991629582007,7.432178386206766E-4,0.002136758,7.366163348688663E-4,-5.19E-05,2.060868117271118E-4,-2.73E-04,-1.23E-04,-0.00617936,-0.012226025,0.9999061458319136,-0.012364577,0.024450687,3.965146317515744E-4,-43.21715721,15.650525751113891,-0.501663989,45,1.5,1.6276533603668213,36.03499984741211,0,0,167.39999389648438,-86.9131155,40.4275016,9.940357402690406,-0.241672182,0.1235991629582007,-0.021278834,0.013033879441616027,4.907534994609943E-4,Classroom
84,-103.2937383,45.50904911,-36.02818554,-141.25,9.953126018487135,-0.241553122,0.12244631053463927,0.004510528,-7.30E-05,-5.83E-05,-1.59E-04,-7.41E-06,-8.30E-05,-1.62E-04,-0.006165607,-0.012171245,0.9999068946514315,-0.012337986,0.024340632814660812,4.7508969633711177E-4,-43.23387119,15.569273633956909,-0.449203987,45,1.5,1.6276533603668213,36.03499984741211,0,0,167.39999389648438,-86.9131155,40.4275016,9.953126018487135,-0.241553122,0.12244631053463927,-0.021385584,0.012820379365488742,6.805312886463423E-4,Classroom
85,-103.2888581,45.548821182250975,-36.07271538,-141.5555556,9.943914783811106,-0.241184326,0.12257698648473592,-0.002958124,5.733200277273471E-4,7.219326037627E-5,-4.70E-05,-6.16E-12,-8.22E-05,-2.11E-04,-0.006148785,-0.012155253,0.9999071852518961,-0.012305503,0.024308064,5.712736236511354E-4,-43.22850323,15.608801717758178,-0.492147984,45,1.5,1.6276533603668213,36.03499984741211,0,0,167.39999389648438,-86.9131155,40.4275016,9.943914783811106,-0.241184326,0.12257698648473592,-0.02127393,0.012827792598937567,6.813296304944043E-4,Classroom
86,-103.2731198,45.538695068359374,-36.0268433,-143.5,9.942059211360599,-0.239154493,0.1249088269558925,-0.001178343,0.002174433,0.002289223,-1.11E-04,1.7050347681998193E-4,-1.78E-04,-1.78E-04,-0.006160418,-0.012136326,0.9999073529706418,-0.01232795,0.024270605,5.047413162650875E-4,-43.21325321,15.598919639587402,-0.446763991,45,1.5,1.6276533603668213,36.03499984741211,0,0,167.39999389648438,-86.9131155,40.4275016,9.942059211360599,-0.239154493,0.1249088269558925,-0.02133814,0.012998296083538856,5.856423934885454E-4,Classroom
87,-103.3016673,45.531497116088865,-36.1237114,-111.1111111,9.938350807115869,-0.24338549,0.12342492845451948,-0.003765384,-0.001211819,8.255542047972818E-4,-1.59E-04,3.0097570462441707E-4,-1.42E-04,-1.72E-04,-0.006162286,-0.012178902,0.9999068240517551,-0.012331586,0.024355829611999318,4.941033219491376E-4,-43.2415572,15.591233625411988,-0.543631991,45,1.5,1.6276533603668213,36.03499984741211,0,0,167.39999389648438,-86.9131155,40.4275016,9.938350807115869,-0.24338549,0.12342492845451948,-0.021385584,0.013128768345250667,6.212257261351835E-4,Classroom
88,-103.3066698,45.534425048828126,-36.03709133,-96.625,9.933997830140937,-0.241349849,0.12433965996052455,-5.43E-04,0.001496827,0.001998144,4.299654222988677E-5,1.2305902500266155E-4,-2.25E-04,-1.98E-04,-0.006153252,-0.012221652,0.9999063454785393,-0.012314176,0.024441026711782204,5.458137369432116E-4,-43.24668137,15.595015678405762,-0.457987988,45,1.5,1.6276533603668213,36.03499984741211,0,0,167.39999389648438,-86.9131155,40.4275016,9.933997830140937,-0.241349849,0.12433965996052455,-0.021183945,0.012950851654326453,5.381979461922084E-4,Classroom
