seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,microphone_dBFS,gyroscope_z,gyroscope_y,gyroscope_x,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,class
268,0.02023184,0.002103508,0.001540895,9.932162525584397,-0.257527536,-0.194262932,0.9988722118359168,-0.012643171,-0.010449621,0.044556153,0.019757076,0.026192004457839483,-3.052697596,-78.75,4.4479163689086735E-6,2.4760067937624396E-4,-7.26E-05,0,0.086023256,1.2126179933547974,12.362000465393066,0.005806364,0,160.1999969482422,-86.9155035,40.3848254,-104.7507838,-12.65591378,-30.64554554,-0.021527917,0.013686240614545576,5.381979433665939E-4,-44.69091728,-42.59593304,4.935875911712646,9.932162525584397,-0.257527536,-0.194262932,Drive
269,0.011090797,0.001898049,5.295454587751221E-4,9.953875208,-0.254495853,-0.194286164,0.9988689202706791,-0.012439903,-0.010364269,0.044706828,0.019600564,0.025781227239561312,-3.052390126,-72.55555556,-5.49E-05,1.5271178760918453E-4,9.340623357486956E-5,0,0.086023256,1.2226179838180542,12.015000343322754,0.00345255,0,160.1999969482422,-86.9155035,40.3848254,-104.7301661,-12.67116379,-30.64151949,-0.021587223,0.013591352,7.0425350438279E-4,-44.67005539,-42.61020706,4.939901900291443,9.953875208,-0.254495853,-0.194286164,Drive
270,0.001133215,4.384213859595141E-4,5.452696559498611E-5,9.952109605363272,-0.254278058,-0.194100314,0.9988663219711156,-0.012338903,-0.010319305,0.044803271,0.019517187607809176,0.025577294016347348,-3.052194132,-109.125,-7.41E-06,-6.08E-05,2.2239563760609883E-5,0,0.086023256,1.232617974281311,12.015000343322754,0.001518404,0,160.1999969482422,-86.9155035,40.3848254,-104.6995438,-12.67335977,-30.71276747,-0.021539778,0.013377851679993486,6.330868362638991E-4,-44.63955524,-42.61313522,4.867921938896179,9.952109605363272,-0.254278058,-0.194100314,Drive
271,-0.002161257,-0.001108159,9.951357123921219E-5,9.947422666457093,-0.254780434,-0.194239702,0.9988657299754689,-0.012298142,-0.010315767,0.044828504,0.019513097293313266,0.025496027296752606,-3.052142808,-109.3333333,-1.73E-04,1.5271178252307825E-4,1.6457291356134182E-4,0,0.086023256,1.2426179647445679,12.362000465393066,5.225987988524139E-4,0,160.1999969482422,-86.9155035,40.3848254,-104.7611543,-12.61626384,-30.74399937,-0.021705834,0.013591351701868969,7.754201787180331E-4,-44.70128719,-42.55603931,4.836445918083191,9.947422666457093,-0.254780434,-0.194239702,Drive
272,-0.00780775,-0.00167593,1.961170480801509E-4,9.935897012,-0.256952561,-0.194820484,0.9988657728983805,-0.012373408,-0.010370592,0.044794132395719104,0.019616858532222416,0.025650642436141007,-3.052214324,-90.25,-1.17E-05,7.048234916650332E-5,9.397647674911871E-5,0,0.086023256,1.102288007736206,9.93500042,0.010135569609701633,0,160.1999969482422,-86.9155035,40.3848256,-104.7406582,-12.59759782,-30.70886347,-0.021544112,0.013509122305549681,7.04823749681684E-4,-44.68054729,-42.53688519,4.8707279157638546,9.935897012,-0.256952561,-0.194820484,Drive
273,-0.001927107,1.0907910402538706E-4,5.2049177364238255E-5,9.927397153909924,-0.256755095,-0.19475079,0.9988637207781227,-0.012476524,-0.010376082,0.044810015,0.019618254643186783,0.025857477096243968,-3.052184454,-69.22222222,-1.02E-04,-7.26E-05,-1.08E-04,0,0.086023256,1.112287998199463,9.93500042,0.017637887969613075,0,160.1999969482422,-86.9155034,40.3848258,-104.750174,-12.63578382,-30.70654539,-0.021634667,0.013365990563648419,5.026146050687264E-4,-44.6903075,-42.57555901,4.873289923667908,9.927397153909924,-0.256755095,-0.19475079,Drive
274,0.00156247,-6.51E-04,-0.001446086,9.932955334,-0.249791519,-0.197492081,0.9988682669343301,-0.012083949,-0.010419201,0.044803201,0.019739591,0.025076727247209225,-3.05219238,-51.11111111,-6.48E-04,5.322673462005784E-4,0.001291379,0,0.086023256,1.1222879886627197,9.93500042,0.015796483,0,160.1999969482422,-86.9155034,40.3848259,-104.7428537,-12.51085576,-30.73375141,-0.022180279,0.013970907253113765,0.001902226,-44.68286499,-42.45050907,4.846327948570251,9.932955334,-0.249791519,-0.197492081,Drive
275,0.003425506,4.1000877769248E-4,0.002459876,9.941881966822356,-0.245818968,-0.197585007,0.9988762834697094,-0.011921737,-0.010604052,0.044626736,0.020127757750813245,0.024765641,-3.052547422,-103.75,-4.30E-05,4.0179512122175793E-4,-4.28E-04,0,0.086023256,1.1322879791259766,9.93500042,0.008326391,0,160.1999969482422,-86.9155034,40.3848259,-104.7674981,-12.48291777,-30.8735635,-0.021575362,0.013840435009485888,1.8236458412308282E-4,-44.70738701,-42.42281532,4.706271920204163,9.941881966822356,-0.245818968,-0.197585007,Drive
276,-0.001935311,0.001611575,-0.00127078,9.937047343987684,-0.247507592,-0.20520755,0.9988862351306433,-0.0120431,-0.010788479,0.044326143610535315,0.020493144115198005,0.025018392528579073,-3.05315608,-70.33333333,0.006053615,-3.93E-04,-5.59E-04,0,0.086023256,1.1422879695892334,9.93500042,0.003352715,0,160.1999969482422,-86.9155034,40.3848259,-104.8415522,-12.53501177,-31.06473745,-0.015478751,0.013045740535356176,5.1892349537172654E-5,-44.78144089,-42.47527542,4.515097923278809,9.937047343987684,-0.247507592,-0.20520755,Drive
277,-0.004116466,-0.00106015,0.001057668,9.927080709957382,-0.254341946,-0.195401266,0.9988253978849615,-0.012291615,-0.010485596,0.045666955,0.019831722204401655,0.025514472312140234,-3.050468014,-70.375,-0.004407886,-3.45E-04,1.1712843179250661E-4,0,0.10000000149011612,1.1522879600524902,9.93500042,0.001037147,0,160.1999969482422,-86.9155034,40.3848259,-104.7960461,-12.57819983,-30.76876541,-0.025940251,0.013093185000736448,7.279757206843606E-4,-44.73593502,-42.51834126,4.811557912826538,9.927080709957382,-0.254341946,-0.195401266,Drive
