seconds_elapsed,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,gyroscope_z,gyroscope_y,gyroscope_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometer_z,magnetometer_y,magnetometer_x,accelerometer_z,accelerometer_y,accelerometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,microphone_dBFS,class
83,9.65719986,0.032297301,-0.067768572,-0.116056532,0.098118083,-0.019969665,-105.8783076,58.045768928527835,-10.56056376,0.5365951619680646,0.014666618166143274,-0.006494891,0.8431453374983038,0.032029238,-0.004341635,-1.133499392,45,0.3088560700416565,3.464629888534546,6.550000190734863,1.5822423696517944,301.5857238769531,160.6999969482422,-86.9104849,40.4268355,9.65719986,0.032297301,-0.067768572,-44.31820709,14.426865663528442,17.759173812866212,-0.328066312,-0.014961639,0.2560325607802104,-0.137588897,0.11448790106325618,-0.019934082,-64.11111111,Campus
84,10.029475466718951,0.059942528,-0.570484925,-0.222367676,0.11897288255610512,0.067517897,-104.1772621,60.54628082275391,-8.447645812,0.47756591149904193,0.051446310976899945,-0.02234879,0.8753166673252883,0.11286584367451158,-0.008860968,-0.998147241,45,0.3197523057460785,3.4746451377868652,6.576000213623047,1.514138102531433,296.3376465,160.6999969482422,-86.9105073,40.4268401,10.029475466718951,0.059942528,-0.570484925,-42.61752728,16.926889657974243,19.872091598510742,0.11606682620002227,-0.01718855,0.5703874198557104,-0.243900041,0.13535455980980135,0.067575719,-51.375,Campus
85,10.075821871896393,-0.02211328,-0.786805963,-0.03017022,-0.068791483,-0.070248919,-103.4417239,64.00522468566895,-10.43575782,0.3923282927101098,0.045368832,-0.012557238,0.9178812347569512,0.093620652,-0.012334787,-0.807482341,45,0.2863213121891022,3.484814167022705,6.613999843597412,1.516013264656067,294.61309814453125,160.6999969482422,-86.9105253,40.4268383,10.075821871896393,-0.02211328,-0.786805963,-41.88150127,20.385467529296875,17.884955625534058,0.1629226601239547,-0.139827596,0.1148966516105874,-0.051702588,-0.052426113,-0.070202956,-40.66666667,Campus
86,10.250259797549942,-0.473775981,-0.552675243,-0.284925005,-0.002325918,-0.019782054,-101.4081058,67.65814903259277,-10.71843182,0.3522911093269403,0.040262941,-0.033748552,0.931354491,0.09882802,0.035783865,-0.725000674,45,0.2863213121891022,3.484814167022705,6.613999843597412,1.516013264656067,294.61309814453125,160.6999969482422,-86.9105253,40.4268383,10.250259797549942,-0.473775981,-0.552675243,-39.84763943,24.036927528381348,17.601305646896364,0.38530319929122925,-0.117298242,0.43063885976488775,-0.306457372,0.014042144712920372,-0.019736535,-51.375,Campus
87,9.787745202629312,-0.253270403,-0.994540139,-0.071340139,0.009411794,0.049192479,-100.7769998,70.75463074,-15.25634374,0.2252452638253425,0.064731997,-0.017924474,0.9702322471489027,0.1362985032927064,0.008262865,-0.455430141,45,0.3006015717983246,3.504612684249878,6.873000144958496,1.506667971611023,298.2132873535156,160.6999969482422,-86.9105622,40.4268524,9.787745202629312,-0.253270403,-0.994540139,-39.21689896,27.13499551773071,13.063515748977661,-0.047026764,-0.170349791,0.35359553660003884,-0.092872506,0.025790504916815213,0.049245854,-40.77777778,Campus
88,9.763012594389684,-0.096732177,-0.827719168,-0.213970011,-0.050762594,-0.010919636,-101.9338041,73.93187737,-18.97173157,0.13511415303332133,0.053024263292985055,-0.004015465,0.9872059515379008,0.10791718460691785,-0.005045403,-0.271271241,45,0.3006015717983246,3.504612684249878,6.873000144958496,1.506667971611023,298.2132873535156,160.6999969482422,-86.9105622,40.4268524,9.763012594389684,-0.096732177,-0.827719168,-40.37419125,30.311143341064454,9.34751781,-0.122454569,-0.146265933,0.24287902961656885,-0.235502375,-0.034397224,-0.010875157,-44.88888889,Campus
89,9.819380408351861,0.097873413,-0.779438751,-0.106318559,-0.012237704,0.023999478,-103.2504282,74.29372848510742,-22.93648756,0.060584557550118386,0.036038319,0.004583074,0.9966952818111309,0.072214807,-0.013024249,-0.120746663,45,0.26014071702957153,3.5246150493621826,7.085000038146973,1.430402398109436,336.90850830078125,160.6999969482422,-86.9105744,40.4268765,9.819380408351861,0.097873413,-0.779438751,-41.69044922,30.67372745513916,5.383249903,-0.087700973,-0.031333782,-0.063382958,-0.127850924,0.00411877,0.024055817790636883,-53.625,Campus
90,9.722311404144879,-0.239421651,-0.911244356,-0.025200416,-8.89E-06,0.007239726,-102.384472,77.33897041,-24.99938553,0.012052974720610966,0.039081079,-0.012008423,0.9981535117603043,0.078727383,0.023832881446245117,-0.024894755,45,0.2850700318813324,3.5346391201019287,7.0980000495910645,1.464598536491394,347.5675048828125,160.6999969482422,-86.9105801,40.4268954,9.722311404144879,-0.239421651,-0.911244356,-40.82437134,33.718237228393555,3.3209619271755217,-0.191384436,-0.001702792,-0.129167633,-0.046732782,0.016362403,0.007291618,-68.77777778,Campus
91,9.799661361254179,-0.018538626,-0.636617365,0.10808289682185188,-0.013411952,-0.021653943,-103.8431039,76.57695831298828,-24.52395153,0.029265710217392216,0.036679295,0.0017387,0.9975473336803103,0.074857147,-0.004006308,-0.057827537,45,0.24328993260860443,3.5546376705169678,6.988999843597412,1.4415653944015503,350.6614685058594,160.6999969482422,-86.9105893,40.4269277,9.799661361254179,-0.018538626,-0.636617365,-42.2828812,32.95744524002075,3.7960299253463745,-0.129482473,-0.063878158,0.097497349,0.086550535,0.002944521,-0.021605015,-73.875,Campus
92,10.132912788576293,-0.344003101,-0.700986686,-0.16713048,0.015517300700099722,0.014214058619137238,-103.805284,78.36047630310058,-25.41613752,0.019679451,0.030143364219591746,-0.023240057,0.9982004732761568,0.061372775,0.046064927,-0.040704787,45,0.24328993260860443,3.5546376705169678,6.988999843597412,1.4415653944015503,350.6614685058594,160.6999969482422,-86.9105893,40.4269277,10.132912788576293,-0.344003101,-0.700986686,-42.24591522,34.73986549377442,2.9031119346618652,0.20672861117761113,0.11247476230113251,-0.073414176,-0.188662844,0.031882669,0.014255572675537426,-71.55555556,Campus
93,10.039009029425463,-0.142277116,-0.451924051,0.008117449,-0.003365591,0.062571814,-103.7828358,76.17923904418946,-26.33369953,0.006151447,0.026200336765823434,-0.004532444,0.9991467143725423,0.052704038,0.009056857,-0.0123952,45,0.398173451,3.5747315883636475,6.889999866485596,1.5431112051010132,355.5768127441406,160.6999969482422,-86.9105952,40.4269575,10.039009029425463,-0.142277116,-0.451924051,-42.22261333,32.559359283447264,1.9871359437704086,0.097694948,-0.061716053,0.06196763,-0.013414917,0.012993848299408712,0.06262667,-69.25,Campus
94,10.044439292648464,0.20979305400368442,-0.857675912,-0.035697499,0.015968022636336825,-0.001703552,-104.279376,73.79255287,-24.9010536,-0.002112679,0.044161376299209965,0.013405433,0.998364049,0.088799977,-0.026110823,0.005586778,45,0.398173451,3.5747315883636475,6.889999866485596,1.5431112051010132,355.5768127441406,160.6999969482422,-86.9105952,40.4269575,10.044439292648464,0.20979305400368442,-0.857675912,-42.71951931,30.171819496154786,3.4194159281253813,0.15682110740143118,-0.026499722,0.010151128,-0.057229864,0.032330426,-0.00165759,-47.66666667,Campus
95,9.903994504687855,0.1395939052900643,-0.77334344,-0.081303473,0.014343049657503956,0.012245115772617565,-104.055628,73.93675636291503,-27.04691151,-0.027144897,0.034283688,0.016920109,0.9983007109280929,0.069785233,-0.031326136,0.055468837,45,0.3193575143814087,3.5847010612487793,7.015999794006348,1.4236057996749878,358.4528809,160.6999969482422,-86.9105959,40.4269872,9.903994504687855,0.1395939052900643,-0.77334344,-42.4952832,30.316145458221435,1.2728259678557514,0.016626219147617378,-0.169825265,-0.071064547,-0.102835838,0.030711382587363455,0.012280699456205538,-50.5,Campus
96,9.740019409401903,0.33620319519083475,-0.85960992,-0.002278931,0.026101971837656144,-0.01747963,-103.7617297,74.28274887084962,-27.86992342,-0.045744346,0.038270309,0.018105930187210524,0.9974584235594823,0.078240099,-0.032114252,0.093095664,45,0.3193575143814087,3.5847010612487793,7.015999794006348,1.4236057996749878,358.4528809,160.6999969482422,-86.9105959,40.4269872,9.740019409401903,0.33620319519083475,-0.85960992,-42.20162926,30.66250347137451,0.4505459938570857,-0.176089947,0.007698664,-0.075439216,-0.023811295,0.042472973,-0.017419427,-46.66666667,Campus
97,9.866528303,-0.132740671,-0.640347214,0.026727534,-0.027408066,-0.057142387,-103.186744,76.27647254943848,-28.04291946,-0.028353132,0.033121283,0.002586572,0.9985565861451973,0.066744564,-0.002966858,0.057153367,45,0.2914177477359772,3.604637384414673,7.264999866485596,1.4558416604995728,358.8661804199219,160.6999969482422,-86.9106049,40.4270209,9.866528303,-0.132740671,-0.640347214,-41.62700935,32.6569594,0.27730598947033286,-0.051567832,-0.161786533,0.022327344539096055,0.005195166,-0.011044179,-0.057086046,-45.25,Campus
98,9.883362219171616,0.25864264600485276,-0.471368649,-0.01127547,-0.022272206,0.081632619,-103.3070362,76.60196830749511,-27.68362955,-0.007759982,0.030391766526962367,0.011424263,0.9989993676398564,0.061146313,-0.022015192,0.016169396226969095,45,0.3416944742202759,3.6147141456604004,7.118999958,1.495983600616455,356.9386291503906,160.6999969482422,-86.9105965,40.4270361,9.883362219171616,0.25864264600485276,-0.471368649,-41.74681305,32.98172332763672,0.6365959819220006,-0.046339081,0.039747087773188805,0.13624719523110437,-0.032807837,-0.005914247,0.081700819,-20.44444444,Campus
99,9.795777399563095,0.2981358278108743,-0.699714774,-0.071956917,0.051752997598457105,-0.001240971,-104.7727442,76.43019218444825,-27.50782757,-0.005286015,0.040388624,0.015030601747586613,0.9986817298583615,0.08128324,-0.029358313,0.011811371214543153,45,0.3416944742202759,3.6147141456604004,7.118999958,1.495983600616455,356.9386291503906,160.6999969482422,-86.9105965,40.4270361,9.795777399563095,0.2981358278108743,-0.699714774,-43.2126432,32.80958129882813,0.8119099766016007,-0.10280748,0.006652156,0.10674777164042575,-0.093489283,0.068115399,-0.001203903,-8.625,Campus
100,9.803072017,0.20217899236719586,-0.89572586,0.001842919,-0.010838092,0.032207365,-104.5525339,75.86045242309571,-28.48346151,-0.006152221,0.036943495309757955,0.007922692,0.9986773654095178,0.074636615,-0.014837675,0.013064744,45,0.40822410583496094,3.644641637802124,6.941999912261963,1.5949136018753052,359.9474792480469,160.6999969482422,-86.9106,40.427073,9.803072017,0.20217899236719586,-0.89572586,-42.99231091,32.24069538116455,-0.16348,-0.117232864,0.054871825,-0.154114944,-0.019689445,0.005522831,0.032260739798341126,-8.222222222,Campus
